timesteps,mean_reward
5000,206.025916
10000,211.953062
15000,192.541979
20000,312.528330
25000,312.125800
30000,311.987213
35000,321.628184
40000,319.837172
45000,319.930625
50000,308.730548
55000,308.193231
60000,310.968251
65000,356.000192
70000,359.356668
75000,355.784739
80000,433.640706
85000,431.646985
90000,433.198083
95000,426.781245
100000,429.007322
105000,429.621913
110000,427.012323
115000,441.505710
120000,442.590438
125000,442.458348
130000,480.981299
135000,483.584056
140000,482.659992
145000,585.599430
150000,585.292789
155000,584.125218
160000,8005.043439
165000,12249.705529
170000,8707.900028
175000,17911.282633
180000,14684.914055
185000,8174.082510
190000,19269.043105
195000,19262.429475
200000,19268.816624
205000,18573.080186
210000,18570.310529
215000,18582.173155
220000,18560.663029
225000,18203.178019
230000,18189.287885
235000,18188.787149
240000,17830.859078
245000,17827.867712
250000,17809.769787
255000,6191.133202
260000,5606.061571
265000,6425.951939
270000,4968.856671
275000,6104.852301
280000,6899.818171
285000,16576.991750
290000,19404.662024
295000,13616.531004
300000,10862.974429
305000,15183.982721
310000,16352.506750
315000,23389.421102
320000,23249.511405
325000,23271.922164
330000,23274.170530
335000,23517.894909
340000,23518.031235
345000,23512.731155
350000,23474.778256
355000,23421.960812
360000,23458.836294
365000,23907.231065
370000,23976.067703
375000,23842.203019
380000,24724.368142
385000,24738.980351
390000,24753.883837
395000,22895.259834
400000,24321.980195
405000,24189.039404
410000,24675.737073
415000,24654.605305
420000,24653.054229
425000,24655.260646
430000,24764.781111
435000,24741.913640
440000,24777.501588
445000,25362.051460
450000,25377.479920
455000,25404.345441
460000,24429.515770
465000,24499.412882
470000,24442.233168
475000,24668.825465
480000,24770.410107
485000,25060.258702
490000,25213.048833
495000,25123.728734
500000,25207.797449
505000,25196.309569
510000,25191.400024
515000,25167.057755
520000,25393.118752
525000,25400.752108
530000,25400.009192
535000,25394.521073
540000,25528.698354
545000,25524.141597
550000,25531.297566
555000,25475.897633
560000,25475.194517
565000,25473.512676
570000,25681.007121
575000,25694.215309
580000,25671.604071
585000,25164.835097
590000,25189.688572
595000,24945.852966
600000,25479.001146
605000,25464.010229
610000,25479.809650
615000,25403.876027
620000,25330.726455
625000,25389.622538
630000,25382.097635
635000,25350.176377
640000,25359.199084
645000,25363.075705
650000,25682.893995
655000,25684.995179
660000,25656.090614
665000,25934.957032
670000,25935.105205
675000,25933.822996
680000,26067.419417
685000,26078.960732
690000,26072.254363
695000,25842.310562
700000,25863.581538
705000,25872.640461
710000,26307.856083
715000,26294.717014
720000,26292.311093
725000,26376.623279
730000,26373.127671
735000,26383.341735
740000,26296.732106
745000,26281.856019
750000,26288.339372
755000,26283.197149
760000,26372.286235
765000,26356.924309
770000,26376.815717
775000,25558.052452
780000,25632.958886
785000,25686.407030
790000,26080.389258
795000,20866.836369
800000,25944.908703
805000,22435.092147
810000,26098.380386
815000,23955.232966
820000,26600.974769
825000,26589.090980
830000,26604.977215
835000,26532.705023
840000,26544.115911
845000,26559.807668
850000,26554.668292
855000,26461.570494
860000,26459.450788
865000,26465.689560
870000,26457.097054
875000,26536.313172
880000,26549.116748
885000,26151.126130
890000,26208.717525
895000,26133.190784
900000,26686.669161
905000,26699.112547
910000,26698.946889
915000,26608.036418
920000,26589.148166
925000,26602.387395
930000,26435.520446
935000,26483.053089
940000,26433.359516
945000,26571.549822
950000,26533.799775
955000,26549.957767
960000,26556.456758
965000,26887.873473
970000,26865.510393
975000,26847.370861
980000,27076.689746
985000,27089.587873
990000,27091.211676
995000,26767.850931
1000000,26756.699755
1005000,26738.785268
1010000,25809.135888
1015000,25829.264020
1020000,25884.233864
1025000,27145.892299
1030000,27256.086253
1035000,27088.146690
1040000,26750.988514
1045000,26826.813236
1050000,26805.117578
1055000,26686.398920
1060000,26649.109459
1065000,26636.585380
1070000,26265.513836
1075000,26997.567923
1080000,26995.743563
1085000,27039.370704
1090000,26982.149591
1095000,26919.747309
1100000,27025.583052
1105000,26913.603641
1110000,26912.816675
1115000,26842.676063
1120000,22491.947496
1125000,26855.410369
1130000,22362.350981
1135000,27333.272817
1140000,27325.329124
1145000,27282.562007
1150000,27081.315974
1155000,26926.713858
1160000,27028.755263
1165000,27079.903000
1170000,27277.572683
1175000,27415.087442
1180000,27414.623592
1185000,27506.925704
1190000,27518.550939
1195000,27540.286624
1200000,27665.295172
1205000,27649.287666
1210000,27663.346472
1215000,27828.642850
1220000,27833.232982
1225000,27847.404489
1230000,27917.835009
1235000,27897.465813
1240000,27906.465706
1245000,27847.020276
1250000,27842.461502
1255000,27845.408577
1260000,27657.823654
1265000,27647.123987
1270000,27634.671067
1275000,27672.701363
1280000,27973.060668
1285000,27947.984501
1290000,27954.395446
1295000,27956.467945
1300000,27937.904617
1305000,27927.569659
1310000,27758.997428
1315000,27761.016412
1320000,27718.135496
1325000,28146.486390
1330000,28163.698422
1335000,28119.826126
1340000,27957.114910
1345000,27977.083873
1350000,27968.290724
1355000,26947.180872
1360000,26922.319662
1365000,27015.392845
1370000,28396.652060
1375000,28412.063048
1380000,28406.592691
1385000,28392.902657
1390000,28412.784280
1395000,28417.515904
1400000,28404.221954
1405000,28512.288912
1410000,28504.515533
1415000,28508.550242
1420000,28042.640879
1425000,28069.628780
1430000,28060.317288
1435000,28379.810980
1440000,28366.956516
1445000,28370.699980
1450000,28147.050432
1455000,28102.743910
1460000,28161.880691
1465000,22633.731844
1470000,22695.836246
1475000,22619.711000
1480000,22777.527794
1485000,22765.637685
1490000,22789.139569
1495000,22783.012921
1500000,23967.881471
1505000,23040.340673
1510000,23899.433240
1515000,23988.005936
1520000,24980.961542
1525000,26042.549832
1530000,28278.447401
1535000,28258.094998
1540000,28273.299132
1545000,28133.484654
1550000,28224.611358
1555000,28313.675647
1560000,23898.821835
1565000,23626.775367
1570000,25514.352157
1575000,27873.818510
1580000,27719.640208
1585000,27849.190447
1590000,27433.756815
1595000,28284.949314
1600000,28359.106954
1605000,28426.476745
1610000,23739.939351
1615000,28253.139281
1620000,28269.706248
1625000,28103.451903
1630000,28056.817256
1635000,28054.581239
1640000,28510.984947
1645000,28514.631682
1650000,28531.682271
1655000,28677.930171
1660000,28672.102322
1665000,28648.514666
1670000,28324.868494
1675000,28331.620494
1680000,28284.446325
1685000,28191.975641
1690000,28213.329367
1695000,28158.440182
1700000,28178.249700
1705000,28627.750193
1710000,28710.449412
1715000,28718.586903
1720000,28551.859857
1725000,28553.559964
1730000,28559.098319
1735000,28928.524927
1740000,28936.400137
1745000,28918.118513
1750000,28732.479917
1755000,24897.805166
1760000,28763.880901
1765000,28586.648014
1770000,28579.815859
1775000,28576.378918
1780000,28812.266620
1785000,28785.366558
1790000,28802.393856
1795000,27972.435932
1800000,27987.708308
1805000,27998.306603
1810000,28048.417879
1815000,28414.315371
1820000,28410.450065
1825000,28443.381776
1830000,28808.302894
1835000,28818.400082
1840000,28825.407128
1845000,28409.120621
1850000,28403.699044
1855000,28398.035951
1860000,28693.522624
1865000,28709.716491
1870000,28714.423300
1875000,28756.874454
1880000,28758.649277
1885000,28744.363873
1890000,28731.147862
1895000,28714.503039
1900000,28755.787316
1905000,28733.768406
1910000,28621.870116
1915000,28598.261276
1920000,28619.812655
1925000,28290.322687
1930000,28500.194965
1935000,23269.365009
1940000,28353.124274
1945000,28417.399376
1950000,28349.469826
1955000,28363.301248
1960000,28247.786494
1965000,28338.167384
1970000,25156.459814
1975000,24960.615094
1980000,24986.517771
1985000,25357.253527
1990000,21722.172202
1995000,25327.747257
2000000,26069.081031
2005000,25989.689767
2010000,26086.573626
2015000,22168.406525
2020000,26662.453557
2025000,26629.809908
2030000,26618.574589
2035000,26988.565233
2040000,27065.662784
2045000,27006.612456
2050000,27390.421357
2055000,27445.132854
2060000,27484.144740
2065000,28216.978612
2070000,28341.195067
2075000,28311.326374
2080000,28196.674790
2085000,28038.312617
2090000,28292.899094
2095000,28597.760723
2100000,28538.470516
2105000,28547.804207
2110000,28717.591786
2115000,28736.743809
2120000,28726.754440
2125000,28734.343057
2130000,28712.512122
2135000,28612.482558
2140000,28690.586058
2145000,28941.382184
2150000,28937.911301
2155000,28934.975294
2160000,28875.818247
2165000,28886.446577
2170000,28915.003023
2175000,28507.004470
2180000,28553.613097
2185000,28596.563404
2190000,28591.944993
2195000,28594.586039
2200000,28559.352470
2205000,28846.793818
2210000,28924.573112
2215000,28791.037808
2220000,29037.508186
2225000,29005.921822
2230000,29013.920394
2235000,29041.768132
2240000,28943.210476
2245000,29005.894041
2250000,28996.951182
2255000,14880.420410
2260000,23034.198074
2265000,14934.821326
2270000,19835.337678
2275000,14975.089741
2280000,16939.708889
2285000,29068.070268
2290000,29102.316153
2295000,29089.070667
2300000,29081.529427
2305000,29158.257693
2310000,29197.523786
2315000,28974.858869
2320000,28820.414651
2325000,28900.584766
2330000,28936.355362
2335000,28582.111516
2340000,28527.285833
2345000,28554.050460
2350000,28932.686912
2355000,28912.975781
2360000,28939.671428
2365000,28743.095678
2370000,28735.521774
2375000,28615.519739
2380000,29076.443650
2385000,29020.450918
2390000,29017.212422
2395000,28897.438582
2400000,28892.149108
2405000,28991.163019
2410000,28718.091141
2415000,28743.117630
2420000,28767.365292
2425000,28773.044652
2430000,28861.822065
2435000,28816.995640
2440000,28853.369726
2445000,28841.219473
2450000,28731.914425
2455000,28771.539608
2460000,28597.661909
2465000,28366.064829
2470000,28561.609663
2475000,28577.721551
2480000,28666.067826
2485000,28760.105321
2490000,29021.194419
2495000,29022.704252
2500000,29036.541117
2505000,29078.796119
2510000,29071.183103
2515000,29068.485254
2520000,29138.922896
2525000,29137.345453
2530000,29164.505592
2535000,28959.606059
2540000,29016.299611
2545000,28932.023622
2550000,28994.249420
2555000,29000.355091
2560000,28918.960428
2565000,28951.789710
2570000,14607.063508
2575000,23933.748409
2580000,19292.538338
2585000,24615.391990
2590000,24240.560728
2595000,24305.127562
2600000,25877.641046
2605000,25758.881831
2610000,25534.999112
2615000,27566.426131
2620000,27210.948431
2625000,27656.593458
2630000,27217.824006
2635000,27302.927568
2640000,27119.245118
2645000,28036.011302
2650000,27992.532814
2655000,28038.612069
2660000,27866.138969
2665000,27808.820554
2670000,28280.175884
2675000,28362.484960
2680000,27757.692813
2685000,27771.396345
2690000,27467.892203
2695000,28182.522031
2700000,28360.250841
2705000,28271.606877
2710000,28155.955980
2715000,28415.178604
2720000,28336.199440
2725000,28502.969289
2730000,28415.220427
2735000,28247.114023
2740000,28629.729170
2745000,28630.406898
2750000,28711.696769
2755000,28555.430639
2760000,28477.036293
2765000,28563.164569
2770000,25040.037515
2775000,20420.975321
2780000,16391.510265
2785000,21841.627139
2790000,24994.785382
2795000,28308.108788
2800000,28270.351117
2805000,28489.593572
2810000,28563.402524
2815000,28438.825946
2820000,29067.279308
2825000,29000.660461
2830000,29050.584713
2835000,29174.951150
2840000,29141.262194
2845000,29166.360616
2850000,29522.992673
2855000,29531.564715
2860000,29531.950843
2865000,29460.210290
2870000,29516.240085
2875000,29480.239392
2880000,29495.870254
2885000,5956.640399
2890000,5137.439152
2895000,6382.868352
2900000,11880.184065
2905000,13952.081721
2910000,12101.449869
2915000,22176.408638
2920000,26734.131783
2925000,16461.536854
2930000,27945.516541
2935000,26764.854873
2940000,22938.025961
2945000,23435.363909
2950000,23376.795146
2955000,15112.906638
2960000,24764.419739
2965000,23843.500968
2970000,27295.118669
2975000,28455.920910
2980000,25787.277607
2985000,24640.683606
2990000,15079.059724
2995000,28951.132893
3000000,24065.456328
3005000,23507.766419
3010000,15205.064297
3015000,13798.405696
3020000,18751.648074
3025000,8303.114356
3030000,10624.888800
3035000,11273.501101
3040000,28811.405534
3045000,24491.724628
3050000,28984.473891
3055000,28930.134720
3060000,28869.783815
3065000,28927.419393
3070000,28951.882394
3075000,29421.469247
3080000,29388.883646
3085000,29320.320747
3090000,28996.116490
3095000,28959.409706
3100000,28921.048366
3105000,1037.915634
3110000,892.516760
3115000,879.579343
3120000,1020.337997
3125000,987.078347
3130000,998.527590
3135000,1337.298752
3140000,2158.079210
3145000,1821.364322
3150000,5457.560805
3155000,1442.977380
3160000,8010.582106
3165000,13528.500793
3170000,20368.022200
3175000,11079.171976
3180000,18321.217269
3185000,23170.404362
3190000,28310.153805
3195000,28473.493632
3200000,28916.740656
3205000,28726.185655
3210000,28760.214156
3215000,29066.847550
3220000,29079.386473
3225000,29048.049321
3230000,29208.004534
3235000,29139.763820
3240000,29280.208884
3245000,28653.151782
3250000,29091.807699
3255000,29167.807465
3260000,29468.460169
3265000,29468.505919
3270000,29319.192629
3275000,29788.712993
3280000,29828.405221
3285000,29776.142873
3290000,29783.643485
3295000,21337.692379
3300000,29805.431499
3305000,29788.183851
3310000,29471.856492
3315000,29585.372245
3320000,29503.605676
3325000,29484.154740
3330000,29563.663215
3335000,29482.542859
3340000,29815.419787
3345000,29732.191407
3350000,29764.968674
3355000,2321.380893
3360000,2349.242648
3365000,2221.116378
3370000,2408.626266
3375000,2735.683043
3380000,2230.573642
3385000,3387.884908
3390000,3898.370334
3395000,3486.625540
3400000,3017.310149
3405000,3239.879287
3410000,3191.240223
3415000,3011.042986
3420000,7721.843486
3425000,5201.668989
3430000,7769.784955
3435000,3805.044259
3440000,3358.177986
3445000,3205.331918
3450000,14459.090690
3455000,14347.480383
3460000,18360.465067
3465000,25024.916265
3470000,25821.332335
3475000,24295.234176
3480000,28655.981798
3485000,23753.910666
3490000,28639.114669
3495000,28549.765076
3500000,28256.605343
3505000,26152.230435
3510000,28388.830557
3515000,17980.243584
3520000,21131.367186
3525000,24691.473538
3530000,18843.252172
3535000,16655.488116
3540000,20589.499824
3545000,23248.900475
3550000,19937.187683
3555000,26811.344368
3560000,29118.282195
3565000,28939.000991
3570000,29221.744448
3575000,27092.770469
3580000,28751.161536
3585000,24476.620171
3590000,28823.862115
3595000,29237.723601
3600000,28553.597164
3605000,29110.524344
3610000,29307.104549
3615000,29356.068592
3620000,29425.502357
3625000,29542.572072
3630000,29539.690693
3635000,29605.529114
3640000,29623.060839
3645000,29592.578404
3650000,29633.455901
3655000,1313.763201
3660000,1400.373672
3665000,1340.376609
3670000,1711.033064
3675000,1806.419402
3680000,1451.347682
3685000,4317.301907
3690000,2789.418712
3695000,2479.386867
3700000,6917.409790
3705000,6179.590355
3710000,4675.395927
3715000,3735.888314
3720000,5175.650798
3725000,3680.649089
3730000,2231.010185
3735000,17791.490154
3740000,19535.571962
3745000,18091.366707
3750000,27451.469705
3755000,27497.388817
3760000,22429.209506
3765000,27108.994190
3770000,22981.952426
3775000,24033.094775
3780000,28261.220900
3785000,28169.973144
3790000,28333.705432
3795000,28501.158106
3800000,28440.935081
3805000,28555.782448
3810000,28474.122114
3815000,28858.003243
3820000,28838.296987
3825000,28831.838425
3830000,29157.654707
3835000,29061.005882
3840000,29120.444148
3845000,29076.414739
3850000,29037.075681
3855000,29102.091363
3860000,29292.284517
3865000,29310.567647
3870000,29308.891509
3875000,29503.312404
3880000,29477.862197
3885000,29514.544261
3890000,29576.340066
3895000,29545.532690
3900000,29528.786342
3905000,29574.080520
3910000,29587.882822
3915000,29454.707609
3920000,29597.552077
3925000,27141.636602
3930000,25727.849092
3935000,21922.994282
3940000,29770.101498
3945000,29724.001273
3950000,29716.305637
3955000,28158.156187
3960000,25263.319888
3965000,29541.491855
3970000,29163.823330
3975000,29148.448092
3980000,29402.667180
3985000,29121.027629
3990000,23826.137965
3995000,27861.884122
4000000,27725.730613
4005000,29372.464715
4010000,28950.983935
4015000,29465.654294
4020000,29474.879545
4025000,29313.577996
4030000,29438.299686
4035000,29582.141215
4040000,29537.080145
4045000,29567.258426
4050000,29500.245637
4055000,20789.308018
4060000,29521.143244
4065000,29631.971172
