timesteps,mean_reward
5000,185.122087
10000,167.422867
15000,166.431285
20000,175.052659
25000,158.210890
30000,156.658651
35000,335.212591
40000,334.155971
45000,333.773705
50000,333.666664
55000,334.291492
60000,333.217339
65000,287.219527
70000,284.939556
75000,287.540281
80000,288.295568
85000,287.263496
90000,287.005124
95000,303.014406
100000,302.582486
105000,302.232668
110000,301.524153
115000,304.335741
120000,302.792476
125000,303.525783
130000,312.154936
135000,311.177425
140000,312.751518
145000,313.245719
150000,312.527293
155000,312.683881
160000,425.644062
165000,426.247307
170000,426.063298
175000,426.332042
180000,425.703479
185000,428.143592
190000,420.826758
195000,418.983529
200000,419.089101
205000,418.927104
210000,421.299640
215000,419.316583
220000,419.847908
225000,453.676035
230000,450.821712
235000,453.327977
240000,452.982401
245000,453.256554
250000,451.806557
255000,716.828165
260000,718.461102
265000,715.843092
270000,718.240344
275000,720.345098
280000,718.266460
285000,850.886143
290000,850.930109
295000,849.758467
300000,851.629948
305000,850.447723
310000,849.890761
315000,1178.142870
320000,1174.784462
325000,1181.056333
330000,1175.686395
335000,1185.960345
340000,1180.618407
345000,1186.981155
350000,3357.906198
355000,3099.729047
360000,2984.018290
365000,2851.969550
370000,3069.024374
375000,2948.256827
380000,2153.199962
385000,6564.249628
390000,3737.219193
395000,2155.560514
400000,6737.286366
405000,2205.448814
410000,11996.505203
415000,19388.202769
420000,17460.187354
425000,13780.285668
430000,14349.117061
435000,22684.277886
440000,11121.475966
445000,15930.640570
450000,20196.587531
455000,16461.852069
460000,16457.119886
465000,19981.230639
470000,13108.671996
475000,23229.631511
480000,23215.735772
485000,23233.441093
490000,23213.701127
495000,23195.676046
500000,23215.359891
505000,3845.928821
510000,2885.934985
515000,3766.665380
520000,4973.674259
525000,2812.512590
530000,7395.357366
535000,4416.694747
540000,23981.553856
545000,23860.621045
550000,23897.469386
555000,23864.168321
560000,23900.270950
565000,22021.787333
570000,17604.621197
575000,12386.561439
580000,13763.234970
585000,12607.075168
590000,15340.541027
595000,16225.276356
600000,24345.308776
605000,24386.188106
610000,24363.189253
615000,24355.848765
620000,24295.136695
625000,24225.212733
630000,12459.635475
635000,13972.150403
640000,15051.911790
645000,15166.011252
650000,13597.888736
655000,14662.457944
660000,9461.679402
665000,16638.037172
670000,19487.873518
675000,20754.377109
680000,21280.519578
685000,18714.660777
690000,14082.834575
695000,1816.107426
700000,3159.821979
705000,1836.071102
710000,1894.197314
715000,6769.315919
720000,1917.016032
725000,25213.418649
730000,25289.006077
735000,25199.595124
740000,25216.526517
745000,25226.112008
750000,25254.876447
755000,25250.235771
760000,25768.455723
765000,25785.516752
770000,20998.261126
775000,25767.051452
780000,25757.907050
785000,25780.805344
790000,26269.411801
795000,26266.046168
800000,26148.453621
805000,26232.512246
810000,26133.236858
815000,26249.465901
820000,11638.782635
825000,21332.302543
830000,11760.855846
835000,16775.411370
840000,16568.860028
845000,16538.527180
850000,16689.698579
855000,26354.179710
860000,26262.023919
865000,26456.597002
870000,26350.672893
875000,26466.422759
880000,26549.750712
885000,16750.228764
890000,25785.228945
895000,25653.302061
900000,17793.108231
905000,15743.222681
910000,17054.823625
915000,1674.715923
920000,1522.978957
925000,1648.479573
930000,1632.724709
935000,1564.203360
940000,1623.021011
945000,932.046209
950000,921.063458
955000,938.207527
960000,928.233157
965000,928.189612
970000,927.224611
975000,925.891113
980000,1538.877285
985000,1537.000804
990000,1584.411679
995000,1471.293722
1000000,1483.861076
1005000,1574.362011
1010000,1384.913189
1015000,1367.170047
1020000,1378.893897
1025000,1366.279714
1030000,1367.903079
1035000,1371.627570
1040000,1329.392448
1045000,1328.862967
1050000,1317.773036
1055000,1330.527670
1060000,1315.840832
1065000,1323.017149
1070000,1327.451102
1075000,1283.580507
1080000,1289.528770
1085000,1283.837230
1090000,1293.307457
1095000,1294.656149
1100000,1287.213609
1105000,1408.601384
1110000,1416.854167
1115000,1461.347944
1120000,1435.918731
1125000,1437.151347
1130000,1435.893559
1135000,1754.646395
1140000,1759.352518
1145000,1764.276448
1150000,1776.784458
1155000,1693.589331
1160000,1762.707167
1165000,1790.298859
1170000,1384.183640
1175000,1395.899429
1180000,1406.142772
1185000,1384.622219
1190000,1381.936674
1195000,1388.307772
1200000,1359.753982
1205000,1358.652014
1210000,1362.415288
1215000,1370.458724
1220000,1364.451501
1225000,1359.060356
1230000,1383.823998
1235000,1380.481450
1240000,1386.831406
1245000,1366.126124
1250000,1387.476095
1255000,1369.957171
1260000,3471.746824
1265000,3880.807482
1270000,5563.778878
1275000,3372.538735
1280000,3218.768720
1285000,2961.183333
1290000,2947.929139
1295000,4421.819683
1300000,4317.316624
1305000,2708.830822
1310000,3080.475439
1315000,3631.025911
1320000,4761.950012
1325000,3838.160614
1330000,4670.315855
1335000,2694.338233
1340000,3294.311653
