timesteps,mean_reward
5000,185.122087
10000,167.422867
15000,166.431285
20000,175.052659
25000,158.210890
30000,156.658651
35000,345.623308
40000,345.892159
45000,344.365099
50000,344.857486
55000,345.721849
60000,344.242806
65000,281.581727
70000,279.233257
75000,281.813126
80000,281.967220
85000,280.876055
90000,281.258829
95000,285.963018
100000,286.281603
105000,285.196403
110000,285.206176
115000,285.912275
120000,285.000739
125000,284.273100
130000,290.172059
135000,289.786025
140000,291.503222
145000,292.009118
150000,290.474164
155000,291.438274
160000,287.546598
165000,286.768538
170000,288.126883
175000,286.094339
180000,286.134549
185000,287.814408
190000,407.953784
195000,407.688605
200000,408.177213
205000,407.370881
210000,408.708845
215000,407.275286
220000,408.284522
225000,429.398622
230000,428.018055
235000,429.884631
240000,428.639845
245000,429.887511
250000,426.993909
255000,470.708262
260000,469.256659
265000,471.532777
270000,470.627067
275000,471.604649
280000,472.094628
285000,778.697975
290000,779.086838
295000,778.446682
300000,779.586270
305000,777.953998
310000,779.184467
315000,842.802753
320000,842.884993
325000,844.222996
330000,842.447725
335000,845.096980
340000,845.175922
345000,844.762242
350000,940.934489
355000,943.283284
360000,944.943451
365000,943.120150
370000,944.072265
375000,943.783962
380000,929.320591
385000,931.747467
390000,928.246767
395000,926.012858
400000,930.398352
405000,931.260757
410000,1642.760010
415000,1640.980323
420000,1674.255200
425000,1661.840156
430000,1657.654251
435000,1649.864805
440000,1668.670942
445000,2383.378311
450000,2482.808654
455000,2402.010994
460000,2472.091579
465000,2373.250195
470000,2341.388287
475000,2378.509467
480000,2462.688103
485000,2443.670466
490000,2341.907845
495000,2483.583658
500000,2350.512694
505000,1431.687403
510000,1431.611839
515000,1438.090515
520000,1428.723142
525000,1439.713583
530000,1428.968904
535000,1431.130987
540000,1844.001052
545000,1827.180913
550000,1806.942265
555000,1825.015265
560000,1811.111473
565000,1817.732689
570000,1595.695930
575000,1561.217678
580000,1658.746066
585000,1613.570704
590000,1596.909030
595000,1656.021583
600000,1866.946963
605000,1655.969982
610000,1704.677124
615000,1727.890153
620000,1890.762946
625000,1887.151418
630000,2955.904187
635000,2693.624837
640000,2225.698785
645000,2132.334855
650000,3308.659447
655000,2586.559636
660000,3186.255814
665000,1767.291891
670000,1753.726299
675000,1785.971360
680000,1745.993338
685000,1814.893306
690000,1766.235474
695000,25088.389955
700000,25136.498065
705000,25122.204727
710000,25125.129680
715000,25116.891143
720000,25140.633545
725000,25296.946685
730000,25300.699897
735000,25308.608512
740000,25302.668264
745000,25302.430920
750000,25305.480365
755000,25292.445089
760000,25953.085984
765000,25916.142102
770000,25918.613450
775000,25943.562419
780000,25908.648303
785000,25943.446770
790000,3450.674291
795000,3361.464556
800000,13405.229029
805000,22481.386552
810000,15889.932504
815000,8399.706013
820000,26741.274826
825000,26864.591582
830000,26562.642917
835000,26655.793714
840000,26835.419983
845000,26511.073981
850000,26813.596134
855000,26663.150918
860000,26598.641087
865000,26669.120495
870000,26679.694633
875000,26652.940662
880000,26676.251372
885000,26583.647502
890000,26575.793228
895000,26569.695747
900000,26575.573216
905000,26571.295606
910000,26564.682892
915000,26411.520018
920000,26403.403921
925000,26403.824248
930000,26401.033359
935000,26404.033841
940000,26418.762110
945000,26568.149121
950000,26567.231598
955000,26561.949668
960000,26568.423549
965000,26570.571706
970000,26568.291586
975000,26570.211057
980000,26178.894683
985000,26175.523569
990000,26176.724930
995000,26178.381862
1000000,26179.225089
1005000,26179.513917
