timesteps,mean_reward
5000,245.443069
10000,240.590599
15000,234.447054
20000,221.964209
25000,218.196759
30000,211.503559
35000,297.309342
40000,295.369369
45000,297.226475
50000,296.729702
55000,296.619179
60000,296.872738
65000,304.196057
70000,304.068398
75000,301.812553
80000,302.635670
85000,304.103124
90000,303.144367
95000,301.666773
100000,301.383354
105000,302.036505
110000,301.086620
115000,301.065273
120000,302.108640
125000,302.584786
130000,398.832915
135000,397.013288
140000,396.603056
145000,397.549132
150000,398.214429
155000,396.309820
160000,412.362868
165000,414.045525
170000,412.575558
175000,412.826805
180000,414.654537
185000,412.280074
190000,426.442097
195000,427.293677
200000,425.069197
205000,427.721234
210000,425.177399
215000,430.333485
220000,429.085926
225000,462.147799
230000,459.372510
235000,461.414200
240000,460.846382
245000,460.885736
250000,460.124066
255000,786.338817
260000,787.180282
265000,784.745948
270000,786.237712
275000,785.007951
280000,787.098069
285000,939.409127
290000,931.609538
295000,933.685316
300000,934.846267
305000,940.463195
310000,934.380184
315000,1801.771889
320000,1741.432406
325000,1710.043014
330000,1758.655889
335000,1684.217208
340000,1700.895860
345000,1694.915890
350000,2425.429053
355000,2448.037825
360000,2341.355754
365000,2418.806933
370000,2467.840113
375000,2432.240908
380000,3049.489006
385000,2978.346161
390000,3047.124903
395000,3005.780865
400000,3016.207467
405000,2976.283312
410000,3886.077697
415000,3784.767570
420000,3994.081810
425000,4185.938029
430000,3964.315931
435000,3965.525794
440000,4021.371398
445000,17654.313515
450000,14381.266020
455000,17719.560126
460000,11218.318066
465000,14330.117325
470000,4053.248544
475000,22115.617363
480000,22132.760378
485000,22124.508016
490000,22089.686694
495000,22124.108529
500000,22140.599872
505000,22537.175283
510000,22542.832084
515000,22533.610999
520000,22540.818445
525000,22562.497505
530000,22523.048874
535000,22533.130464
540000,22007.405690
545000,21996.311094
550000,22016.902515
555000,22004.498566
560000,22010.547230
565000,22019.835147
570000,1552.297315
575000,5790.856497
580000,1513.798676
585000,1485.245868
590000,1682.881846
595000,5791.798013
600000,1316.466631
605000,1287.564672
610000,1301.276712
615000,1309.841258
620000,1293.858235
625000,1297.404306
630000,1431.132833
635000,1370.738208
640000,1363.023647
645000,1362.027422
650000,1444.785387
655000,1373.023687
660000,1404.890766
665000,20408.488138
670000,20439.424083
675000,20706.963638
680000,25020.579623
685000,15952.633416
690000,23979.603470
695000,8466.486849
700000,1836.397147
705000,2286.110204
710000,11025.301602
715000,4968.222014
720000,2014.534185
725000,24273.592611
730000,20086.867216
735000,21447.083872
740000,23907.791813
745000,24613.429783
750000,24650.740057
755000,24629.851033
760000,25035.839240
765000,25080.391450
770000,25036.630080
775000,25085.197580
780000,25066.213284
785000,25086.157696
790000,21785.594493
795000,25047.358803
800000,25119.862942
805000,25103.332959
810000,25039.936870
815000,25113.544043
820000,26111.483475
825000,25644.366126
830000,23812.740955
835000,23685.805468
840000,23257.336834
845000,23580.621693
850000,26027.912251
855000,26220.092415
860000,26220.497056
865000,26221.202485
870000,26230.000811
875000,26220.330431
880000,26219.308514
885000,26113.766088
890000,26149.133327
895000,26114.101330
900000,26058.740596
905000,26137.515142
910000,25934.060989
915000,26619.084144
920000,26607.219044
925000,26628.903270
930000,26611.625747
935000,26610.557826
940000,26613.791470
945000,26836.312570
950000,26835.572356
955000,26843.388919
960000,26840.751653
965000,26826.929950
970000,26841.897591
975000,26846.793969
980000,25386.315626
985000,25466.380454
990000,25448.904517
995000,25440.144904
1000000,25499.615092
1005000,25386.866583
