timesteps,mean_reward
5000,206.025930
10000,211.953079
15000,192.541991
20000,211.572092
25000,208.038130
30000,179.944844
35000,302.685260
40000,300.242413
45000,300.291189
50000,300.895367
55000,300.363271
60000,302.888681
65000,278.648505
70000,281.498022
75000,278.143629
80000,279.497592
85000,277.780198
90000,279.110995
95000,280.517299
100000,281.888760
105000,282.149783
110000,281.379521
115000,281.170319
120000,282.895946
125000,282.575798
130000,281.363237
135000,283.020766
140000,282.540100
145000,281.140863
150000,280.738186
155000,280.631979
160000,285.634432
165000,284.034325
170000,285.850462
175000,282.791006
180000,284.218476
185000,284.687852
190000,424.094217
195000,424.479129
200000,424.368673
205000,423.774230
210000,423.722698
215000,422.591531
220000,425.303356
225000,437.244731
230000,437.191934
235000,437.563418
240000,436.734230
245000,437.444000
250000,438.295751
255000,453.726836
260000,453.167519
265000,453.055213
270000,454.334013
275000,452.808310
280000,453.231289
285000,492.291976
290000,490.886678
295000,492.463182
300000,492.298983
305000,492.233496
310000,492.401366
315000,878.563423
320000,879.444610
325000,878.881121
330000,876.479997
335000,877.668848
340000,877.334743
345000,878.959854
350000,1831.942696
355000,1804.379453
360000,1852.300377
365000,1869.431953
370000,1803.936417
375000,1841.474019
380000,19943.738290
385000,19939.156482
390000,19969.860553
395000,19963.628857
400000,19946.060185
405000,19930.208772
410000,11484.137780
415000,10641.230710
420000,12515.507553
425000,11839.627405
430000,12474.873634
435000,10747.071164
440000,13267.369221
445000,3517.581728
450000,3523.044196
455000,3653.242163
460000,3538.863332
465000,3653.085207
470000,3570.816069
475000,3586.872934
480000,3587.146560
485000,3693.284021
490000,3768.390900
495000,3660.093520
500000,3703.743837
505000,3358.963497
510000,3340.535234
515000,3461.399170
520000,3410.387251
525000,3395.241347
530000,3264.972297
535000,3322.223891
540000,2645.069081
545000,2658.301817
550000,2675.225782
555000,2642.535852
560000,2614.835254
565000,2611.044727
570000,1750.033685
575000,1778.703902
580000,1746.172128
585000,1769.327649
590000,1778.223434
595000,1794.422926
600000,1473.121872
605000,1427.267733
610000,1406.306445
615000,1409.854645
620000,1402.311870
625000,1425.635176
630000,1364.780478
635000,1363.008611
640000,1363.747847
645000,1363.185244
650000,1359.039475
655000,1364.704007
660000,1362.020677
665000,1724.674588
670000,1663.923392
675000,1747.123534
680000,1752.689875
685000,1714.672568
690000,1768.783415
695000,1782.849749
700000,1917.328735
705000,1909.798324
710000,1865.953382
715000,1814.917213
720000,1747.483519
725000,1844.055383
730000,1828.672991
735000,1846.564243
740000,1882.262198
745000,1860.876569
750000,1727.129102
755000,1918.156621
760000,1831.197990
765000,1948.351308
770000,1941.291966
775000,1865.089525
780000,1842.492526
785000,2005.204352
790000,3640.279669
795000,3849.279315
800000,6246.090957
805000,3301.189124
810000,3543.783491
815000,2642.785422
820000,12435.887853
825000,23660.906954
830000,15534.372204
835000,14030.988283
840000,4448.798324
845000,8146.477604
850000,13077.017541
855000,25591.391636
860000,25611.789108
865000,25586.467608
870000,25584.536183
875000,25599.358497
880000,25608.588570
885000,21204.641034
890000,21281.536203
895000,17382.862183
900000,17107.907738
905000,13087.826408
910000,25285.789113
915000,25687.677837
920000,25738.465397
925000,25722.062318
930000,25741.874615
935000,25739.035946
940000,25715.834677
945000,21310.790262
950000,25903.190180
955000,25855.879445
960000,25610.588455
965000,26034.774008
970000,25930.730080
975000,25913.351311
980000,6762.207473
985000,3773.016581
990000,4105.706696
995000,4579.455320
1000000,3726.374361
1005000,5442.304918
