timesteps,mean_reward
5000,245.443069
10000,240.590599
15000,234.447054
20000,221.964209
25000,218.196759
30000,211.503559
35000,301.920465
40000,299.773040
45000,299.684543
50000,299.277639
55000,299.017578
60000,299.364243
65000,286.816590
70000,286.047005
75000,284.824307
80000,285.762106
85000,286.673901
90000,285.669974
95000,268.128492
100000,267.261369
105000,265.844476
110000,265.391615
115000,267.065231
120000,269.222424
125000,266.427808
130000,265.665938
135000,266.206123
140000,265.802934
145000,265.585352
150000,266.771759
155000,265.534888
160000,421.781152
165000,422.791051
170000,421.642827
175000,421.482256
180000,422.719568
185000,421.503326
190000,446.511721
195000,445.794816
200000,445.493595
205000,446.456364
210000,445.494586
215000,448.644463
220000,447.563423
225000,504.689671
230000,501.119275
235000,503.710108
240000,501.773955
245000,503.095941
250000,502.240599
255000,581.219400
260000,579.684516
265000,575.733463
270000,572.518818
275000,579.469276
280000,584.887544
285000,1161.778398
290000,1149.271333
295000,1151.838273
300000,1105.245915
305000,1189.875898
310000,1185.106332
315000,2455.181136
320000,2475.538060
325000,2498.913618
330000,2613.505197
335000,2476.044577
340000,2460.290241
345000,2459.700857
350000,2112.647799
355000,2151.287613
360000,2124.380872
365000,2083.215693
370000,2095.140542
375000,2118.642886
380000,2190.951384
385000,2218.610419
390000,2189.939926
395000,2217.511983
400000,2216.027531
405000,2210.450968
410000,1851.556120
415000,1809.340909
420000,1829.263324
425000,1875.195256
430000,1910.123838
435000,1883.666342
440000,1820.127492
445000,1355.088257
450000,1369.127169
455000,1361.639592
460000,1371.559833
465000,1353.625457
470000,1359.744019
475000,1416.186916
480000,1399.036273
485000,1411.254856
490000,1421.322400
495000,1428.015183
500000,1415.389393
505000,1831.853447
510000,2043.177309
515000,1882.492366
520000,1925.430167
525000,2249.136016
530000,2049.850792
535000,1968.228111
540000,2191.507543
545000,2782.707691
550000,2412.394399
555000,2200.741342
560000,2266.234679
565000,2228.175529
570000,1761.556909
575000,1790.572697
580000,1803.872886
585000,1790.987636
590000,1966.733101
595000,1818.634718
600000,15684.272550
605000,24545.426440
610000,16007.363952
615000,15885.409264
620000,20227.660079
625000,24572.598751
630000,15464.896075
635000,1888.349418
640000,6621.317412
645000,6266.261243
650000,2532.604669
655000,11487.975883
660000,6412.548092
665000,1323.290643
670000,1267.488287
675000,1318.253228
680000,1298.721032
685000,1305.386391
690000,1319.589483
695000,1214.005356
700000,1230.934430
705000,1233.552655
710000,1223.332896
715000,1217.712798
720000,1222.162483
725000,4060.926188
730000,9474.552706
735000,17305.068161
740000,7111.107343
745000,3035.130302
750000,6606.415212
755000,16177.757827
760000,25357.775809
765000,25361.704054
770000,25304.770716
775000,25318.562212
780000,25317.206854
785000,25313.800940
790000,25839.738476
795000,25881.839155
800000,25866.837348
805000,25782.076196
810000,25856.794826
815000,25791.304168
820000,25715.278069
825000,25703.620591
830000,25702.892433
835000,25740.566594
840000,25711.334400
845000,25717.892977
850000,25715.006116
855000,25053.031125
860000,25014.353368
865000,25064.055433
870000,24957.163938
875000,25049.787184
880000,25073.956516
885000,25626.922720
890000,25654.884050
895000,25614.651006
900000,25622.004394
905000,25611.644981
910000,25644.553699
915000,25804.295390
