timesteps,mean_reward
5000,206.025915
10000,211.953062
15000,192.541978
20000,211.572078
25000,208.038114
30000,179.944832
35000,342.988879
40000,341.655633
45000,341.683718
50000,342.704657
55000,341.113619
60000,344.219296
65000,303.242329
70000,305.097212
75000,301.617595
80000,303.578958
85000,302.411549
90000,304.387583
95000,322.103629
100000,323.286316
105000,323.944332
110000,322.765387
115000,322.659461
120000,324.454733
125000,323.961550
130000,365.667835
135000,369.930484
140000,368.050032
145000,368.805492
150000,367.790244
155000,367.597131
160000,451.761848
165000,450.272844
170000,452.560050
175000,451.701684
180000,450.435722
185000,452.229140
190000,450.505803
195000,449.553797
200000,450.841448
205000,449.575370
210000,448.927748
215000,449.193432
220000,451.666303
225000,460.724824
230000,460.027103
235000,460.354384
240000,460.187088
245000,460.174730
250000,461.046737
255000,566.858300
260000,564.903977
265000,566.261603
270000,566.097055
275000,565.028962
280000,565.514970
285000,898.104162
290000,898.412229
295000,899.018095
300000,898.710271
305000,898.844700
310000,898.283718
315000,948.406724
320000,948.472223
325000,944.060842
330000,943.903995
335000,946.178161
340000,944.584990
345000,946.828159
350000,1732.560465
355000,1823.233436
360000,1515.994208
365000,1469.748024
370000,1799.915999
375000,1565.441918
380000,1789.102552
385000,1738.966678
390000,1766.895615
395000,1747.856137
400000,1803.847418
405000,1901.650368
410000,1834.068289
415000,1794.419873
420000,1776.276570
425000,1885.720812
430000,1826.333369
435000,2066.634532
440000,1792.808593
445000,1891.124880
450000,2043.006198
455000,1903.628429
460000,1915.942915
465000,2302.720008
470000,1885.749446
475000,2263.923757
480000,3804.658141
485000,3119.234907
490000,3581.769946
495000,3500.332821
500000,3433.083471
505000,12395.766588
510000,11312.662445
515000,15070.308850
520000,6986.409730
525000,16015.607001
530000,14976.618938
535000,7491.607389
540000,10905.786703
545000,6230.556373
550000,6310.085342
555000,10734.248878
560000,15263.056961
565000,7974.294077
570000,10637.974306
575000,8748.794879
580000,15606.642072
585000,15915.751053
590000,9244.139383
595000,19093.443449
600000,21859.044150
605000,23852.406503
610000,23609.687120
615000,23804.622116
620000,12436.418912
625000,23734.085186
630000,24170.383748
635000,24115.731475
640000,24192.501218
645000,24095.580512
650000,24129.707180
655000,24105.475239
660000,24138.377876
665000,24676.850285
670000,24700.599642
675000,24676.171489
680000,24691.785045
685000,24702.876798
690000,24680.668164
695000,24448.376776
700000,24474.941077
705000,24495.077897
710000,24438.317425
715000,24498.319120
720000,24455.754092
725000,24726.073507
730000,24671.414904
735000,24713.802724
740000,24693.655587
745000,24715.681706
750000,24701.507700
755000,24689.994152
760000,25418.912978
765000,25405.159868
770000,25382.731761
775000,25416.385120
780000,25431.390856
785000,25381.541584
790000,25894.046450
795000,25886.727473
800000,25895.130577
805000,25879.169342
810000,25895.564017
815000,25895.041064
820000,25707.341585
825000,25720.134988
830000,25676.481926
835000,25697.245574
840000,25698.595153
845000,25707.140837
850000,25715.136397
855000,25458.810902
860000,25377.859825
865000,25366.275256
870000,25393.002095
875000,25346.271279
880000,25405.267159
885000,25801.703913
890000,25786.865740
895000,25790.723088
900000,25833.756077
905000,25804.446134
910000,25822.806068
915000,26030.996127
920000,26019.154415
925000,26025.055220
930000,26032.251576
935000,26034.384203
940000,26046.174302
945000,25904.257749
950000,25868.082658
955000,25851.958712
960000,25890.642483
965000,25920.993744
970000,25950.049953
975000,25909.613234
980000,25703.266674
985000,25714.905373
990000,25791.391975
995000,25786.464289
1000000,25781.045459
1005000,25743.294089
