run_id,seed,learning_rate,n_steps,gamma,batch_size,n_epochs,gae_lambda,mean_reward,std_reward
qdga0z0v,0,0.00281839970444484,3392,0.907265554541852,106,16,0.8544344547785488,321.86940866000003,23.531424450550738
qdga0z0v,14,0.00281839970444484,3392,0.907265554541852,106,16,0.8544344547785488,445.13815932000006,16.79967884508679
qdga0z0v,42,0.00281839970444484,3392,0.907265554541852,106,16,0.8544344547785488,386.98356823999995,32.3603140178933
o837191o,0,0.00248632704015726,1184,0.9936548368071472,37,18,0.952580315410426,480.3040871599999,160.0777371080701
o837191o,14,0.00248632704015726,1184,0.9936548368071472,37,18,0.952580315410426,183.11456352000002,88.2470401139619
o837191o,42,0.00248632704015726,1184,0.9936548368071472,37,18,0.952580315410426,345.3270463,202.6371109291867
yr9msum8,0,8.234655384179927e-05,2400,0.9337442569785808,75,16,0.9970783069680812,536.3480394600001,8.726341427584641
yr9msum8,14,8.234655384179927e-05,2400,0.9337442569785808,75,16,0.9970783069680812,495.29461305999996,36.50800455851154
yr9msum8,42,8.234655384179927e-05,2400,0.9337442569785808,75,16,0.9970783069680812,549.75447864,24.333580366613987
3dacrcin,0,8.561356054933206e-05,2592,0.9119931037876984,81,5,0.9213472376885196,308.31039798,41.11608532226995
3dacrcin,14,8.561356054933206e-05,2592,0.9119931037876984,81,5,0.9213472376885196,338.10977356,35.625476061511314
3dacrcin,42,8.561356054933206e-05,2592,0.9119931037876984,81,5,0.9213472376885196,512.18313626,172.7100534494954
c5fapcrn,0,0.0023843166847282017,1536,0.9284442000055084,48,14,0.9787458304487958,370.6991861,113.39246322793058
c5fapcrn,14,0.0023843166847282017,1536,0.9284442000055084,48,14,0.9787458304487958,338.08880352,18.883013540896098
c5fapcrn,42,0.0023843166847282017,1536,0.9284442000055084,48,14,0.9787458304487958,438.67080377999997,106.60831830586162
