episode,reward
1,38.532022
2,-24.782443
3,13.713197
4,-16.936077
5,3.790708
6,-139.548767
7,-187.104604
8,55.135227
9,210.666224
10,51.497579
11,-60.212781
12,6.116983
13,-0.162082
14,76.105870
15,-30.998779
16,-18.390659
17,-30.564222
18,27.742231
19,45.534267
20,-1.397533
21,1.976558
22,-29.471901
23,-123.547777
24,-114.527513
25,115.988234
26,-2.949680
27,-58.865191
28,-61.777780
29,323.081003
30,43.979261
31,58.862360
32,21.561018
33,-16.890194
34,36.571174
35,29.839826
36,-44.698110
37,-23.563681
38,-13.852381
39,105.373393
40,53.886587
41,-104.470610
42,237.843531
43,-40.041192
44,-37.588188
45,-45.483834
46,63.748722
47,16.886767
48,26.926845
49,-46.352381
50,-4.614126
51,85.697558
52,-84.483955
53,24.461572
54,-46.981980
55,-46.500149
56,-123.250256
57,-20.517520
58,-34.020153
59,41.064989
60,1.851046
61,22.346139
62,-123.603036
63,-102.520296
64,-74.359723
65,5.459090
66,-92.262296
67,80.346446
68,-48.489941
69,-12.377137
70,-6.531615
71,74.593175
72,16.552579
73,111.364167
74,-16.672406
75,187.600264
76,-8.149439
77,-42.755690
78,24.807333
79,17.588691
80,54.458058
81,104.447993
82,-59.569538
83,24.405875
84,27.124671
85,-83.774517
86,-4.055908
87,156.988416
88,-60.094170
89,7.544123
90,28.988625
91,47.464275
92,14.581299
93,15.558217
94,0.727525
95,76.035904
96,-56.987885
97,-19.577147
98,-89.234005
99,-191.216756
100,41.567182
101,179.218418
102,-85.672382
103,74.784232
104,47.060706
105,54.806397
106,279.289606
107,38.236218
108,-16.426377
109,-62.440945
110,1.080306
111,42.580355
112,-6.739483
113,-139.147693
114,31.963916
115,181.097246
116,23.158262
117,-50.589869
118,-16.155880
119,28.987378
120,-32.671604
121,-40.415690
122,-90.375347
123,-29.772647
124,110.566984
125,-142.729219
126,-19.363298
127,68.113730
128,-156.546033
129,8.506530
130,20.410980
131,139.052505
132,24.808192
133,-93.970637
134,-72.829226
135,-42.383740
136,-160.660246
137,84.469499
138,185.496651
139,28.112991
140,9.016775
141,-36.986340
142,6.673176
143,12.502016
144,2.329781
145,22.241615
146,34.661895
147,-90.676518
148,15.104594
149,32.679404
150,33.312625
151,-4.443176
152,3.909111
153,37.805861
154,-19.810809
155,86.959549
156,22.557955
157,-85.980903
158,-12.581046
159,41.072096
160,-20.693171
161,-34.173514
162,23.483988
163,4.863762
164,-63.505347
165,-20.934626
166,-52.400543
167,-28.161730
168,37.868497
169,96.417632
170,166.196840
171,-1.798687
172,61.267686
173,8.142837
174,-62.969767
175,42.445942
176,200.907390
177,32.156495
178,-18.743389
179,14.973614
180,-37.065325
181,72.335348
182,13.799536
183,-0.562223
184,-84.218215
185,20.231807
186,-28.673061
187,337.106351
188,153.415991
189,-45.001540
190,-37.422399
191,-38.179462
192,-123.453334
193,8.457888
194,68.303214
195,-47.043473
196,-22.175740
197,12.154743
198,-56.712152
199,-86.664776
200,-38.056729
201,-15.997255
202,22.813016
203,-35.122568
204,39.084798
205,-0.226153
206,-35.025793
207,-116.880382
208,34.883209
209,28.910191
210,-14.979516
211,0.630218
212,47.864153
213,-35.952268
214,-33.698356
215,-32.755827
216,370.203879
217,35.645029
218,-102.670558
219,29.976252
220,-23.268474
221,144.726696
222,39.389905
223,-40.483602
224,16.543589
225,-31.436889
226,308.714761
227,59.213598
228,21.166057
229,-29.273116
230,112.358835
231,3.944484
232,36.093980
233,43.107541
234,-43.825741
235,-5.269662
236,28.098087
237,39.638205
238,34.025045
239,9.023669
240,-59.068524
241,119.451613
242,266.626413
243,44.740328
244,-7.982128
245,4.304104
246,37.756563
247,76.287095
248,27.603474
249,19.972336
250,4.296747
251,-42.669983
252,-89.574584
253,-44.894869
254,127.436204
255,-2.536863
256,-41.901342
257,-6.360391
258,104.726071
259,-90.446478
260,129.428823
261,-28.816532
262,-31.313010
263,-71.089737
264,68.837080
265,-64.200260
266,-44.461946
267,-21.057815
268,-43.836611
269,-9.647022
270,-174.687592
271,-35.402389
272,-89.315843
273,-7.637015
274,-3.849713
275,6.248109
276,106.414660
277,98.289232
278,12.651496
279,39.177906
280,73.395693
281,-6.642712
282,23.028084
283,238.433406
284,-123.884303
285,-77.178773
286,30.426312
287,305.197855
288,16.294960
289,426.113119
290,16.489421
291,43.938831
292,23.033735
293,-2.200992
294,17.744407
295,-207.034952
296,-20.559094
297,-84.004906
298,11.362492
299,-0.738410
300,51.241086
301,21.165825
302,199.717978
303,-46.617991
304,28.348119
305,-35.810155
306,160.782843
307,26.658182
308,0.418871
309,-1.498963
310,-16.797771
311,15.906554
312,-46.620328
313,110.349147
314,274.833348
315,115.198325
316,-51.373771
317,-51.848121
318,20.270824
319,-9.313702
320,-58.272520
321,-28.930883
322,-41.741044
323,-21.048167
324,29.691412
325,-20.769861
326,-19.668492
327,-51.001442
328,-66.139447
329,46.933409
330,-42.334774
331,69.921372
332,-58.354855
333,21.424464
334,-14.386692
335,14.586771
336,-19.639225
337,39.154213
338,25.000904
339,-64.297968
340,-15.687171
341,-18.812630
342,-32.372033
343,-15.077570
344,-17.223861
345,22.329401
346,9.255789
347,12.139122
348,24.913970
349,-12.460655
350,20.578673
351,35.343154
352,-17.651018
353,-49.655049
354,-20.144599
355,-71.385422
356,-1.322706
357,343.442267
358,-43.333573
359,24.045150
360,25.503131
361,-84.933352
362,1.166621
363,-55.995874
364,-29.590628
365,-3.206712
366,22.474899
367,-69.919874
368,-51.554235
369,73.696644
370,51.952564
371,-42.716608
372,-40.016994
373,-7.229497
374,-2.575072
375,-21.728495
376,29.140549
377,-72.134031
378,43.691913
379,-1.947712
380,-60.875820
381,85.646829
382,-33.751328
383,-13.903275
384,12.169578
385,30.448789
386,-57.619737
387,3.206599
388,-35.681066
389,-24.763833
390,-31.167131
391,-16.037558
392,96.372841
393,-30.393762
394,37.215791
395,12.563232
396,-52.311759
397,16.805177
398,39.222638
399,-53.474192
400,37.376757
401,-15.175215
402,283.140961
403,-8.023911
404,190.966230
405,-32.359933
406,16.565700
407,-21.532107
408,-23.625021
409,113.962723
410,29.275271
411,-25.963338
412,37.810238
413,-54.680824
414,-21.563052
415,101.377270
416,-27.167396
417,-23.142578
418,25.611650
419,-23.447186
420,-116.567760
421,20.674670
422,27.010529
423,-47.207200
424,139.107142
425,-24.580659
426,248.117781
427,33.483097
428,289.933221
429,-108.231286
430,100.750773
431,61.988741
432,53.800637
433,113.768138
434,108.312386
435,42.195389
436,37.769869
437,89.047413
438,-63.647636
439,-8.237910
440,-68.144699
441,-18.932392
442,106.734605
443,-9.330736
444,-15.119570
445,321.293015
446,69.160683
447,31.577729
448,18.806949
449,-58.312009
450,-54.619006
451,-51.023848
452,-150.726319
453,-44.092161
454,-29.594715
455,-15.376012
456,-22.659136
457,10.346195
458,108.407860
459,326.657467
460,-125.151680
461,-17.745490
462,69.854857
463,4.057590
464,101.139578
465,32.422747
466,-34.524090
467,4.786226
468,30.599094
469,274.635597
470,-50.667469
471,8.409813
472,85.555820
473,53.886887
474,28.533255
475,-160.369768
476,186.568471
477,34.781201
478,27.947160
479,22.905018
480,45.889228
481,16.416326
482,-19.184770
483,-23.422947
484,135.984342
485,12.404880
