episode,reward
1,45.299588
2,-62.533539
3,-28.384383
4,18.021100
5,-161.095772
6,5.794345
7,-88.860351
8,34.229526
9,55.637054
10,-5.442656
11,190.005828
12,-15.467277
13,-7.164799
14,77.236477
15,79.485868
16,22.181330
17,-57.471691
18,5.855673
19,-20.880401
20,-47.042562
21,25.030138
22,-38.690910
23,-6.924356
24,44.474510
25,75.213437
26,-141.455778
27,-30.942946
28,11.204646
29,-85.487295
30,168.489200
31,1.837850
32,-44.690503
33,60.965211
34,11.967701
35,45.321119
36,-26.990357
37,29.970707
38,-46.078910
39,-5.322655
40,4.869884
41,113.489985
42,45.371895
43,199.178425
44,-25.306975
45,-83.877327
46,-144.212162
47,63.823046
48,-1.659112
49,21.041361
50,5.973898
51,21.968368
52,-134.943617
53,-78.846386
54,35.442529
55,45.807854
56,23.268902
57,-3.765952
58,-44.954357
59,-135.062373
60,-73.272257
61,-6.179292
62,20.198521
63,32.601717
64,68.155014
65,-29.619622
66,44.509140
67,-17.249463
68,-82.395400
69,-85.825535
70,84.856492
71,-14.542928
72,-55.115296
73,-0.118214
74,-15.764967
75,23.228124
76,-15.002203
77,121.938586
78,-24.339489
79,-28.503447
80,68.107116
81,-39.889694
82,43.398709
83,42.643112
84,72.683777
85,-39.688718
86,10.831203
87,322.099012
88,12.517093
89,-61.418672
90,-88.283097
91,106.030355
92,0.129489
93,6.220162
94,40.998958
95,-14.427954
96,-5.794469
97,-36.696020
98,-10.308598
99,-66.911783
100,107.188727
101,-52.780794
102,-38.936741
103,-8.425826
104,-56.279610
105,-46.550284
106,-26.840906
107,61.864182
108,-94.033241
109,15.246900
110,66.013628
111,7.185764
112,50.762807
113,67.931400
114,4.821694
115,11.823812
116,10.520732
117,-151.697920
118,-5.567428
119,-11.161933
120,49.536870
121,-153.266771
122,231.746242
123,-145.356336
124,239.343408
125,-64.672673
126,-15.301188
127,-52.551893
128,-62.578217
129,47.332074
130,-46.299983
131,-16.871973
132,-11.581883
133,-12.777834
134,-14.934811
135,-89.711601
136,-7.759179
137,-103.752498
138,276.900782
139,-44.321084
140,80.325022
141,-28.812073
142,-5.829826
143,-184.335823
144,-20.264834
145,16.580877
146,-21.245897
147,5.802794
148,-47.414077
149,-75.033953
150,-3.077853
151,15.881518
152,-26.334495
153,-82.846426
154,39.695019
155,23.371797
156,4.737369
157,13.933423
158,17.131474
159,5.366078
160,36.175302
161,19.951103
162,-18.379746
163,-130.549092
164,40.095140
165,22.840956
166,43.220637
167,3.993029
168,-25.188954
169,-5.240398
170,-49.277033
171,-16.785487
172,-42.387570
173,20.885005
174,28.393186
175,36.309014
176,34.346568
177,240.504425
178,51.188419
179,-10.123046
180,-51.923151
181,4.870988
182,-52.047478
183,27.473711
184,7.102539
185,-10.503023
186,63.728750
187,3.813127
188,-48.473254
189,-55.801014
190,59.789334
191,-39.345385
192,27.260239
193,14.261001
194,-121.733219
195,13.242391
196,365.416437
197,-24.974049
198,-44.419102
199,-98.165950
200,305.622761
201,-77.238894
202,71.928475
203,5.246877
204,-38.004913
205,18.537799
206,-100.834450
207,-122.741716
208,14.630580
209,-43.825844
210,-57.086277
211,33.355063
212,-48.554637
213,38.516864
214,-91.829409
215,-31.968391
216,-134.606193
217,67.758035
218,-2.291478
219,9.168024
220,46.641570
221,4.210348
222,-21.263163
223,-58.112697
224,239.850342
225,-4.701493
226,71.219365
227,-26.279179
228,55.992357
229,-12.879888
230,3.674802
231,-90.350571
232,-120.265785
233,-19.938751
234,-20.074320
235,66.025132
236,-4.042459
237,199.952783
238,-23.168312
239,18.413995
240,100.673096
241,253.505979
242,21.001004
243,66.868920
244,-41.530942
245,7.165889
246,-73.722605
247,51.710175
248,-12.901925
249,-35.305221
250,191.694000
251,-103.358806
252,-18.881941
253,7.163815
254,34.993003
255,-15.382824
256,-46.979142
257,19.039636
258,72.993313
259,19.207931
260,-10.257699
261,-29.902341
262,-19.019288
263,-70.491106
264,-56.312437
265,82.618122
266,3.442987
267,-27.059839
268,-40.798721
269,141.475678
270,131.502935
271,-61.622402
272,24.050523
273,25.550452
274,-33.865215
275,-39.510977
276,-30.044727
277,53.308796
278,-187.361356
279,-39.726403
280,-67.169200
281,-163.358704
282,-24.084348
283,-22.123291
284,99.597462
285,29.633508
286,88.458829
287,-24.605409
288,88.867074
289,0.544774
290,6.321549
291,69.078248
292,-59.204574
293,53.932413
294,-91.746519
295,182.043866
296,-4.081954
297,287.320770
298,-41.910335
299,-32.819218
300,-6.786258
301,-50.557718
302,-5.282139
303,44.141682
304,-43.782796
305,30.221908
306,9.366230
307,-5.828445
308,2.680793
309,-2.087222
310,-37.136220
311,-9.101481
312,-140.615868
313,163.021027
314,94.797908
315,-136.831152
316,-32.466711
317,33.553438
318,15.892185
319,89.704353
320,249.275164
321,-50.371804
322,-24.673356
323,39.327032
324,-43.097382
325,-18.750773
326,-43.091815
327,18.302951
328,29.357600
329,12.491166
330,-86.425939
331,22.697428
332,179.557411
333,65.049828
334,-1.930653
335,32.128103
336,-32.555912
337,-80.360249
338,-29.717693
339,-50.972492
340,-51.971793
341,-31.053687
342,45.984548
343,-20.794741
344,-45.241732
345,70.035027
346,19.009628
347,1.736581
348,42.883213
349,-116.127638
350,39.163712
351,57.836774
352,-103.092793
353,-4.471029
354,-7.890888
355,-38.791524
356,28.560518
357,29.547038
358,-28.200813
359,2.548150
360,58.427886
361,-24.160446
362,55.518816
363,33.764223
364,42.058684
365,-162.910309
366,344.475869
367,-43.101658
368,-39.509272
369,-5.546431
370,-13.733864
371,9.357984
372,-96.370657
373,7.103827
374,39.520391
375,-52.886772
376,54.010675
377,-49.876312
378,-106.725526
379,19.841946
380,-34.139286
381,-40.706931
382,-58.114194
383,95.488432
384,-40.029304
385,-58.549002
386,-78.985692
387,5.292135
388,24.938986
389,10.920397
390,-138.842561
391,27.580178
392,4.105348
393,-61.368270
394,64.235492
395,-36.312304
396,-89.684539
397,9.577338
398,-29.444366
399,160.893269
400,-32.699682
401,-18.537868
402,-123.616524
403,25.268657
404,-3.613173
405,-29.752794
406,22.141231
407,-23.104523
408,6.786001
409,2.081481
410,-20.796227
411,-49.475228
412,60.546352
413,9.829542
414,-58.324175
415,-7.494271
416,321.258924
417,-40.165086
418,248.061134
419,5.965468
420,17.263671
421,-26.920962
422,-15.962391
423,103.686561
424,14.233353
425,-46.516906
426,32.709278
427,-178.406935
428,-75.172796
429,-65.590635
430,13.790794
431,130.823173
432,54.517842
433,-40.556951
434,48.371705
435,-67.268298
436,29.216339
437,-8.623561
438,150.055339
439,-92.726735
440,136.840736
441,-112.317922
442,34.855668
443,169.591022
444,36.549781
445,30.583709
446,32.507052
447,62.409875
448,96.550833
449,288.710920
450,101.500198
451,-15.885506
452,156.065388
453,-63.764740
454,47.375707
455,62.976011
456,-77.848169
457,-15.166819
458,-28.078382
459,-70.378574
460,129.908818
461,-42.910995
462,-84.406115
463,202.261736
464,-63.194140
465,-24.575346
466,194.795444
467,24.332624
468,-0.932154
469,-7.505946
470,-4.204041
471,-53.616548
472,337.393404
473,-74.388643
474,43.507972
475,-33.364757
476,-22.013529
477,-16.412392
478,-13.168970
479,-73.020316
480,-21.132806
481,-46.231264
482,268.095138
483,-69.521346
484,113.783000
485,18.101960
486,80.567776
487,40.211193
488,71.269573
489,15.731388
490,55.534418
491,97.032002
492,-147.817141
493,-30.966037
494,-13.536456
495,113.218079
496,27.518296
497,-33.158486
498,73.718957
499,-13.654207
500,84.288821
501,340.290443
502,-12.078762
503,380.685865
504,87.267256
505,11.355096
506,-40.756936
507,-84.236938
508,21.782176
509,59.202905
510,29.097681
511,24.779552
512,28.132908
513,-184.874119
514,57.978533
515,332.595790
516,-16.892303
517,25.009446
518,-36.652997
519,17.175161
520,15.468171
521,-26.174129
522,21.127422
523,-89.667085
524,40.445241
525,15.079800
526,-113.119090
527,-55.256061
528,5.584671
529,-25.384808
530,-16.694358
531,57.956945
532,183.468802
533,22.250123
534,129.542852
535,-40.496189
536,-13.940797
537,93.740248
538,-39.474638
539,-15.838598
540,34.095597
541,130.473407
542,-109.779608
543,30.794836
544,102.136104
545,-7.243487
546,-79.320379
547,42.359267
548,71.549224
549,-18.578001
550,-12.980193
551,-16.384904
552,85.836726
553,-107.254084
554,-50.797349
555,-16.858884
556,33.739650
557,398.828792
558,37.187905
559,31.661887
560,34.505915
561,-111.585307
562,41.258137
563,32.121809
564,-90.170719
565,41.753559
566,44.507018
567,40.827162
568,-22.167739
569,-62.900905
570,-2.779295
571,-68.054473
572,-91.308110
573,21.217076
574,10.939608
575,33.445129
576,182.358630
577,-143.716602
578,172.670384
579,6.024194
580,-4.538823
581,9.424222
582,-117.206770
583,25.003191
584,57.364922
585,28.747697
586,-228.505111
587,-2.189495
588,309.947846
589,8.494703
590,97.504086
591,63.733264
592,-53.127966
593,15.599269
594,26.890047
595,-35.155157
596,59.808914
597,-14.108596
598,49.853947
599,127.182377
600,-67.425984
601,13.271525
602,-70.358566
603,0.793016
604,71.722582
605,57.837328
606,31.149746
607,42.373069
608,11.518578
609,49.256076
610,10.107184
611,76.567225
612,4.438502
613,-4.947147
614,71.501564
615,31.738574
616,259.788234
617,69.946674
618,-151.212336
619,323.632491
620,303.673767
621,-39.681846
622,-26.464351
623,84.049146
624,275.624616
625,-5.483915
626,277.474098
627,114.521057
628,4.383415
629,259.409510
630,26.845287
631,9.783289
632,40.643396
633,205.214448
634,37.241639
635,103.550177
636,14.271285
637,-18.992496
638,-6.275575
639,-7.832637
640,-39.110105
641,75.787854
642,11.487182
643,273.361521
644,99.868677
645,-4.553662
646,208.370762
647,-16.605547
648,53.699636
649,301.290698
650,25.132310
651,396.517928
652,-34.459751
653,-15.918839
654,10.519465
655,67.012827
656,-64.299481
657,35.804053
658,34.400101
659,3.063855
660,270.865359
661,337.765303
662,2.567615
663,56.911247
664,72.834254
665,293.376142
666,217.323085
667,297.019439
668,-28.139996
669,104.118710
670,350.969361
671,76.238612
672,288.446773
673,21.033546
674,200.371814
675,-45.043379
676,-14.555538
677,370.420005
678,130.799284
679,-19.782734
680,-61.271699
681,349.236116
682,7.551918
683,56.740790
684,44.908715
685,8.081067
686,36.346757
687,276.278125
688,-33.401568
689,94.854515
690,193.537607
691,26.330661
692,30.189242
693,-88.213179
694,25.929857
695,235.346954
696,-0.809293
697,147.725647
698,390.925288
699,40.811311
700,-7.832936
701,42.486818
702,70.004961
703,-19.104010
704,1.040221
705,-11.728802
706,19.801051
707,-23.377851
708,64.865656
709,-186.840259
710,104.223186
711,315.841197
712,112.801426
713,-114.260770
714,68.164675
715,-35.332955
716,-8.920257
717,11.178494
718,-49.714538
719,0.588399
720,-32.163370
721,70.855369
722,24.935759
723,325.944081
724,72.338166
725,262.105108
726,52.405107
727,38.828659
728,19.611533
729,92.619342
730,22.641986
731,10.262598
732,311.105030
733,23.090865
734,159.459760
735,6.089910
736,367.769642
737,112.543810
738,-48.274931
739,333.411122
740,449.618697
741,25.417627
742,42.543040
743,-85.979337
744,-16.287899
745,-9.561812
746,116.984418
747,67.703480
748,79.789259
749,-26.899235
750,-22.069637
751,36.079021
752,-8.822192
753,149.300834
754,-6.318834
755,68.898586
756,66.776528
757,35.375666
758,68.976823
759,105.623168
760,-8.640358
761,41.264938
762,29.647124
763,-0.598103
764,8.250397
765,57.301138
766,12.077429
767,3.743840
768,64.345191
769,461.105299
770,101.585627
771,318.273103
772,8.049581
773,68.847734
774,176.640287
775,22.108843
776,41.036804
777,23.050938
778,-12.203556
779,317.932880
780,92.529688
781,-65.195419
782,3.981480
783,9.370463
784,287.042912
785,281.878274
786,286.578041
787,76.763149
788,-1.459239
789,-18.026665
790,66.089534
791,45.799806
792,-70.239106
793,79.519554
794,236.981084
795,68.938751
796,305.191413
797,337.557000
798,351.391473
799,14.209223
800,19.389467
801,24.107450
802,74.384228
803,327.738797
804,285.594177
805,-111.685554
806,98.439671
807,-9.966728
808,353.516998
809,-71.040002
810,99.766494
811,85.480880
812,33.809235
813,41.097500
814,-123.013425
815,49.343425
816,135.529455
817,383.908557
818,79.211768
819,-14.056772
820,281.738613
821,-159.209087
822,-22.399242
823,185.061985
824,21.563939
