episode,reward
1,41.156531
2,-60.839168
3,-19.782646
4,16.010133
5,-183.471514
6,-1.670936
7,-133.233056
8,29.756745
9,53.255058
10,219.141405
11,-7.146596
12,-17.781796
13,2.035854
14,67.578735
15,113.574445
16,-26.906797
17,-59.938783
18,55.485098
19,-29.824158
20,21.919072
21,-20.040379
22,49.579688
23,34.239198
24,79.143712
25,-145.306987
26,-4.794003
27,-111.200035
28,-49.328611
29,236.183135
30,7.699941
31,43.772394
32,-20.748627
33,71.466792
34,-26.983622
35,31.388911
36,-59.076356
37,18.640580
38,44.321808
39,146.882805
40,-122.322340
41,-177.984078
42,-34.671164
43,232.615931
44,-22.495496
45,1.198724
46,66.573087
47,21.817628
48,57.656964
49,-30.421693
50,-118.975993
51,99.879454
52,10.620183
53,-66.534568
54,-61.932782
55,20.895278
56,-42.449392
57,-36.745856
58,-46.186247
59,20.754831
60,19.594614
61,-117.656436
62,58.322012
63,-99.730267
64,-39.232244
65,28.732425
66,-57.802067
67,73.659603
68,-14.149101
69,-36.054877
70,-24.418300
71,43.963388
72,45.334241
73,-11.181804
74,-21.003922
75,118.409232
76,-10.490915
77,-7.716523
78,-106.253126
79,46.398692
80,91.657831
81,-37.457184
82,92.997835
83,64.108576
84,-60.692072
85,-1.366577
86,-76.272467
87,-18.963639
88,-9.658004
89,61.457014
90,4.907730
91,7.150959
92,1.390853
93,84.565519
94,-23.334966
95,22.709643
96,-132.179265
97,-31.058934
98,-60.920095
99,92.692369
100,0.036599
101,0.283161
102,-85.941277
103,-57.150669
104,-15.350956
105,69.056943
106,147.837701
107,105.716547
108,-14.245490
109,48.461551
110,25.811822
111,124.437413
112,37.685173
113,148.110429
114,-25.030249
115,28.866584
116,-126.440033
117,22.367471
118,375.163073
119,-52.824092
120,167.897589
121,-75.004963
122,-63.773224
123,-17.039952
124,-77.233849
125,-45.734499
126,-66.466063
127,-17.470212
128,-2.144382
129,12.318574
130,-27.374817
131,-17.396635
132,-81.761068
133,8.197447
134,218.697733
135,-55.703491
136,-15.170309
137,14.891926
138,-108.578766
139,-30.356679
140,-184.259748
141,-33.912550
142,318.328624
143,36.531309
144,-5.782458
