episode,reward
1,48.863943
2,-59.045073
3,-37.409083
4,-1.381106
5,-13.107824
6,-119.834165
7,-192.583110
8,31.909297
9,50.996855
10,-18.838445
11,216.513857
12,-53.728527
13,60.673182
14,-5.509541
15,8.555561
16,-52.989430
17,-42.072056
18,0.927550
19,50.634431
20,-45.080012
21,35.876395
22,-16.102849
23,59.111248
24,30.387589
25,50.865286
26,-95.682750
27,10.639292
28,-135.545245
29,-87.360882
30,132.425146
31,4.432106
32,-21.580184
33,22.130456
34,-16.401155
35,41.972886
36,-28.229257
37,-7.932767
38,-60.963363
39,-9.901557
40,131.700747
41,-64.685166
42,-11.823071
43,234.278993
44,-28.218368
45,-36.631748
46,-22.686431
47,16.183477
48,32.898162
49,24.602878
50,78.383889
51,0.787007
52,91.720573
53,-109.192451
54,-13.947198
55,2.984993
56,-20.789867
57,-140.389552
58,87.633874
59,-2.917305
60,19.390872
61,66.146863
62,69.419226
63,60.354661
64,-57.922450
65,-93.227524
66,-6.800154
67,51.134819
68,3.652712
69,-75.107797
70,-13.983049
71,-68.553235
72,18.740696
73,0.838719
74,30.566573
75,26.140938
76,-9.983484
77,161.042186
78,43.900631
79,-40.441438
80,63.037999
81,42.513350
82,3.014328
83,81.127350
84,103.142476
85,21.028573
86,13.302067
87,-64.931718
88,-9.523910
89,-133.855146
90,-10.477256
91,28.081383
92,64.259018
93,4.094517
94,13.474742
95,9.833976
96,-37.124380
97,-43.157179
98,-116.947276
99,-33.117465
100,-98.012920
101,81.702527
102,-2.332893
103,4.393073
104,41.644146
105,-82.770751
106,-42.029391
107,-81.006429
108,-104.856725
109,249.918661
110,95.392243
111,45.421365
112,68.808843
113,-44.999317
114,4.966034
115,29.274049
116,-148.310908
117,-135.909400
118,12.880272
119,217.241419
120,-74.894005
121,249.468816
122,-50.786698
123,-33.373734
124,15.367393
125,-92.929473
126,78.392624
127,6.908574
128,11.052640
129,-19.108972
130,0.376067
131,58.966468
132,78.317211
133,-47.655287
134,33.440769
135,46.182062
136,-57.694397
137,246.507433
138,-209.865036
139,42.687691
140,-0.390768
141,-108.433589
142,68.968999
143,81.131305
144,-55.149243
145,-97.810073
146,6.166119
147,31.998308
148,23.359391
149,-16.754336
150,-51.711637
151,33.029433
152,-23.297174
153,29.120720
154,-16.608394
155,203.512186
156,27.474812
157,-139.900425
158,45.184287
159,103.227171
160,45.993605
161,19.602745
162,-5.524061
163,2.059347
164,-74.189920
165,-61.884987
166,-2.668884
167,-25.199337
168,-33.665193
169,4.957115
170,-11.537122
171,-49.583403
172,80.483648
173,-11.688411
174,33.163438
175,64.614587
176,-4.902001
177,76.111152
178,19.507753
179,1.541977
180,112.854321
181,-49.234422
182,154.819605
183,-55.681585
184,-18.921235
185,-25.605334
186,-42.666211
187,19.691798
188,57.052636
189,3.284462
190,-10.776807
191,-34.361664
192,50.642958
193,-40.210484
194,-66.581869
195,305.216602
196,59.258444
197,-74.471338
198,-3.772958
199,-8.242309
200,-51.429975
201,-46.291168
202,-21.149431
203,-124.134143
204,76.310701
205,39.880123
206,52.409787
207,-22.398809
208,-32.896772
209,-173.135502
210,95.608730
211,51.643293
212,43.494282
213,8.132289
214,70.680639
215,-25.576035
216,-20.981904
217,-91.369099
218,110.876359
219,-116.103052
220,-10.316872
221,26.233642
222,-47.234785
223,78.359625
224,-22.866488
225,-66.167296
226,-33.068741
227,4.857980
228,5.784099
229,26.572507
230,46.822750
231,38.794271
232,46.286689
233,-35.388472
234,79.056726
235,-8.986714
236,89.810624
237,-13.653073
238,15.031981
239,-56.922672
240,20.743281
241,313.393668
242,3.592964
243,339.614491
244,4.234132
245,7.261530
246,26.703854
247,-23.779438
248,-30.724279
249,404.588485
250,-46.564954
251,117.229505
252,0.235850
253,124.766394
254,6.083974
255,-49.328819
256,-14.076201
257,11.562118
258,286.527257
259,-32.497432
260,-9.709747
261,105.680357
262,-69.386592
263,10.680042
264,-51.043794
265,-28.310078
266,53.747975
267,-222.431681
268,-49.960630
269,247.489415
270,1.663269
271,-24.974626
272,-121.160218
273,-46.260675
274,59.284807
275,90.537387
276,52.968536
277,21.287370
278,96.918718
279,11.480098
280,111.612716
281,84.371790
282,59.944614
283,-27.640909
284,-94.279524
285,183.617385
286,-1.120104
287,23.259439
288,-87.575626
289,-76.926665
290,285.352374
291,5.542585
292,-30.808721
293,44.829010
294,-37.047505
295,27.519302
296,14.899162
297,-10.663887
298,27.619641
299,-42.598720
300,-195.439223
301,-18.571747
302,101.546580
303,-26.959218
304,-77.369069
305,173.601246
306,14.012237
307,194.532601
308,-67.423999
309,107.192929
310,27.398801
311,47.574954
312,-34.900173
313,-82.100172
314,12.006396
315,-63.456542
316,78.327187
317,-11.034137
318,108.823940
319,120.327235
320,-56.683608
321,-11.588127
322,29.130551
323,-6.265394
324,53.245594
325,-35.139561
326,-61.009072
327,-14.341092
328,-48.094113
329,-36.079121
330,47.447245
331,-43.482601
332,-11.294671
333,6.619009
334,-29.978605
335,70.748510
336,15.758960
337,9.634798
338,-151.429958
339,5.947244
340,-81.557990
341,40.787337
342,-155.573422
343,-9.818517
344,-26.803404
345,4.088333
346,21.674658
347,-29.835415
348,51.196546
349,26.904431
350,34.962670
351,46.767437
352,126.077112
353,19.588268
354,-183.782064
355,-26.696602
356,-26.677402
357,336.186490
358,-57.627035
359,-84.662677
360,-54.405245
361,-140.122869
362,35.757612
363,36.130387
364,55.724078
365,-4.074470
366,-49.273946
367,-45.375421
368,-156.867455
369,10.159064
370,93.965090
371,-107.682472
372,105.057100
373,-31.599999
374,15.819464
375,16.240132
376,-22.053383
377,-39.060164
378,-40.409974
379,-35.400830
380,61.816106
381,-5.507896
382,-45.586054
383,-11.679835
384,-15.368530
385,9.163586
386,160.033567
387,101.746341
388,-31.302949
389,8.487818
390,-65.460542
391,-34.583398
392,15.634838
393,-12.399999
394,67.757703
395,21.699266
396,32.880625
397,-60.497690
398,7.125526
399,-39.386586
400,-0.390423
401,78.232006
402,323.095982
403,-19.306820
404,17.139740
405,-68.741224
406,-16.788200
407,155.439798
408,-41.415762
409,440.873457
410,11.016169
411,34.327081
412,162.853572
413,-8.669368
414,-73.307235
415,-18.729547
416,-44.506584
417,114.247532
418,55.267002
419,-52.988733
420,71.341580
421,27.203941
422,-6.596082
423,120.835066
424,-18.615794
425,174.939095
426,1.778683
427,-139.388780
428,17.904471
429,303.300536
430,40.301427
431,45.196198
432,22.095512
433,91.060467
434,141.806588
435,273.261704
436,38.008049
437,64.069093
438,-26.774449
439,-84.465768
440,32.190930
441,-81.605216
442,-66.864157
443,-84.156278
444,-15.695463
445,321.580800
446,-71.238153
447,130.740679
448,-10.465193
449,-38.732438
450,214.869678
451,-84.028966
452,-31.836980
453,0.098653
454,310.066245
455,-19.836495
456,114.346847
457,-125.999677
458,-55.926564
459,47.640307
460,72.243594
461,50.270254
462,-35.403862
463,34.244337
464,-8.974014
465,49.354691
466,-11.768511
467,281.742639
468,-91.506069
469,-82.473710
470,70.852066
471,27.131609
472,-92.235683
473,-10.418806
474,73.462627
475,187.694713
476,8.783431
477,115.509638
478,-118.075394
479,-33.298713
480,98.218453
481,-16.125569
482,18.496263
483,51.680300
484,16.440939
485,-33.680959
486,-161.805877
487,94.316334
488,9.443193
489,341.742933
490,70.051377
491,-22.898666
492,68.150865
493,-119.968169
494,63.209677
495,5.430257
496,12.193558
497,187.959239
498,-267.958990
499,-38.946592
500,26.183276
501,78.563992
502,55.767598
503,9.904103
504,44.345310
505,8.391063
506,-29.169613
507,-26.602635
508,-33.477300
509,130.397186
510,-54.366707
511,13.051794
512,-38.859239
513,70.372868
514,-44.434310
515,-22.617002
516,-27.776080
517,5.950127
518,-13.341651
519,-2.157467
520,214.107564
