episode,reward
1,38.229643
2,-53.768635
3,-60.200064
4,1.190245
5,-1.825184
6,-103.946176
7,-192.151489
8,28.071967
9,68.353327
10,-20.201184
11,216.976526
12,-27.964950
13,38.437521
14,-1.498846
15,73.610846
16,14.155303
17,-34.231348
18,-26.420901
19,54.014617
20,-34.424221
21,26.914997
22,-17.821245
23,-102.490954
24,104.483013
25,-119.862044
26,223.613844
27,-6.698665
28,-119.807440
29,-54.686719
30,45.776767
31,29.839937
32,-2.599712
33,99.698413
34,-17.625362
35,24.708700
36,-43.638699
37,6.559691
38,25.205336
39,127.155900
40,-68.604437
41,12.401481
42,229.803819
43,20.748230
44,-151.550803
45,-15.255417
46,30.987606
47,20.946653
48,58.045721
49,-121.305673
50,61.351496
51,-22.002789
52,-8.744009
53,151.318058
54,70.707255
55,-52.950809
56,-14.791006
57,-29.398486
58,-71.846374
59,23.218131
60,-43.098429
61,-119.164072
62,44.771088
63,28.637196
64,-166.953450
65,6.188733
66,-39.805591
67,-2.851160
68,-103.248376
69,65.639891
70,-40.994607
71,-6.040365
72,-17.907934
73,12.446792
74,113.898564
75,-106.975520
76,-24.777572
77,22.198046
78,-37.266298
79,3.254421
80,3.452329
81,115.261886
82,-71.513119
83,273.815733
84,24.510429
85,-70.635987
86,-16.795429
87,-102.181033
88,-8.439123
89,20.538872
90,14.460495
91,19.279369
92,301.852720
93,6.974655
94,-73.523673
95,-57.249467
96,7.795840
97,-66.226748
98,-38.133596
99,-93.214478
100,-52.354057
101,11.762622
102,20.211360
103,34.665643
104,161.593520
105,31.518302
106,-32.492107
107,36.643590
108,-31.016530
109,58.692662
110,45.842998
111,-44.369729
112,10.904876
113,50.687732
114,0.279324
115,18.855703
116,-161.359558
117,-111.172538
118,17.909442
119,210.598856
120,-40.729744
121,-71.968875
122,272.494056
123,-26.594253
124,-40.306642
125,25.928499
126,28.195455
127,44.072089
128,-1.388535
129,-13.437757
130,14.010740
131,62.652948
132,-3.743756
133,-41.148111
134,31.203804
135,-59.964851
136,-23.264697
137,-117.567314
138,-89.935861
139,-20.384501
140,-120.984600
141,119.824287
142,163.856404
143,21.346636
144,28.981512
145,-32.927538
146,-28.544242
147,35.753942
148,7.161097
149,-88.121286
150,-25.403267
151,11.408063
152,128.332534
153,-13.233828
154,38.082267
155,-6.816677
156,36.358154
157,-141.248715
158,-2.129869
159,5.462655
160,35.712948
161,259.590205
162,56.216530
163,-7.355037
164,-27.794392
165,50.837404
166,-65.120647
167,-40.781559
168,-40.329307
169,-49.007114
170,16.273792
171,38.366152
172,250.885581
173,47.467578
174,-0.165442
175,-22.953876
176,-6.686523
177,10.878114
178,24.190048
179,52.570714
180,306.792352
181,-14.234887
182,33.906155
183,-35.929908
184,-16.776328
185,64.149449
186,-15.103956
187,5.918351
188,35.474092
189,-25.356802
190,358.406980
191,321.780552
192,-41.662802
193,-43.278824
194,-24.474599
195,-0.508493
196,-64.102381
197,-13.990328
198,68.468249
199,-1.611515
200,-4.758113
201,-47.413683
202,-73.585250
203,-44.748624
204,-55.964894
205,74.297346
206,62.601910
207,34.497824
208,-88.886066
209,-28.521825
210,70.696378
211,-106.446723
212,-4.529782
213,24.312297
214,10.688271
215,12.982515
216,112.291565
217,-17.894018
218,-34.779161
219,79.997020
220,-45.073694
221,-87.249663
222,11.514221
223,37.163863
224,-10.793632
225,81.018938
226,-21.743520
227,16.733023
228,-52.148929
229,-53.563374
230,-13.866614
231,-24.282914
232,-31.569369
233,306.379526
234,63.686870
235,-31.268229
236,95.595830
237,75.895280
238,10.684572
239,61.968473
240,-111.548799
241,14.022225
242,-45.255249
243,78.632007
244,-13.503467
245,19.253355
246,179.576275
247,132.512217
248,35.653148
249,-16.381637
250,-23.376891
251,-48.056655
252,335.080656
253,70.311389
254,-15.013810
255,-29.827294
256,23.037171
257,72.864419
258,-48.841570
259,-47.321852
260,96.710651
261,41.771918
262,8.316436
263,-27.509624
264,-64.435032
265,214.717052
266,21.822584
267,86.169904
268,-30.974521
269,76.303393
270,-35.566737
271,-39.609130
272,-190.130941
273,-66.468140
274,-33.643666
275,-28.822974
276,-96.949113
277,-157.584630
278,-13.206213
279,92.743745
280,-21.994746
281,63.115681
282,45.298420
283,59.069221
284,77.409986
285,-6.206433
286,30.867990
287,-23.130400
288,-120.821799
289,213.527195
290,121.321773
291,7.772276
292,118.984100
293,-29.365058
294,-77.300186
295,15.454839
296,273.552587
297,84.550435
298,-11.817186
299,17.069204
300,2.785985
301,-62.197917
302,6.544506
303,-146.853386
304,145.922185
305,-82.028779
306,76.308222
307,47.828976
308,193.644598
309,5.756083
310,-58.526226
311,-25.503497
312,140.527660
313,-45.778261
314,-19.403483
315,-35.935246
316,-40.333929
317,-69.493546
318,5.599673
319,39.976404
320,-95.750217
321,126.819557
322,174.362557
323,-45.714509
324,32.018551
325,24.198910
326,-49.159447
327,-24.011808
328,-94.678443
329,38.214962
330,-95.971997
331,-31.906943
332,-44.201177
333,67.873725
334,-54.728921
335,38.868712
336,80.379646
337,16.554164
338,-9.567808
339,14.931695
340,10.596565
341,32.091190
342,-120.445796
343,-25.714330
344,1.555632
345,-47.990490
346,-59.701569
347,14.374389
348,0.997190
349,-19.355709
350,-18.522874
351,22.518666
352,3.432424
353,-15.803726
354,20.235575
355,-48.169215
356,42.607780
357,-40.369830
358,357.119416
359,-102.443232
360,-17.696332
361,9.080982
362,51.202250
363,-99.639553
364,50.179771
365,-1.214073
366,-58.932849
367,18.919558
368,36.391174
369,-24.573907
370,-47.147456
371,-77.902994
372,51.250786
373,89.285026
374,-80.359064
375,-33.627119
376,-20.408890
377,-6.254048
378,-7.247349
379,-1.789933
380,-45.539712
381,66.287169
382,24.418760
383,-44.032479
384,-7.915263
385,44.404437
386,54.515676
387,-18.297824
388,23.324371
389,228.441702
390,-41.803369
391,2.173845
392,-20.377870
393,-25.727141
394,55.850756
395,8.132285
396,-24.976015
397,-10.770175
398,-20.701306
399,-20.586751
400,-84.173341
401,45.195963
402,7.403771
403,1.547396
404,-10.745208
405,71.599133
406,331.053729
407,-55.334078
408,-83.674995
409,25.120999
410,55.386426
411,-14.420220
412,134.097684
413,-6.011159
414,-14.595984
415,2.208066
416,-67.081384
417,1.154013
418,-8.088078
419,-8.609953
420,-15.802276
421,66.601487
422,-17.797421
423,52.586762
424,18.230827
425,-20.159190
426,-128.318121
427,83.096858
428,32.200425
429,-38.902455
430,1.447235
431,-19.830828
432,-96.292346
433,302.987479
434,9.005901
435,296.600506
436,82.244572
437,-2.675936
438,43.718227
439,16.375972
440,166.205317
441,73.151148
442,186.051937
443,127.770253
444,-22.440671
445,-56.528075
446,48.095631
447,-85.254031
448,12.303438
449,-7.085854
450,65.363768
451,-53.543266
452,352.457191
453,123.480148
454,-75.981267
455,-35.061689
456,-35.261271
457,-7.409938
458,-24.441321
459,97.816002
460,-4.507351
461,304.526089
462,-36.609388
463,-97.468959
464,-8.579957
465,17.173470
466,-49.340803
467,29.128723
468,22.755146
469,39.958487
470,81.473536
471,-21.176432
472,261.832739
473,-26.452659
474,1.920334
475,-20.736447
476,-7.424072
477,53.539504
478,-33.606802
479,-74.823980
480,72.239278
481,54.312154
482,45.441640
483,50.860197
484,17.550368
485,-149.619911
486,-46.401490
487,-16.971788
488,-32.984427
489,36.811705
490,14.984463
491,-170.257489
492,-60.439671
493,-29.547523
494,19.840606
495,69.353087
496,-127.928374
497,26.709914
498,14.252235
499,-11.253045
500,-19.160433
501,-46.169400
502,23.949369
503,-80.536412
504,40.541244
505,50.541037
506,-64.398824
507,-280.245051
508,-3.886663
509,60.961138
510,348.015360
511,-36.697818
512,-13.227473
513,-13.518204
514,7.517551
515,-24.477764
516,-29.621555
517,11.942855
518,-53.058557
519,37.385962
520,14.040081
521,-19.667976
522,-32.478108
523,0.809275
524,-40.403661
525,-18.008256
526,202.511729
527,52.869078
528,70.874927
529,-61.161819
530,-12.188347
531,96.313039
532,-43.840684
533,150.626254
534,-0.283027
535,15.264686
536,-85.268868
537,89.319196
538,0.796416
539,-24.629774
540,-3.067257
541,74.396685
542,37.031247
543,228.255247
544,-32.848810
545,-13.071949
546,21.404049
547,29.018789
548,-20.852416
549,27.984955
550,-2.130040
551,15.882215
552,66.309318
553,-164.439089
