episode,timestep,mean_reward,std_reward,steps_to_1000_return,actor_loss,critic_loss,entropy
1,63,97.98229865034392,0.0,,-11.80401611328125,0.9773372411727905,-1.5472184419631958
2,88,56.811195397683015,41.17110325266091,,1.696311116218567,0.951391875743866,-1.547019362449646
3,112,39.01667298774927,41.99202167423529,,-9.18889045715332,0.9238097667694092,-1.546738624572754
4,138,31.87270741228945,38.41361927294991,,10.287666320800781,0.9517643451690674,-1.5465041399002075
5,165,21.24765005221754,40.39866695990095,,-0.4647941589355469,0.9555315375328064,-1.5464789867401123
6,184,14.171419647210215,40.12989858577489,,-3.1804471015930176,0.8240476250648499,-1.5464221239089966
7,219,6.235401022500029,41.93128564469807,,9.198668479919434,0.9517906308174133,-1.5463712215423584
8,241,2.854452468142009,40.2302040540514,,0.2539226710796356,0.8218602538108826,-1.5464026927947998
9,262,0.5325402143523542,38.49376061256105,,1.8222861289978027,0.7748827338218689,-1.5464338064193726
10,282,-0.7288297646566706,36.71392288360027,,0.9588909149169922,0.8100566864013672,-1.546478033065796
11,307,-1.8860048895335466,35.19609650965857,,20.205217361450195,1.0295183658599854,-1.5465272665023804
12,339,-3.0008103687170133,33.89993332163588,,1.917421817779541,0.8914965391159058,-1.5467195510864258
13,366,-3.1244093008311102,32.572816551317736,,-6.267909526824951,1.0894606113433838,-1.546905279159546
14,397,-5.73955023739133,32.77361746087488,,5.915493488311768,0.9854004979133606,-1.5470197200775146
15,426,-3.802392507082421,32.48136064036804,,-1.8626126050949097,0.9132750630378723,-1.5471558570861816
16,451,-1.914701771177013,32.288535263315886,,-2.6858937740325928,1.31275475025177,-1.547271728515625
17,484,-4.099487360489015,32.520696131206414,,-0.8620365262031555,0.8567808270454407,-1.547355055809021
18,522,-3.789065897894665,31.63034155226142,,-12.35279655456543,1.217248797416687,-1.5474200248718262
19,543,-5.552827568087239,31.683073356728656,,6.18150520324707,0.8269696831703186,-1.5474166870117188
20,610,-5.466432638056206,30.883136143471944,,-5.010026931762695,1.2491493225097656,-1.5474451780319214
21,672,-8.57068829706897,33.18250493117737,,-10.410711288452148,1.2245705127716064,-1.547456979751587
22,750,-18.155574908392097,54.5921302304843,,-2.2112560272216797,1.2599743604660034,-1.5474437475204468
23,844,-26.86282610380618,67.22112247570237,,5.576654434204102,1.2261624336242676,-1.5474275350570679
24,923,-35.403137896255764,77.51096883165194,,0.5508360266685486,1.1892892122268677,-1.547428011894226
25,1075,-19.156196140307244,110.01248598118704,,-5.28907585144043,1.5180047750473022,-1.5474313497543335
26,1177,-25.60902779775054,112.59765854471677,,-12.760122299194336,1.295395851135254,-1.54743230342865
27,1282,-30.876252257646666,113.71017336457402,,-9.627674102783203,1.3903133869171143,-1.5474116802215576
28,1389,-36.290275166029055,115.15047579486122,,7.397943019866943,1.45952308177948,-1.5473768711090088
29,1542,-39.324655796129946,114.28128642147772,,-4.589804649353027,1.4215525388717651,-1.5473581552505493
