episode,timestep,return
1,42,83.39134188084698
2,74,54.17486921786726
3,111,60.389135969528795
4,151,80.74565448652743
5,181,47.61186586456149
6,223,79.70295287661511
7,252,21.44638258518342
8,273,26.197459241713585
9,309,-71.6748290930957
10,344,49.11971511463761
11,373,43.66819969263939
12,416,38.95413552043882
13,444,-74.08017288948008
14,485,-96.65225318729983
15,518,56.688066524296396
16,538,23.14887452532318
17,560,27.62303436052171
18,581,22.813458072640163
19,615,62.47213769949125
20,636,27.7236177020059
21,657,26.108670833065304
22,677,22.695580215136722
23,708,52.812476625205484
24,729,14.594903691296356
25,749,22.956805282160513
26,769,17.122367770795577
27,843,181.8819869064575
28,864,25.338120960620188
29,899,65.97571888151542
30,926,37.14841827488599
31,949,32.47222119181046
32,979,48.2381986023262
33,1001,27.972552527728038
34,1022,26.9957398751138
35,1041,21.45869181297854
36,1062,26.930299410880306
37,1141,214.19768663756426
38,1164,30.9803141774201
39,1185,15.736239902245957
40,1232,-113.38884623580529
41,1265,55.58294515412024
42,1379,302.5745014782314
43,1423,-104.07669426768567
44,1444,27.84906900889727
45,1522,193.95891565452987
46,1549,26.131873854425596
47,1577,49.11820837004077
48,1624,98.1526973304992
49,1656,38.40647206981903
50,1679,24.940457556130895
51,1714,59.08325616871923
52,1755,79.62001708436604
53,1844,272.1906546801253
54,1876,57.341728092280576
55,1907,42.404483424892334
56,1934,45.34512921207131
57,1963,50.07231267218738
58,1991,47.67854000170753
59,2018,44.723815125370805
60,2102,243.9820844884451
61,2133,54.48623098507056
62,2165,55.424325704465545
63,2249,241.04225060069172
64,2281,58.952955044613766
65,2357,187.6561405502949
66,2385,47.10551927328645
67,2417,56.960067353441815
68,2449,56.741675865242925
69,2523,188.44951308610246
70,2558,65.38439073865123
71,2641,239.91026131438278
72,2676,59.7012875854219
73,2722,-119.80922448278801
74,2805,247.97859042513772
75,2893,264.4581294841664
76,2925,59.17438495615905
77,2958,60.61486514038285
78,2991,61.20721572337302
79,3079,257.3835819488041
80,3123,68.561700461341
81,3149,-64.78498677704388
82,3172,34.985842212001955
83,3255,228.83253449392936
84,3275,28.155764366658392
85,3349,184.8245922844603
86,3396,96.34298927026511
87,3434,66.22413119649364
88,3462,46.338977652584056
89,3486,-39.51313921134107
90,3519,60.351722320214556
91,3600,233.62776295665682
92,3687,260.98951583159845
93,3764,194.93653521160007
94,3799,65.30864761769743
95,3889,274.88729847830217
96,3968,220.41735695614244
97,4011,65.93876433302233
98,4085,187.01262383609793
99,4117,58.438083411124495
100,4155,53.97429408516962
101,4187,56.006880817446074
102,4233,-96.50448008834175
103,4272,-59.01178784675158
104,4345,175.9202555209141
105,4408,-12.303942508454703
106,4490,234.96441364918653
107,4564,184.6973325785929
108,4657,252.92837115302257
109,4739,209.0893975539454
110,4829,265.4824253415866
111,4912,228.86399062368682
112,4950,67.28579451528711
113,5056,261.6215654020057
114,5159,293.0552594716731
115,5225,-97.38004723418342
116,5314,224.27906900954295
117,5349,-41.203226268016515
118,5377,-66.3516917706578
119,5456,207.04286614648447
120,5580,297.8089561744121
121,5611,-57.06272138636213
122,5698,258.2110891438401
123,5774,197.9396579728846
124,5859,249.74894724201368
125,5947,-25.11089383776971
126,6024,185.10436612024668
127,6108,254.1897201291029
128,6194,258.3657002679497
129,6294,258.04673340746484
130,6344,81.41186135513098
131,6410,-102.14020760341633
132,6430,-39.6780934227598
133,6526,274.3815452512697
134,6588,-115.8823833176315
135,6613,-31.667376196229114
136,6696,-152.73521000307187
137,6786,257.92457128138
138,6814,43.139615233660216
139,6836,32.99017463226943
140,6873,59.230867201732394
141,6919,74.59201194967386
142,6945,42.51928246524447
143,7020,-1.2921506257310895
144,7056,-84.64766489766001
145,7093,71.3502812563518
146,7168,189.9200763795326
147,7200,39.203503462177935
148,7293,255.30074014492953
149,7333,73.55848834984931
150,7389,-79.70945851317215
151,7420,55.58524296936884
152,7455,-41.263712973916185
153,7503,92.39560517756968
154,7609,288.30266381702853
155,7630,28.284977209346398
156,7682,35.762566606332314
157,7747,-70.59394770761257
158,7779,55.78477375339548
159,7819,73.22617123502246
160,7884,-116.12422846211435
161,7909,39.701996938639454
162,7993,252.8193472690528
163,8015,-51.60628719080267
164,8059,73.43743611875577
165,8092,58.47015568770866
166,8182,156.9149367256925
167,8205,37.653207738795246
168,8251,81.4746771041924
169,8401,341.6353630095043
170,8425,37.91635489445768
171,8459,51.62421795326243
172,8486,41.44806549350068
173,8595,281.9090976961665
174,8661,-66.56845929681222
175,8698,60.61120863352149
176,8720,32.86693423169363
177,8750,52.362541430394636
178,8789,72.64852853073461
179,8845,85.21577944663707
180,8905,-91.02160729071164
181,8959,-104.23996021635001
182,8984,38.58718166586354
183,9015,54.8604183081693
184,9051,67.8384385407659
185,9089,64.0177845555231
186,9167,207.36592548723783
187,9227,-33.00330883233503
188,9321,255.8902424415299
189,9420,281.5837963393412
190,9531,-48.16785686937848
191,9565,53.54519451090857
192,9589,36.13601876192215
193,9612,34.591500953657885
194,9706,269.1347527605155
195,9785,205.21286732060145
196,9880,272.7452349971118
197,9974,270.00049938757667
198,10005,47.93432249444501
199,10088,249.53616898403422
200,10172,229.78525845916522
201,10195,34.85332094728771
202,10254,-3.9887506508830386
203,10310,-92.83682899012298
204,10346,68.03296631602164
205,10367,28.220084125205556
206,10454,230.68379307025145
207,10481,44.258285699310406
208,10583,286.20236141280253
209,10667,227.79201383869204
210,10750,231.98584655665528
211,10836,246.0034775406788
212,10988,317.5062894675129
213,11073,253.71087936390825
214,11162,268.3290024223952
215,11248,254.6428639030188
216,11364,300.3370816525665
217,11452,266.1897784644843
218,11554,284.9188505990259
219,11653,276.129426218637
220,11682,46.7990562168804
221,11712,51.60683947167589
222,11799,229.19265938191037
223,11820,23.21924617962776
224,11852,55.46631320044342
225,11935,217.083252618853
226,11988,113.6244794305788
227,12051,-91.42283014563536
228,12137,244.3798527083773
229,12171,62.964502576073315
230,12247,202.9007174860629
231,12281,63.310441692232835
232,12302,8.963313902344018
233,12332,50.169050169605214
234,12384,91.92872894591046
235,12487,262.0703082232056
236,12538,104.44125243814717
237,12634,272.68395805390503
238,12694,-39.05343314338452
239,12721,43.67103013695935
240,12752,43.25161397717093
241,12841,268.45629430987685
242,12932,253.42054370058665
243,13016,254.0873488788978
244,13036,25.53079060311264
245,13120,247.74549962233084
246,13204,213.93469497363313
247,13237,58.53892244811927
248,13322,225.9295156610313
249,13352,51.28770312089087
250,13437,235.03852541431618
251,13525,230.8622942663471
252,13609,233.45319164334666
253,13687,201.91646134359794
254,13768,225.7383720527406
255,13856,53.79041869013458
256,13935,215.50428248625317
257,14018,223.15216256056223
258,14100,243.69998717104085
259,14189,236.61474955271137
260,14268,224.28372598577127
261,14349,240.46142433490974
262,14431,231.99606269135268
263,14516,253.06750988021508
264,14547,52.68258165495073
265,14625,213.11360057655327
266,14712,225.4919198134325
267,14801,262.59847445848493
268,14888,262.0227229101103
269,14976,264.3549163703004
270,15011,-4.380030289830857
271,15106,258.49083385657536
272,15198,250.69216396529407
273,15280,229.9630179618193
274,15378,280.99484822939223
275,15462,254.52734982237484
276,15578,274.5421743614833
277,15697,302.26764807871524
278,15781,254.60310986839747
279,15868,256.75525886788813
280,15948,228.38398382659423
281,16018,-72.91293833282285
282,16103,257.4930980014129
283,16180,222.46167038375543
284,16268,260.6469719256361
285,16351,245.02220923856328
286,16437,260.6754051377887
287,16521,241.0209312883738
288,16633,-14.230847139581254
289,16720,225.87763113002
290,16804,253.35159542868433
291,16893,266.5981546061726
292,16973,232.08451558870937
293,17068,278.44635606288006
294,17152,241.7021702698066
295,17233,246.7198926473548
296,17282,-77.80428812916125
297,17372,269.3616664577104
298,17466,263.17401254120523
299,17553,259.81799692778816
300,17615,-44.550830886858186
301,17730,303.8496777852546
302,17817,252.2163466756549
303,17909,271.0275915933492
304,17996,261.6446420919672
305,18080,249.79772172379236
306,18115,60.19684912818428
307,18193,218.73474715737711
308,18272,224.6458968470113
309,18388,305.708585353438
310,18468,240.78473995305004
311,18545,215.0044764142483
312,18615,-104.70877421267681
313,18714,260.9415410993585
314,18792,224.688815638396
315,18863,-110.02325709959618
316,18945,247.03681395426653
317,19037,261.56758787279824
318,19113,192.58655124692453
319,19198,243.3771397758008
320,19286,214.4352287737039
321,19373,262.6007204898986
322,19459,228.35519761491668
323,19482,-29.630567630808493
324,19565,238.55730480578003
325,19652,258.89058203681464
326,19690,61.536099427795975
327,19782,76.454508823512
328,19891,293.06532268668644
329,19974,235.14071812396966
330,20052,227.36978455621153
331,20137,167.8599630752258
332,20224,232.75166528314992
333,20294,-137.4958623707737
334,20377,244.94540188013633
335,20457,241.49503378528664
336,20543,259.5485066196625
337,20624,225.44888439928567
338,20714,268.82023645004165
339,20801,263.62135225513407
340,20886,229.7174299227706
341,20986,276.0818453564909
342,21074,259.32278917518613
343,21168,253.65040780271784
344,21201,57.443269692141214
345,21297,261.9145425767073
346,21357,-98.88424200260668
347,21487,335.9165833064129
348,21594,295.3636985785709
349,21692,274.2407435087874
350,21776,246.4860655401315
351,21862,257.19040704114093
352,21943,227.5685094339572
353,22026,252.17644300281688
354,22153,322.07647732067767
355,22238,239.47417541128428
356,22265,43.174948824943165
357,22351,259.6360684222615
358,22384,56.00741250075262
359,22447,128.42659460147257
360,22508,62.1098180379358
361,22627,307.28483069297204
362,22727,279.7813826569623
363,22763,58.123612750757765
364,22863,277.2579957030516
365,22952,264.9284144758058
366,23053,-76.89564159994717
367,23152,281.5459947470745
368,23256,123.55444128833696
369,23326,108.28158640839048
370,23444,311.8529157158973
371,23527,237.608430397798
372,23600,64.99972623866479
373,23689,256.4458848373963
374,23772,241.25694642317322
375,23817,69.43221886019944
376,23904,259.6932731305437
377,24005,281.15490737926035
378,24092,257.7535495892021
379,24197,-98.97635537235983
380,24293,271.7307761623835
381,24414,311.2602331457559
382,24462,86.11693028315729
383,24551,263.1898702071826
384,24634,231.61856507368014
385,24720,250.15415242032356
386,24838,301.01559916462355
387,24973,333.2647611054047
388,25063,252.49531343640422
389,25180,301.7976520405607
390,25265,185.041441653939
391,25353,261.52965976254785
392,25437,248.60578009543917
393,25576,379.29013477564007
394,25665,24.481857421121003
395,25784,321.6422672823031
396,25871,236.94131512691317
397,25975,287.5025747886724
398,26061,242.73312654598635
399,26145,254.12962376323733
400,26228,220.30902519217182
401,26315,254.61021307328156
402,26351,65.22494685817465
403,26472,309.4429748751287
404,26583,300.7279545614079
405,26680,251.40549529416214
406,26741,25.374933038493865
