timesteps,mean_reward
5000,245.443076
10000,240.590602
15000,234.447063
20000,221.964227
25000,218.196768
30000,211.494907
35000,320.692159
40000,317.888160
45000,319.046974
50000,319.719262
55000,318.379327
60000,319.292935
65000,308.265951
70000,307.476069
75000,306.565102
80000,307.618501
85000,308.694411
90000,307.050926
95000,301.838280
100000,300.004982
105000,299.952804
110000,299.597116
115000,301.087993
120000,302.976069
125000,299.843099
130000,302.451543
135000,303.098186
140000,302.081817
145000,301.880871
150000,301.965121
155000,302.643467
160000,415.240180
165000,416.316982
170000,415.756818
175000,416.355953
180000,416.365826
185000,415.678862
190000,423.714151
195000,422.308770
200000,422.054687
205000,423.081383
210000,421.448529
215000,424.343512
220000,423.327383
225000,439.339183
230000,437.069185
235000,438.342167
240000,436.236446
245000,437.754506
250000,437.519182
255000,477.048920
260000,477.289435
265000,474.766302
270000,476.332864
275000,475.594340
280000,476.851127
285000,723.535082
290000,724.051152
295000,725.791411
300000,721.692909
305000,719.641787
310000,720.709500
315000,1272.301279
320000,1269.950730
325000,1267.233894
330000,1269.696106
335000,1271.685846
340000,1267.253612
345000,1269.832183
350000,1304.194348
355000,1310.126628
360000,1301.806449
365000,1306.384454
370000,1310.020001
375000,1306.437141
380000,2103.123390
385000,1999.206401
390000,2161.027919
395000,1999.509938
400000,2088.940705
405000,2056.035948
410000,6082.225286
415000,6130.988106
420000,5923.225232
425000,5558.441967
430000,6372.414754
435000,6003.052046
440000,5407.695362
445000,4021.806264
450000,3793.143812
455000,4192.108715
460000,3708.712657
465000,3917.255397
470000,4112.568637
475000,5385.021776
480000,5984.519001
485000,5302.596251
490000,5850.153974
495000,6360.921503
500000,5843.151689
505000,22423.538460
510000,22427.827793
515000,22412.287601
520000,22421.137690
525000,22421.363879
530000,22410.167779
535000,22421.898197
540000,21812.875093
545000,21809.496905
550000,21813.222107
555000,21818.664615
560000,21814.745548
565000,21813.312224
570000,22922.632494
575000,22917.321202
580000,22917.027911
585000,22954.246764
590000,22918.349379
595000,22887.975290
600000,23223.972231
605000,23220.614881
610000,23218.523546
615000,23279.321667
620000,23320.831474
625000,23218.635163
630000,23606.970747
635000,23598.576812
640000,23572.300543
645000,23590.272173
650000,23594.887486
655000,23579.810111
660000,23595.200150
665000,24041.587971
670000,24028.937133
675000,24040.810499
680000,24042.685209
685000,24029.146625
690000,24021.392575
695000,24036.436274
700000,24029.381404
705000,24008.666007
710000,24068.738488
715000,24039.906589
720000,24022.120859
725000,24102.895387
730000,24101.385892
735000,24122.550396
740000,24033.195640
745000,24046.991996
750000,24125.483856
755000,24131.458685
760000,23952.138782
765000,20140.206720
770000,21375.146209
775000,19673.817124
780000,24171.383978
785000,20133.451030
790000,23960.132823
795000,19788.061710
800000,24030.330492
805000,24184.355516
810000,24009.849321
815000,23963.682020
820000,24154.539494
825000,24132.134860
830000,23335.705155
835000,20730.389631
840000,19605.552740
845000,24575.610862
850000,24066.779209
855000,25130.214763
860000,25290.708621
865000,25214.494125
870000,25143.381073
875000,24827.140401
880000,25355.987577
885000,25416.465783
890000,25238.843899
895000,25354.127942
900000,25254.456459
905000,25084.371275
910000,25350.073360
915000,25667.394455
920000,25562.800157
925000,25690.077978
930000,25667.965500
935000,25618.281357
940000,25675.348267
945000,25577.038478
950000,25800.726308
955000,25818.386097
960000,25621.155055
965000,25546.754001
970000,25662.270873
975000,25436.069393
980000,25968.091539
985000,25934.967268
990000,25925.212630
995000,25874.457674
1000000,25931.896562
