timesteps,mean_reward
5000,245.443069
10000,240.590599
15000,234.447054
20000,221.964209
25000,218.196759
30000,211.503559
35000,301.484931
40000,299.536717
45000,300.614110
50000,299.519025
55000,300.011042
60000,299.628326
65000,288.530668
70000,287.746879
75000,286.568285
80000,287.521812
85000,288.394218
90000,286.761665
95000,284.004895
100000,281.815468
105000,282.954492
110000,281.823044
115000,282.283700
120000,283.840128
125000,282.319269
130000,327.977322
135000,328.461008
140000,325.951851
145000,327.126778
150000,329.761619
155000,326.421583
160000,435.914278
165000,436.918537
170000,435.751239
175000,436.281185
180000,436.872287
185000,435.622256
190000,457.641281
195000,455.695509
200000,456.590883
205000,456.999977
210000,455.294234
215000,458.621750
220000,458.116505
225000,553.678080
230000,550.291014
235000,552.754203
240000,550.891338
245000,552.186767
250000,550.594157
255000,934.249767
260000,933.003916
265000,930.678901
270000,931.335473
275000,929.737557
280000,932.955589
285000,1754.454846
290000,1726.416629
295000,1738.431362
300000,1742.717105
305000,1745.628050
310000,1722.387537
315000,2161.877615
320000,2150.774475
325000,2164.513678
330000,2151.187479
335000,2165.674945
340000,2169.110409
345000,2165.640647
350000,2160.014104
355000,2160.233794
360000,2166.496927
365000,2164.754253
370000,2160.548207
375000,2163.313151
380000,1821.939593
385000,1739.782433
390000,1879.506488
395000,1855.448913
400000,1931.082553
405000,1924.348661
410000,1585.082001
415000,1702.406972
420000,1574.701956
425000,1706.159658
430000,1649.738237
435000,1665.922462
440000,1655.661519
445000,3223.008300
450000,3087.257109
455000,4447.514005
460000,3292.063357
465000,2136.459923
470000,3389.929306
475000,5115.048987
480000,8525.339765
485000,5634.887696
490000,4706.122203
495000,5047.286290
500000,4559.347864
505000,3995.054820
510000,4577.031251
515000,5291.066061
520000,5190.627315
525000,5220.607788
530000,6422.972552
535000,4623.180023
540000,24972.492251
545000,24949.748113
550000,24986.995947
555000,24946.792840
560000,24932.372162
565000,24998.911488
570000,24609.656614
575000,22591.884965
580000,22461.507125
585000,24481.130274
590000,22946.391783
595000,21219.657765
600000,25217.072549
605000,25246.759274
610000,25174.247223
615000,25225.377509
620000,25246.852591
625000,25223.291402
630000,24800.866516
635000,22754.103388
640000,24861.745331
645000,24715.191998
650000,24883.452348
655000,24964.965039
660000,24822.703342
665000,25147.497817
670000,25086.459620
675000,25058.922611
680000,24938.841289
685000,25140.144484
690000,25038.817932
695000,25941.903444
700000,26039.089024
705000,26121.692739
710000,26056.635908
715000,26068.415286
720000,26027.864704
725000,26058.498610
730000,26017.788125
735000,26029.795508
740000,21918.591053
745000,25123.712344
750000,26001.943081
755000,26051.745211
760000,26398.925510
765000,26353.273417
770000,26362.817975
775000,26420.622170
780000,26387.034457
785000,26361.754255
790000,26720.346844
795000,26720.428362
800000,26656.241370
805000,26705.307064
810000,26691.800479
815000,26688.752282
820000,26804.303233
825000,26769.026306
830000,26787.767156
835000,26822.001860
840000,26789.756954
845000,26776.121056
850000,26807.586484
855000,1400.069685
860000,1399.419100
865000,1420.393356
870000,1417.972335
875000,1414.506571
880000,1398.242596
885000,1302.803813
890000,1274.594465
895000,1280.070060
900000,1293.856830
905000,1292.834059
910000,1257.228214
915000,1149.805647
920000,1133.184667
925000,1137.708313
930000,1150.358837
935000,1119.957629
940000,1152.997279
945000,1590.362797
950000,1590.100007
955000,1607.097875
960000,1603.101973
965000,1568.191080
970000,1604.519285
975000,1583.098743
980000,12232.981825
985000,7297.144985
990000,17314.142246
995000,12269.197130
1000000,22314.217818
