timesteps,mean_reward
5000,245.443027
10000,240.590549
15000,234.447010
20000,221.964176
25000,218.196720
30000,211.494864
35000,279.236323
40000,276.364100
45000,276.846944
50000,277.765692
55000,276.866228
60000,276.314548
65000,278.388636
70000,277.557417
75000,275.516793
80000,276.542917
85000,277.541746
90000,277.178166
95000,267.869057
100000,264.865625
105000,265.479889
110000,264.238650
115000,266.762485
120000,266.945918
125000,265.402109
130000,255.319798
135000,255.211499
140000,254.714560
145000,254.509521
150000,256.460418
155000,255.226501
160000,276.754895
165000,276.547556
170000,276.642040
175000,275.812972
180000,277.943136
185000,276.529735
190000,298.084167
195000,297.380877
200000,296.953678
205000,297.377991
210000,295.600033
215000,298.239426
220000,299.124550
225000,305.412026
230000,302.465957
235000,303.012411
240000,302.453121
245000,303.787716
250000,302.822301
255000,450.247467
260000,449.687206
265000,447.838302
270000,448.550734
275000,448.561803
280000,449.151087
285000,504.654112
290000,505.348008
295000,504.021918
300000,504.205045
305000,506.037061
310000,506.916390
315000,533.410014
320000,532.054687
325000,531.045936
330000,531.665323
335000,533.567445
340000,530.544909
345000,531.596559
350000,553.674695
355000,553.509117
360000,554.390416
365000,552.835310
370000,554.799664
375000,555.737328
380000,551.548819
385000,550.295485
390000,551.719008
395000,550.066061
400000,550.628403
405000,550.168997
410000,618.204111
415000,611.860345
420000,611.984584
425000,620.096421
430000,619.401284
435000,614.024310
440000,620.013496
445000,1406.241670
450000,1391.267129
455000,1389.801075
460000,1363.086020
465000,1386.382617
470000,1410.374431
475000,1377.850237
480000,1358.615449
485000,1365.810516
490000,1367.457307
495000,1363.665364
500000,1357.527885
505000,1573.786062
510000,1592.623991
515000,1593.003816
520000,1621.862334
525000,1617.237068
530000,1615.325286
535000,1614.253549
540000,1702.577223
545000,1688.631363
550000,1721.850869
555000,1709.387737
560000,1718.492189
565000,1727.370010
570000,1507.621163
575000,1511.504238
580000,1487.512878
585000,1522.040561
590000,1508.492529
595000,1513.203563
600000,1372.005359
605000,1372.346090
610000,1370.817106
615000,1373.128816
620000,1370.473314
625000,1368.732127
630000,1440.378699
635000,1420.007020
640000,1462.071895
645000,1426.616888
650000,1409.784556
655000,1478.586848
660000,1417.893186
665000,1349.898944
670000,1347.591596
675000,1347.057076
680000,1340.337756
685000,1346.865341
690000,1345.861992
695000,1340.513879
700000,1336.623300
705000,1332.234692
710000,1348.624798
715000,1347.929721
720000,1349.377531
725000,1650.827043
730000,1589.896621
735000,1632.037325
740000,1634.917892
745000,1653.687710
750000,1642.295095
755000,1728.182505
760000,1538.240587
765000,1504.893202
770000,1561.817845
775000,1605.928370
780000,1542.392691
785000,1482.863720
790000,1481.707181
795000,1474.426149
800000,1484.291167
805000,1457.715997
810000,1473.828322
815000,1474.997875
820000,1594.393605
825000,1601.719764
830000,1602.202758
835000,1575.290458
840000,1598.246871
845000,1605.059679
850000,1600.318034
855000,2076.170858
860000,1879.546094
865000,1873.024484
870000,1841.528963
875000,1826.138999
880000,1924.785140
885000,2102.097905
890000,2024.211796
895000,1993.533175
900000,2189.177096
905000,1995.217725
910000,2213.421591
915000,1662.699895
920000,1801.760267
925000,1660.427854
930000,1664.239208
935000,1667.473396
940000,1628.922596
945000,2023.308007
950000,2125.407936
955000,2163.512047
960000,2180.250710
965000,2073.208628
970000,2220.640455
975000,2003.790651
980000,2430.446844
985000,2202.330435
990000,2315.328190
995000,2205.395131
1000000,2202.685768
