timesteps,mean_reward
5000,245.443027
10000,240.590549
15000,234.447010
20000,221.964176
25000,218.196720
30000,211.494864
35000,300.203148
40000,297.998876
45000,298.002888
50000,297.678916
55000,297.980969
60000,297.691039
65000,289.823504
70000,290.345464
75000,287.275448
80000,288.245320
85000,289.745870
90000,288.709486
95000,300.022139
100000,298.408455
105000,297.168064
110000,296.692893
115000,298.341858
120000,300.396879
125000,298.914685
130000,350.617473
135000,349.726961
140000,350.163937
145000,350.529926
150000,350.196949
155000,349.877741
160000,411.491536
165000,411.814991
170000,410.881544
175000,410.656077
180000,411.783795
185000,410.692960
190000,427.355313
195000,427.349082
200000,426.351607
205000,426.728891
210000,426.371297
215000,428.710449
220000,428.340418
225000,457.821356
230000,453.649751
235000,456.140403
240000,454.785905
245000,456.212187
250000,455.350374
255000,491.344171
260000,491.498245
265000,489.778238
270000,490.531571
275000,489.832412
280000,491.777300
285000,776.963203
290000,778.312006
295000,774.049031
300000,777.124541
305000,778.298211
310000,777.521910
315000,909.575547
320000,910.611657
325000,908.785591
330000,911.092780
335000,912.023093
340000,908.941688
345000,910.076781
350000,1207.142150
355000,1220.882904
360000,1205.863403
365000,1219.583806
370000,1207.729930
375000,1208.741460
380000,1366.571484
385000,1366.364070
390000,1362.115800
395000,1369.922654
400000,1368.591585
405000,1372.697012
410000,1562.321087
415000,1548.364393
420000,1584.758377
425000,1556.057431
430000,1569.196715
435000,1553.459275
440000,1571.751940
445000,1457.394345
450000,1427.085574
455000,1439.094211
460000,1448.202254
465000,1453.314500
470000,1459.831399
475000,1433.199025
480000,1436.643212
485000,1442.572870
490000,1437.583867
495000,1472.025599
500000,1440.711242
505000,1483.703183
510000,1453.934750
515000,1468.805131
520000,1469.742201
525000,1474.101714
530000,1473.537434
535000,1478.485593
540000,1648.918543
545000,1691.348446
550000,1641.869430
555000,1649.413781
560000,1616.389140
565000,1576.356690
570000,2114.937834
575000,1963.311986
580000,1964.950370
585000,2247.733183
590000,2098.073406
595000,2156.987909
600000,2778.015318
605000,4393.224398
610000,2441.993061
615000,2539.051588
620000,4881.690505
625000,3631.636069
630000,8048.714797
635000,5265.290415
640000,7611.133994
645000,5853.005935
650000,5394.063217
655000,5087.198720
660000,3709.197120
665000,22137.436672
670000,16926.807343
675000,22559.924357
680000,24724.346799
685000,21984.888382
690000,18108.135276
695000,15815.972119
700000,12426.945397
705000,11505.553802
710000,4169.146098
715000,11313.474662
720000,20204.383749
725000,25079.716488
730000,25080.984399
735000,25082.008167
740000,25069.957170
745000,25065.383286
750000,25074.844173
755000,25095.942577
760000,25304.462138
765000,25305.361376
770000,25288.779066
775000,25344.051795
780000,25306.668040
785000,25319.775774
790000,17505.175014
795000,12864.682120
800000,13063.692059
805000,18792.173282
810000,20064.447315
815000,15307.186030
820000,22715.345502
825000,20416.612380
830000,15606.973200
835000,25844.043187
840000,20055.484398
845000,17125.618426
850000,25850.917344
855000,25898.967465
860000,25897.812062
865000,25922.834771
870000,25872.084611
875000,25866.771010
880000,25862.961964
885000,26406.309278
890000,26430.842166
895000,26423.074682
900000,26442.274891
905000,26432.066265
910000,26433.986225
915000,26725.657829
920000,26764.277692
925000,26740.210591
930000,26720.825242
935000,26730.284271
940000,26744.192885
945000,27185.318519
950000,27175.725119
955000,27192.298336
960000,27191.783444
965000,27188.817291
970000,27200.133135
975000,27194.473668
980000,26781.793844
985000,26788.255040
990000,26770.848800
995000,26832.409799
1000000,26770.012865
