timesteps,mean_reward
5000,245.443027
10000,240.590549
15000,234.447010
20000,221.964176
25000,218.196720
30000,211.494864
35000,314.437525
40000,310.842198
45000,311.417728
50000,311.460933
55000,312.024140
60000,312.315553
65000,313.006386
70000,311.818460
75000,310.804769
80000,312.053573
85000,312.137781
90000,311.155927
95000,316.691469
100000,313.276492
105000,313.817601
110000,312.002612
115000,314.310200
120000,316.460629
125000,313.733793
130000,446.177076
135000,446.641509
140000,446.354770
145000,446.754347
150000,447.062076
155000,445.401295
160000,465.328860
165000,465.837591
170000,464.627832
175000,465.047436
180000,465.697591
185000,465.332724
190000,568.690898
195000,567.773456
200000,568.388114
205000,569.535275
210000,568.876933
215000,569.886304
220000,570.031549
225000,1177.493646
230000,1171.336833
235000,1181.067929
240000,1177.779783
245000,1171.510239
250000,1177.958841
255000,2219.243021
260000,2112.404514
265000,2087.619918
270000,2129.545910
275000,2096.197833
280000,2154.033915
285000,2726.605335
290000,2806.689337
295000,2914.323684
300000,2883.319676
305000,2807.375682
310000,2716.344728
315000,19070.380274
320000,16030.252352
325000,19095.668794
330000,19095.604208
335000,19075.635270
340000,19096.654284
345000,19070.896544
350000,19291.579053
355000,19278.342417
360000,19308.057029
365000,19280.418322
370000,19279.347455
375000,19283.117323
380000,21142.268917
385000,21139.067389
390000,21142.206559
395000,21158.446141
400000,21135.829788
405000,21145.386187
410000,22060.429267
415000,22076.856354
420000,22300.369205
425000,22042.326809
430000,22217.522782
435000,22101.617419
440000,22310.151447
445000,23588.435868
450000,23579.380558
455000,23491.463064
460000,15613.704479
465000,23482.878823
470000,20527.612988
475000,23218.966688
480000,23275.924205
485000,23273.580090
490000,23488.527613
495000,23300.065980
500000,23170.442276
505000,23528.620098
510000,23419.306962
515000,23411.044796
520000,23438.135254
525000,23487.583431
530000,23553.918881
535000,23208.783935
540000,1558.652018
545000,1530.110012
550000,1517.110803
555000,1573.992126
560000,1715.034080
565000,1600.636912
570000,6042.570064
575000,4983.004852
580000,5915.538985
585000,6433.064107
590000,12215.452465
595000,1812.585590
600000,6431.456046
605000,7056.213647
610000,7009.351460
615000,6739.500026
620000,11628.940742
625000,9996.767261
630000,4275.229338
635000,5811.060212
640000,10045.439855
645000,4013.381658
650000,6847.747710
655000,13698.152517
660000,10385.215049
665000,8716.897918
670000,5268.196913
675000,15955.374167
680000,10264.388063
685000,12480.799908
690000,13107.815749
695000,13814.104850
700000,16280.102342
705000,12470.520515
710000,14571.446587
715000,10674.898499
720000,12873.107691
725000,25259.462801
730000,25365.613758
735000,25195.161021
740000,25290.863940
745000,25366.110938
750000,25278.441393
755000,25350.452403
760000,25522.319618
765000,25564.804908
770000,25525.714814
775000,25568.302423
780000,25509.048446
785000,25505.791546
790000,25651.722827
795000,25631.343042
800000,25653.922488
805000,25621.668079
810000,25610.621988
815000,25614.388221
820000,25475.530086
825000,25570.695704
830000,25475.413961
835000,25516.086286
840000,25503.804977
845000,25506.583965
850000,25513.347078
855000,18223.304326
860000,11760.282748
865000,11774.554491
870000,14309.732246
875000,16868.720224
880000,15074.342019
885000,25252.511202
890000,22812.421381
895000,25174.742907
900000,25243.076622
905000,25268.507213
910000,25160.662165
915000,25845.048501
920000,25845.402598
925000,25809.826208
930000,25850.644843
935000,25847.145190
940000,25855.696224
945000,26256.772947
950000,26251.994233
955000,26259.961882
960000,26262.497687
965000,26264.108491
970000,26253.701036
975000,26257.378104
980000,26403.614110
985000,26407.821018
990000,26406.019026
995000,26406.833400
1000000,26401.062033
1005000,26405.881138
1010000,24925.721439
1015000,24926.934347
1020000,24956.754475
1025000,24954.366207
1030000,24905.760547
1035000,25014.584683
1040000,26784.576478
1045000,26781.648800
1050000,26781.014153
1055000,26789.926243
1060000,26786.930918
1065000,26783.468706
1070000,26784.880538
1075000,26652.196102
1080000,26637.900243
1085000,26644.148228
1090000,26655.329307
1095000,26650.669405
1100000,26653.146210
1105000,26721.445642
1110000,26730.494891
1115000,26731.873499
1120000,26726.317985
1125000,26731.613068
1130000,26745.249738
1135000,27047.538481
1140000,27044.826058
1145000,27051.925057
1150000,27045.429764
1155000,27047.928218
1160000,27046.323043
1165000,27043.162904
1170000,27012.446879
1175000,27017.780098
1180000,27013.523179
1185000,27011.084706
1190000,27008.864339
1195000,27014.037990
1200000,26789.101015
1205000,26782.542804
1210000,26778.971471
1215000,26790.086192
1220000,26783.054173
1225000,26785.491090
1230000,26577.003720
1235000,26577.708632
1240000,26569.452642
1245000,26575.366848
1250000,26572.221724
1255000,26573.049003
1260000,26496.406515
1265000,26494.980809
1270000,26497.146117
1275000,26493.210832
1280000,26500.553765
1285000,26485.211713
1290000,26492.346875
1295000,26760.802256
1300000,26762.032089
1305000,26759.518024
1310000,26755.648541
1315000,26761.397628
1320000,26775.069400
1325000,26907.247434
1330000,26912.471761
1335000,26912.500511
1340000,26908.138667
1345000,26915.356407
1350000,26917.423326
1355000,27746.428236
1360000,27746.352544
1365000,27746.363438
1370000,27739.034880
1375000,27744.920327
1380000,27749.577361
1385000,27745.526952
1390000,27790.712103
1395000,27792.153167
1400000,27788.136820
1405000,27789.703446
1410000,27790.491677
1415000,27786.514356
1420000,27703.087548
1425000,27688.948557
1430000,27697.950028
1435000,27696.118096
1440000,27694.030888
1445000,27694.992611
1450000,26127.170913
1455000,26054.304267
1460000,26091.269486
1465000,26124.850633
1470000,26081.822582
1475000,26043.808208
1480000,16339.574505
1485000,20764.359848
1490000,17644.604492
1495000,16406.007156
1500000,16258.155899
1505000,12202.918887
1510000,15475.076521
1515000,27953.823256
1520000,27944.310452
1525000,27977.845770
1530000,27979.309106
1535000,27958.183117
1540000,27961.504406
1545000,27758.307410
1550000,27735.244997
1555000,27762.730328
1560000,27789.363771
1565000,27770.458774
1570000,27774.370464
1575000,28212.177803
1580000,28234.221255
1585000,28205.845498
1590000,28264.754164
1595000,28253.876086
1600000,28190.543805
1605000,28240.767713
1610000,28565.101339
1615000,28564.279362
1620000,28563.160557
1625000,28559.780710
1630000,28560.982817
1635000,28569.885916
1640000,28430.606373
1645000,28447.109811
1650000,28457.617068
1655000,28460.812912
1660000,28423.913684
1665000,28436.386184
1670000,28697.353870
1675000,28685.335487
1680000,28707.944851
1685000,28696.450568
1690000,28691.201024
1695000,28692.424651
1700000,28692.442976
1705000,28547.379636
1710000,28553.981789
1715000,28545.395472
1720000,28557.230056
1725000,28568.150419
1730000,28557.351058
1735000,28690.609844
1740000,28688.827614
1745000,28692.023542
1750000,28691.679445
1755000,28693.069956
1760000,28704.515643
1765000,28313.538087
1770000,28300.891480
1775000,28270.527751
1780000,28284.194589
1785000,28304.142769
1790000,28273.556570
1795000,28520.333850
1800000,28527.437931
1805000,28543.907205
1810000,28531.124114
1815000,28543.118949
1820000,28544.294822
1825000,28522.272766
1830000,28562.147711
1835000,28531.988881
1840000,28538.606648
1845000,28548.084761
1850000,28576.744283
1855000,28556.475385
1860000,28576.982528
1865000,28568.959072
1870000,28574.111237
1875000,28556.992334
1880000,28571.598370
1885000,28569.283225
1890000,27283.802659
1895000,27259.665882
1900000,27239.650262
1905000,27253.622744
1910000,27272.793111
1915000,27235.476598
1920000,27309.934202
1925000,28492.434838
1930000,28497.063516
1935000,28490.927075
1940000,28483.469565
1945000,28498.940251
1950000,28479.730296
1955000,28533.788848
1960000,28529.925336
1965000,28538.252572
1970000,28543.147075
1975000,28545.238896
1980000,28531.923322
1985000,28569.663943
1990000,28547.727701
1995000,28559.907936
2000000,28584.138287
2005000,28559.090441
2010000,28551.850377
2015000,28564.977965
2020000,1828.608129
2025000,1800.042263
2030000,1942.851313
2035000,1818.438947
2040000,1859.282552
2045000,1835.223660
2050000,2767.516397
2055000,2561.268276
2060000,2743.354891
2065000,2700.821613
2070000,2874.527930
2075000,2834.311772
2080000,4523.079367
2085000,4893.571809
2090000,4090.245318
2095000,4903.394182
2100000,3536.402325
2105000,4039.157306
2110000,10446.463047
2115000,14370.510490
2120000,6521.826175
2125000,14496.100558
2130000,9024.601252
2135000,13058.185895
2140000,8604.041588
2145000,8303.627614
2150000,13200.169667
2155000,8471.910486
2160000,3179.040554
2165000,13500.645014
2170000,7001.194789
2175000,24306.083189
2180000,24135.601653
2185000,24055.459499
2190000,28363.833715
2195000,28368.402624
2200000,28384.416153
2205000,28593.737181
2210000,28610.603185
2215000,28611.636722
2220000,28614.987004
2225000,28624.349062
2230000,28608.658970
2235000,24018.945011
2240000,23538.244151
2245000,18913.946005
2250000,23540.664459
2255000,28678.997482
2260000,23667.946221
2265000,23550.117975
2270000,28283.087385
2275000,26844.414494
2280000,28300.866971
2285000,24076.754031
2290000,26380.857501
2295000,28340.605794
2300000,28383.369312
2305000,28356.807789
2310000,28392.484549
2315000,28419.403910
2320000,28395.460743
2325000,28432.654147
2330000,25420.361911
2335000,2436.425949
2340000,1998.309128
2345000,1961.556307
2350000,1883.185679
2355000,1991.604077
2360000,2010.897816
2365000,7511.821289
2370000,5661.038912
2375000,6678.358270
2380000,3331.814290
2385000,6014.873155
2390000,3333.027828
2395000,8315.490282
2400000,9336.728810
2405000,13092.575753
2410000,8732.107408
2415000,15970.886265
2420000,18040.362348
2425000,16522.225851
2430000,16250.679782
2435000,19427.683644
2440000,20017.815695
2445000,19308.376131
2450000,22930.986436
2455000,25319.608548
2460000,19066.005306
2465000,17969.064899
2470000,7563.063153
2475000,12678.521005
2480000,13261.672260
2485000,23085.066256
2490000,28665.861785
2495000,28558.681427
2500000,28795.201023
2505000,28687.708668
2510000,23391.557321
2515000,28685.771460
2520000,27943.939921
2525000,28380.774720
2530000,28126.391524
2535000,24859.475758
2540000,28295.239680
2545000,26936.861792
2550000,25319.215290
2555000,26676.597866
2560000,26289.928095
2565000,20583.286234
2570000,23933.862376
2575000,27792.616863
2580000,25949.138965
2585000,28549.440547
2590000,28567.794682
2595000,28672.666791
2600000,27346.571137
2605000,21317.300748
2610000,28486.481729
2615000,28768.593295
2620000,28713.154553
2625000,28743.955282
2630000,28697.062339
2635000,28761.822523
2640000,28716.428498
2645000,28746.324373
2650000,28747.058578
2655000,28756.925590
2660000,28828.537411
2665000,28845.781328
2670000,28850.222506
2675000,28784.661671
2680000,23537.141619
2685000,23422.144523
2690000,23457.199262
2695000,23371.874004
2700000,28680.560407
2705000,28738.974314
2710000,2844.659532
2715000,7452.726028
2720000,5701.073345
2725000,12454.041106
2730000,8132.650979
2735000,11214.820761
2740000,12567.159932
2745000,17709.832352
2750000,17644.667550
2755000,7422.533396
2760000,7287.385365
2765000,7497.788861
2770000,17617.412047
2775000,28680.324844
2780000,28628.077001
2785000,28641.024136
2790000,28634.434843
2795000,28640.119053
2800000,28663.894221
2805000,27471.956882
2810000,27516.833938
2815000,27408.687123
2820000,27392.061650
2825000,27466.460537
2830000,27474.467763
2835000,27092.700912
2840000,27201.948464
2845000,27062.255216
2850000,27035.696710
2855000,27043.205823
2860000,27055.474484
2865000,27164.344045
2870000,24716.862303
2875000,24719.549988
2880000,25362.316142
2885000,24519.578911
2890000,24169.860617
2895000,21976.154163
2900000,28551.910410
2905000,28437.135496
2910000,28285.642804
2915000,28467.821879
2920000,28580.399860
2925000,28487.655640
2930000,28737.671520
2935000,28819.748456
2940000,28830.247356
2945000,28785.927298
2950000,28735.530578
2955000,28714.471747
2960000,28662.627364
2965000,28644.627355
2970000,28646.292404
2975000,28674.947604
2980000,28637.545084
2985000,28658.846499
2990000,28650.801275
2995000,23461.224586
3000000,28572.705874
3005000,23526.134309
3010000,28633.796283
3015000,28609.513177
3020000,23572.613718
3025000,28502.393806
3030000,28526.990322
3035000,28530.838903
3040000,28512.329961
3045000,28440.245852
3050000,28455.621688
3055000,28636.212213
3060000,28612.488741
3065000,18442.735168
3070000,28674.449882
3075000,23528.084905
3080000,28630.608923
3085000,28555.936711
3090000,28519.964569
3095000,28487.522713
3100000,28489.983877
3105000,28523.232451
3110000,28548.299626
3115000,28527.273578
3120000,28541.649066
3125000,28562.667596
3130000,28568.750691
3135000,28549.253315
3140000,28545.561686
3145000,28584.513001
3150000,28524.365250
3155000,28500.058050
3160000,28437.082240
3165000,28466.162677
3170000,28497.522965
3175000,28523.870438
3180000,28471.913883
3185000,27679.293237
3190000,27729.729955
3195000,27928.408419
3200000,27950.458198
3205000,27702.109510
3210000,27584.560303
3215000,3387.425891
3220000,3331.675084
3225000,3582.205721
3230000,3034.648930
3235000,5098.990584
3240000,3197.903165
3245000,4934.312020
3250000,3376.356978
3255000,4034.754057
3260000,6032.170989
3265000,4917.620120
3270000,4501.969133
3275000,19690.519754
3280000,20026.124936
3285000,9457.114779
3290000,10057.300775
3295000,22103.043276
3300000,15400.598112
3305000,13929.186102
3310000,18692.844809
3315000,19632.303855
3320000,15196.155337
3325000,18908.437888
3330000,22054.564212
3335000,20336.464528
3340000,9189.340903
3345000,11807.341245
3350000,6840.726863
3355000,9277.577185
3360000,11102.381364
3365000,16304.009281
3370000,4399.280622
3375000,17806.414527
3380000,7679.694508
3385000,15852.871678
3390000,5335.379879
3395000,10836.510174
3400000,12653.626229
3405000,7180.166484
3410000,5258.906125
3415000,2886.911578
3420000,3229.392436
3425000,3352.903153
3430000,7279.897849
3435000,17933.421540
3440000,22818.738609
3445000,18211.811752
3450000,17661.676912
3455000,28035.676465
3460000,28074.233823
3465000,25652.157204
3470000,10564.982653
3475000,15687.729312
3480000,20520.313117
3485000,17682.008535
3490000,24009.643912
