timesteps,mean_reward
5000,185.122009
10000,167.422795
15000,166.431216
20000,175.052586
25000,158.210817
30000,156.658579
35000,336.614144
40000,335.577956
45000,335.249666
50000,335.091562
55000,335.745065
60000,335.334482
65000,325.386634
70000,323.422253
75000,325.940017
80000,325.970179
85000,325.503985
90000,325.355576
95000,313.790726
100000,313.990880
105000,314.062755
110000,313.220167
115000,315.196236
120000,314.230743
125000,314.082280
130000,416.114628
135000,416.782697
140000,415.700760
145000,415.510709
150000,415.415468
155000,415.856202
160000,444.841603
165000,444.789736
170000,444.712059
175000,444.809978
180000,444.861687
185000,446.828982
190000,444.957006
195000,442.801869
200000,442.764823
205000,441.999994
210000,445.549301
215000,442.529807
220000,443.810764
225000,444.591027
230000,442.716192
235000,444.289760
240000,443.332048
245000,444.924425
250000,442.356964
255000,514.302316
260000,513.640451
265000,515.291953
270000,515.766140
275000,515.417730
280000,515.925162
285000,825.242303
290000,826.358689
295000,825.368904
300000,827.878808
305000,825.196555
310000,825.623453
315000,1265.418630
320000,1267.417199
325000,1274.263525
330000,1266.134605
335000,1269.067912
340000,1265.993159
345000,1268.998348
350000,2264.478406
355000,2276.182342
360000,2257.157296
365000,2275.280022
370000,2395.935523
375000,2208.520421
380000,15170.925381
385000,7015.395850
390000,15143.914314
395000,15066.424596
400000,15206.594705
405000,7171.171985
410000,22648.978094
415000,22621.868598
420000,22634.176473
425000,22625.778298
430000,22614.725440
435000,22613.291434
440000,22632.549530
445000,6873.511767
450000,6743.851302
455000,6840.090858
460000,14965.691430
465000,19040.437125
470000,22928.770367
475000,23427.752876
480000,23429.405516
485000,23429.130389
490000,23420.285787
495000,23426.837247
500000,23426.501956
505000,24101.969961
510000,24126.780818
515000,24110.786113
520000,24105.235007
525000,24105.046974
530000,24125.258551
535000,24110.889513
540000,22432.375730
545000,18347.338022
550000,18085.195789
