timesteps,mean_reward
5000,245.443075
10000,240.590601
15000,234.447062
20000,368.190106
25000,369.860822
30000,369.834699
35000,309.232707
40000,306.402371
45000,307.892765
50000,311.512664
55000,310.923924
60000,311.040930
65000,316.937618
70000,316.839519
75000,314.769144
80000,348.543857
85000,349.556211
90000,348.366382
95000,413.816947
100000,413.050374
105000,412.133786
110000,411.216102
115000,412.986002
120000,414.395416
125000,412.955429
130000,435.997340
135000,435.012532
140000,435.407595
145000,463.749160
150000,464.873725
155000,463.035012
160000,502.555948
165000,502.987670
170000,502.322299
175000,529.596779
180000,530.235167
185000,528.849003
190000,562.137665
195000,561.624707
200000,561.840804
205000,595.404342
210000,593.655836
215000,596.247220
220000,597.501284
225000,629.192828
230000,625.420659
235000,626.400056
240000,688.260025
245000,688.876527
250000,688.065112
255000,735.228504
260000,733.606589
265000,730.039482
270000,746.986598
275000,748.822873
280000,751.935863
285000,791.653457
290000,791.280473
295000,787.883623
300000,875.511365
305000,877.698461
310000,877.326368
315000,1061.639669
320000,1064.791198
325000,1065.043556
330000,1070.017466
335000,932.949802
340000,929.302077
345000,931.636062
350000,1074.567383
355000,1069.742739
360000,1073.474384
365000,1191.908478
370000,1203.517150
375000,1200.534977
380000,2074.308113
385000,1893.382951
390000,1992.474470
395000,1541.117040
400000,1530.057017
405000,1538.290458
410000,13917.071568
415000,10012.310327
420000,6095.085642
425000,6168.084657
430000,20590.113568
435000,17128.796443
440000,20550.031719
445000,1720.572757
450000,1720.669871
455000,1728.128307
460000,10803.685951
465000,12121.153029
470000,15630.426343
475000,18878.920329
480000,14048.680777
485000,19730.063540
490000,14865.370234
495000,20249.188969
500000,15789.383105
505000,4883.355608
510000,3585.601057
515000,3622.344165
520000,3353.989302
525000,3076.122567
530000,3941.348871
535000,3399.796839
540000,5601.937815
545000,5176.658011
550000,3495.028989
555000,4635.634765
560000,3596.345486
565000,4113.439385
570000,2057.155656
575000,3269.044183
580000,2751.679576
585000,4194.591389
590000,4847.730826
595000,3137.112132
600000,6177.262220
605000,7405.801193
610000,5564.559295
615000,4131.830861
620000,4507.529869
625000,6371.144729
630000,4875.875963
635000,4533.175464
640000,6506.651272
645000,4188.416727
650000,4216.030163
