timesteps,mean_reward
5000,245.443069
10000,240.590599
15000,234.447054
20000,221.964209
25000,218.196759
30000,211.503559
35000,304.297499
40000,301.683359
45000,302.136013
50000,301.050784
55000,301.515094
60000,301.784330
65000,281.966320
70000,281.852319
75000,279.834577
80000,280.859862
85000,281.799754
90000,280.790651
95000,269.716634
100000,267.984850
105000,267.226346
110000,267.342576
115000,268.523151
120000,270.128347
125000,268.517782
130000,271.272293
135000,272.395920
140000,270.802381
145000,270.583106
150000,272.863527
155000,270.599151
160000,392.034876
165000,392.726907
170000,392.342047
175000,393.532003
180000,394.818283
185000,391.859618
190000,430.358167
195000,429.222761
200000,429.435384
205000,430.308223
210000,428.848736
215000,432.288881
220000,431.928490
225000,515.762050
230000,513.198034
235000,514.213949
240000,511.926587
245000,513.570881
250000,514.059443
255000,896.082534
260000,896.914350
265000,895.365825
270000,895.312489
275000,896.368962
280000,897.838025
285000,1288.518055
290000,1287.668764
295000,1288.754409
300000,1291.987201
305000,1289.088316
310000,1289.772908
315000,1792.524804
320000,1785.124853
325000,1761.206488
330000,1815.735403
335000,1791.170837
340000,1777.726375
345000,1752.252946
350000,2564.848681
355000,2557.126125
360000,2665.493421
365000,2672.683809
370000,2691.287520
375000,2760.491702
380000,2828.297169
385000,2798.458605
390000,2645.297990
395000,2658.455555
400000,2643.960911
405000,3015.883012
410000,2484.271292
415000,2499.891030
420000,2380.001514
425000,2378.201424
430000,2475.031664
435000,2366.634868
440000,2487.173571
445000,21480.998812
450000,21470.157673
455000,21469.593357
460000,21477.026937
465000,21462.923180
470000,21477.142201
475000,22267.799081
480000,22291.278083
485000,22331.967835
490000,22207.980009
495000,22240.355572
500000,22261.518761
505000,23293.785250
510000,23196.115484
515000,23251.995346
520000,23274.797688
525000,23191.088495
530000,23059.847644
535000,23244.796447
540000,24135.325112
545000,24122.802847
550000,24099.237284
555000,24083.676135
560000,24085.712046
565000,24091.385908
570000,24093.806100
575000,24091.429740
580000,24085.572004
585000,24059.468991
590000,24052.156904
595000,24048.034403
600000,1459.068556
605000,1401.731456
610000,1404.460787
615000,1426.046891
620000,1405.834345
625000,1442.678015
630000,1329.711649
635000,1352.463686
640000,1345.321571
645000,1357.702394
650000,1339.452580
655000,1356.021545
660000,1362.156258
665000,4186.766843
670000,4712.618732
675000,3865.813273
680000,5742.973658
685000,3917.896443
690000,6904.244382
695000,3265.160303
700000,3426.938976
705000,4022.825179
710000,2813.783555
715000,2813.718493
720000,5836.146704
725000,12253.724379
730000,9706.737985
735000,6056.034620
740000,7622.150350
745000,7485.213789
750000,7623.690820
755000,14122.858987
760000,24809.429598
765000,24776.664789
770000,24807.098878
775000,24780.752269
780000,24801.133791
785000,24817.747818
790000,18326.918696
795000,21204.194570
800000,23038.655455
805000,24306.177425
810000,24163.682760
815000,24309.315549
820000,25048.573214
825000,25067.943737
830000,24973.802315
835000,24926.952547
840000,25023.893314
845000,24975.489378
850000,24976.536126
855000,26121.059077
860000,26127.719747
865000,26113.665492
870000,26116.417556
875000,26127.439589
880000,26114.425413
885000,18877.476852
890000,20036.047201
895000,21799.098293
900000,22820.871339
905000,23809.225765
910000,23188.708229
915000,22183.261623
