timesteps,mean_reward
5000,206.025930
10000,211.953079
15000,192.541991
20000,211.572092
25000,208.038130
30000,179.944844
35000,314.580362
40000,314.099208
45000,313.514631
50000,314.759762
55000,313.638758
60000,315.969473
65000,283.807036
70000,286.579584
75000,283.331782
80000,284.049839
85000,283.602204
90000,284.295806
95000,285.355757
100000,285.314781
105000,287.635141
110000,284.145988
115000,285.982926
120000,286.329308
125000,285.977852
130000,296.084051
135000,297.843230
140000,297.868506
145000,296.102508
150000,296.845364
155000,295.517715
160000,420.334823
165000,418.016892
170000,421.944054
175000,418.758779
180000,419.499883
185000,420.737885
190000,421.313919
195000,419.638316
200000,420.301724
205000,419.648240
210000,419.691846
215000,418.575096
220000,421.094566
225000,429.804905
230000,429.068008
235000,429.964390
240000,429.950083
245000,429.902858
250000,430.744050
255000,483.251028
260000,481.323934
265000,481.216352
270000,481.802918
275000,481.623422
280000,482.001887
285000,807.315163
290000,806.886790
295000,806.635631
300000,807.996578
305000,807.643220
310000,807.502762
315000,1218.735618
320000,1217.238919
325000,1214.034888
330000,1213.675969
335000,1216.290916
340000,1213.125133
345000,1215.731896
350000,2296.993226
355000,2421.461736
360000,2374.718491
365000,2258.810002
370000,2308.259670
375000,2368.302144
380000,9498.441023
385000,9191.248626
390000,10607.273441
395000,10049.369306
400000,9891.460134
405000,8430.372273
410000,2038.770274
415000,2099.670147
420000,2070.111494
425000,2117.852534
430000,2100.687049
435000,2062.421283
440000,2101.400444
445000,2446.344961
450000,2458.575692
455000,2453.290300
460000,2395.776969
465000,2387.942592
470000,2388.984312
475000,2916.574011
480000,2887.112664
485000,2817.217305
490000,2766.681492
495000,2857.503501
500000,2902.998594
505000,2546.230014
510000,2634.038068
515000,2599.301332
520000,2665.045101
525000,2655.771988
530000,2577.689965
535000,2985.247187
540000,1649.252518
545000,1640.647862
550000,1644.809590
555000,1641.363260
560000,1641.150149
565000,1637.944397
570000,1405.434819
575000,1417.307636
580000,1406.707213
585000,1399.466744
590000,1405.068743
595000,1397.263766
600000,1619.265360
605000,1646.518685
610000,1611.145401
615000,1600.585970
620000,1627.003554
625000,1660.952568
630000,1561.528118
635000,1628.248374
640000,1613.236295
645000,1547.904980
650000,1547.447974
655000,1642.618586
660000,1585.397870
665000,1731.882003
670000,1945.674619
675000,1787.744452
680000,1730.668057
685000,1744.217858
690000,1644.473077
695000,1318.675593
700000,1394.439886
705000,1410.626274
710000,1300.436631
715000,1303.229664
720000,1284.866228
725000,1691.645718
730000,2356.664616
735000,2676.340218
740000,1618.754295
745000,1745.656971
750000,2188.859899
755000,2317.763309
760000,1316.871127
765000,1364.852199
770000,1295.120556
775000,1329.142566
780000,1304.737901
785000,1304.492583
790000,1250.073670
795000,1280.325652
800000,1275.470523
805000,1256.985441
810000,1272.689958
815000,1288.625517
820000,1203.900631
825000,1206.660703
830000,1210.153904
835000,1202.073931
840000,1196.265837
845000,1204.806958
850000,1223.176629
855000,1250.219802
860000,1247.335483
865000,1256.767837
870000,1252.719740
875000,1268.984225
880000,1255.428976
885000,1205.917056
890000,1205.838982
895000,1216.751636
900000,1201.817798
905000,1210.654838
910000,1212.006553
915000,1308.125721
920000,1312.792414
925000,1312.488955
930000,1296.381589
935000,1294.257845
940000,1304.412489
945000,1486.188672
950000,1431.074232
955000,1452.854540
960000,1420.793751
965000,1479.877302
970000,1446.754520
975000,1486.850573
980000,2384.911055
985000,3717.848878
990000,4351.651794
995000,2151.287382
1000000,2569.291177
1005000,5557.006809
1010000,11674.179365
1015000,10438.403006
1020000,11828.112348
1025000,6898.403506
1030000,20205.167372
1035000,7087.559447
1040000,15597.006041
1045000,23545.383348
1050000,12319.524206
1055000,9231.628781
1060000,15780.882155
1065000,15537.391282
1070000,19137.024678
1075000,1626.846067
1080000,1511.484880
1085000,1584.007526
1090000,1563.608231
1095000,1523.854059
1100000,1581.475221
1105000,6742.945373
1110000,11539.268710
1115000,11203.525771
1120000,15670.269367
1125000,15396.625783
1130000,12792.202407
1135000,16175.755025
1140000,16198.390349
1145000,10980.923497
1150000,25052.822966
1155000,16161.597061
1160000,20915.257919
1165000,11595.906664
1170000,24370.360147
1175000,24450.922080
1180000,24480.409665
1185000,21526.433093
1190000,24437.374919
1195000,22342.267182
1200000,11373.999315
1205000,15860.928742
1210000,2095.967812
1215000,11259.218872
1220000,16257.746694
1225000,11217.454017
1230000,17123.743427
1235000,12103.059287
1240000,21267.685348
1245000,12081.303974
1250000,11890.722796
1255000,20602.530775
1260000,19658.424618
1265000,17380.057691
1270000,21691.301847
1275000,23425.077327
1280000,25102.997485
1285000,12191.256309
1290000,25126.603513
1295000,22957.525263
1300000,25402.762233
