timesteps,mean_reward
5000,223.721591
10000,233.359160
15000,209.528544
20000,233.068910
25000,229.261468
30000,195.915030
35000,310.842261
40000,309.827060
45000,309.221596
50000,310.414005
55000,309.274665
60000,311.628022
65000,282.545672
70000,283.959224
75000,280.794913
80000,283.570668
85000,282.297442
90000,283.068652
95000,291.620557
100000,291.628221
105000,293.224332
110000,291.135685
115000,291.602187
120000,293.162467
125000,292.235524
130000,367.916211
135000,368.693668
140000,367.542024
145000,368.630557
150000,368.408727
155000,370.088979
160000,415.145987
165000,414.123900
170000,414.932573
175000,414.781587
180000,413.552597
185000,414.071242
190000,421.455924
195000,421.105462
200000,421.349147
205000,421.653988
210000,420.279869
215000,421.770371
220000,421.360069
225000,433.607247
230000,434.362312
235000,434.415671
240000,434.466322
245000,434.345132
250000,434.434654
255000,464.860334
260000,468.830893
265000,468.835179
270000,467.497823
275000,469.369534
280000,466.287471
285000,1282.090011
290000,1287.079863
295000,1274.645112
300000,1279.465622
305000,1280.975339
310000,1274.376558
315000,17288.243805
320000,17291.242773
325000,17287.578242
330000,17289.109333
335000,17288.500586
340000,17290.864466
345000,17286.679712
350000,18156.223832
355000,18136.939477
360000,18157.109203
365000,18153.425632
370000,18170.064410
375000,18185.623895
380000,18927.568214
385000,18933.710800
390000,18933.865274
395000,18942.489683
400000,18968.041240
405000,18962.557460
410000,19763.185917
415000,19741.104112
420000,19750.702534
425000,19734.966257
430000,19750.940328
435000,19731.001212
440000,19748.715080
445000,20013.237456
450000,20031.735404
455000,20047.982871
460000,20059.201427
465000,20041.489687
470000,20063.107784
475000,21157.698367
480000,21169.757202
485000,21175.122443
490000,21138.067816
495000,21130.971073
500000,21153.720032
505000,21657.823254
510000,21769.612593
515000,21751.072754
520000,21728.965725
525000,21726.022335
530000,21806.589933
535000,21726.387225
540000,18455.464267
545000,18317.035493
550000,22516.017854
555000,18355.434057
560000,18479.268794
565000,22478.434666
570000,10451.338475
575000,6157.957655
580000,14765.608506
585000,12696.368106
590000,19066.819450
595000,10354.099463
600000,5474.741271
605000,6139.123966
610000,8410.486614
615000,3092.491284
620000,2437.858697
625000,3665.397372
630000,17953.135337
635000,17774.567606
640000,11309.915892
645000,19054.980916
650000,13577.813569
655000,16564.189596
660000,20995.783239
665000,1353.457621
670000,1372.223918
675000,1366.877402
680000,1362.750925
685000,1350.342711
690000,1351.684815
695000,13176.495900
700000,16755.917592
705000,19182.041680
710000,15770.451472
715000,14567.447717
720000,19076.818909
725000,24434.791478
730000,24513.765768
735000,20557.538057
740000,24725.151464
745000,24781.483103
750000,24567.472145
755000,24486.287110
760000,24956.196144
765000,24979.364754
770000,25016.313015
775000,25034.001845
780000,24880.541536
785000,25020.881768
790000,3853.031749
795000,4162.377057
800000,5482.034121
805000,4122.554594
810000,3851.738909
815000,2622.966506
