timesteps,mean_reward
5000,185.122009
10000,167.422794
15000,166.431216
20000,291.587569
25000,291.311392
30000,291.285774
35000,289.288624
40000,288.684238
45000,288.119792
50000,287.811140
55000,288.463499
60000,286.620830
65000,286.595782
70000,284.979879
75000,286.976808
80000,301.598242
85000,300.639863
90000,301.555306
95000,436.639562
100000,436.866688
105000,434.548291
110000,435.847929
115000,446.276474
120000,444.092092
125000,445.544069
130000,455.142506
135000,454.902305
140000,456.418541
145000,455.587554
150000,456.962484
155000,455.184090
160000,849.462483
165000,848.772180
170000,849.158301
175000,1135.137297
180000,1131.282489
185000,1155.638541
190000,2976.967500
195000,2860.056334
200000,2802.775508
205000,3452.188257
210000,3549.676934
215000,3425.681645
220000,3300.498509
225000,3827.028118
230000,3834.515693
235000,3838.216559
240000,19510.355310
245000,19507.211039
250000,19507.231414
255000,13126.957526
260000,9797.494966
265000,13465.378161
270000,1551.380247
275000,1748.125272
280000,1645.886171
285000,10630.190185
290000,12578.936080
295000,15239.540545
300000,22488.290205
305000,22530.859823
310000,22457.001861
315000,4658.219931
320000,4637.159206
325000,4972.392389
330000,4891.570720
335000,4014.621796
340000,5223.973358
345000,3872.085331
350000,4022.708258
355000,4144.554846
360000,5522.251672
365000,4849.925089
370000,4591.968276
375000,6376.828893
380000,6259.507397
385000,9813.316805
390000,8445.986274
395000,6634.003087
400000,4946.507330
405000,7942.314229
410000,25267.141496
415000,25259.719817
420000,25247.826826
425000,25251.607402
430000,25203.782561
435000,25212.359652
440000,25211.249657
445000,25161.181915
450000,25188.355440
455000,25188.752840
460000,25087.068012
465000,25079.701896
470000,25073.279943
475000,24700.253474
480000,24702.533832
485000,24697.564391
490000,24881.629272
495000,24889.153686
500000,24876.840923
505000,25265.829718
510000,25263.241109
515000,25268.211583
520000,24508.328135
525000,24492.514525
530000,24494.529525
535000,24467.558607
540000,25769.617847
545000,25777.519450
550000,25787.717866
555000,25893.642603
560000,25904.157106
565000,25897.012198
570000,25960.600961
575000,25961.756884
580000,25973.777887
585000,26219.920875
590000,26199.516624
595000,26200.867442
600000,25907.210867
605000,25909.123151
610000,25903.074660
615000,26390.836966
620000,26385.353327
625000,26385.993927
630000,26221.762090
635000,26222.485886
640000,26224.786666
645000,26223.340444
650000,26088.914292
655000,26081.799817
660000,26082.918625
665000,26094.752542
670000,26092.168655
675000,26106.517418
680000,26636.217232
685000,26630.149072
690000,26640.564495
695000,27162.519022
700000,27175.278941
705000,27161.222661
710000,27576.771738
715000,27579.644429
720000,27548.985656
725000,27657.292389
730000,27670.275976
735000,27639.280163
740000,27444.183449
745000,27469.672548
750000,27425.996100
755000,27462.486153
760000,27236.389339
765000,27229.047511
770000,27187.207076
775000,27258.481302
780000,27275.054042
785000,27256.238684
790000,27329.280746
795000,27344.667796
800000,27333.523500
805000,27333.284725
810000,27370.922915
815000,27374.884246
820000,27947.432000
825000,27944.474008
830000,27959.554690
835000,27655.372652
840000,27667.647347
845000,27672.356458
850000,27676.560501
855000,27190.424688
860000,27158.771554
865000,27176.120481
870000,1518.851762
875000,1593.329277
880000,1517.971722
885000,1581.195966
890000,1520.018124
895000,1658.081534
900000,1486.764950
905000,1602.640146
910000,1538.904017
915000,2108.265481
920000,1935.915920
925000,1821.525257
930000,6410.281499
935000,7457.002184
940000,8370.720382
945000,13042.562679
950000,16215.996569
955000,13368.312794
960000,16600.092145
965000,23127.629986
970000,23130.291901
975000,23181.431309
980000,23597.176341
985000,23598.954757
990000,23522.526119
995000,24695.346370
1000000,24705.137478
1005000,24687.839632
1010000,25146.905870
1015000,25154.963094
1020000,25077.138130
1025000,25329.735013
1030000,25338.776331
1035000,25350.595762
1040000,25795.006433
1045000,25789.990854
1050000,25764.693545
1055000,25625.247061
1060000,25639.961052
1065000,25633.873345
1070000,25610.719966
1075000,15880.597990
1080000,19648.182175
1085000,16678.724512
1090000,19851.996708
1095000,13809.944638
1100000,13665.670381
1105000,8044.525655
1110000,11127.035312
1115000,8888.214266
1120000,26860.520348
1125000,26899.788153
1130000,26837.991398
1135000,27104.520137
1140000,27089.904614
1145000,27088.421083
1150000,27181.752729
1155000,27171.380064
1160000,27173.620422
1165000,27175.632236
1170000,27162.833153
1175000,27155.964770
1180000,27137.235202
1185000,25249.164833
1190000,26662.994280
1195000,26723.767436
1200000,17553.637288
1205000,20149.067263
1210000,23575.752024
1215000,7089.591203
1220000,4744.645768
1225000,2967.660937
1230000,1857.184552
1235000,1802.685781
1240000,2180.054633
1245000,9569.184408
1250000,6531.148752
1255000,11555.156591
1260000,22981.178677
1265000,12167.222583
1270000,18701.540462
1275000,23491.026681
1280000,27296.098584
1285000,27309.835445
1290000,27233.297285
1295000,27361.146516
1300000,27366.807767
1305000,27353.013176
1310000,27243.256177
1315000,27243.856740
1320000,27238.479672
1325000,27591.864327
1330000,27621.662395
1335000,27586.603844
1340000,26707.239990
1345000,26682.632392
1350000,26733.975465
1355000,26453.538147
1360000,26390.980013
1365000,26376.902910
1370000,26336.013965
1375000,26415.150644
1380000,26397.824687
1385000,26409.931581
1390000,1488.807457
1395000,1349.945001
1400000,1437.565469
1405000,1366.344735
1410000,1556.081609
1415000,1602.652016
1420000,1537.054977
1425000,1500.739354
1430000,1545.134549
1435000,1576.327511
1440000,1765.233430
1445000,1825.028368
1450000,1566.421598
1455000,1530.291398
1460000,1623.082831
1465000,1764.067084
1470000,1649.668135
1475000,1735.154813
1480000,1636.778762
1485000,1672.602715
1490000,1622.763811
1495000,1638.720760
1500000,1928.956148
1505000,1861.891796
1510000,1849.156952
1515000,1737.869242
1520000,1710.866019
1525000,1685.805595
1530000,1916.833787
1535000,1960.621416
1540000,1981.979934
1545000,15122.760287
1550000,15136.369737
1555000,19495.983390
1560000,15578.844644
1565000,22791.166709
1570000,15612.135270
1575000,24449.326481
1580000,24508.361399
1585000,24480.514244
1590000,24476.147614
1595000,25889.233796
1600000,25917.594117
1605000,25916.796776
1610000,25568.217712
1615000,25589.017184
1620000,23037.156217
1625000,3130.354733
1630000,2386.968000
1635000,3956.264072
1640000,6699.965030
1645000,6519.738704
1650000,4138.596118
1655000,25939.962955
1660000,26124.481084
1665000,26182.687494
1670000,26570.743533
1675000,26679.929525
1680000,26685.679619
1685000,27248.064860
1690000,27256.546264
1695000,27257.749133
1700000,27244.721443
1705000,13729.220388
1710000,14609.737694
1715000,10812.549239
1720000,16386.861322
1725000,13029.605818
1730000,7237.539875
1735000,21784.960243
1740000,23754.267856
1745000,22873.788382
1750000,14130.398249
1755000,19262.592704
1760000,16370.033865
1765000,21059.248616
1770000,24367.689285
1775000,23818.112432
1780000,14207.849829
1785000,14923.081253
1790000,18129.337853
1795000,17110.645553
1800000,10669.251749
1805000,14634.985645
1810000,13309.427114
1815000,22696.199734
1820000,27142.235151
1825000,22756.544795
1830000,27572.376515
1835000,12084.817335
1840000,12315.986560
1845000,27795.349348
1850000,22925.872271
1855000,27798.753949
1860000,27855.544585
1865000,27810.702287
1870000,27885.161447
1875000,27360.334302
1880000,27451.344720
1885000,27421.190178
1890000,21480.094418
1895000,23519.369152
1900000,23256.798459
1905000,21202.158751
1910000,25266.336966
1915000,26595.396859
1920000,26811.250702
1925000,28097.796716
1930000,28142.805075
1935000,28046.411492
1940000,17173.264033
1945000,17167.993622
1950000,24885.164980
1955000,9054.881573
1960000,2317.112830
1965000,9297.723435
1970000,2209.464414
1975000,2208.060753
1980000,2288.924529
1985000,1946.726634
1990000,2055.129332
1995000,1716.874071
2000000,2590.391379
2005000,2764.756253
2010000,2827.571631
2015000,2716.615552
2020000,2373.307268
2025000,2849.679390
2030000,2657.701283
2035000,2267.356828
2040000,3026.053228
2045000,2450.405808
2050000,4154.842742
2055000,3483.921176
2060000,2945.014524
2065000,4553.947324
2070000,3258.485639
2075000,3342.726874
2080000,5462.902313
2085000,4933.256175
2090000,4955.318105
2095000,4865.817372
2100000,4434.068664
2105000,3130.539050
