timesteps,mean_reward
5000,185.122009
10000,167.422795
15000,166.431216
20000,175.052586
25000,158.210817
30000,156.658579
35000,331.518829
40000,331.082667
45000,329.418324
50000,330.095950
55000,330.669406
60000,330.210420
65000,282.082585
70000,279.830910
75000,282.297285
80000,282.451268
85000,282.089809
90000,281.724709
95000,285.801260
100000,285.993360
105000,283.563674
110000,284.910991
115000,285.881582
120000,284.165143
125000,284.262915
130000,282.972756
135000,282.573301
140000,283.555082
145000,284.024865
150000,284.662275
155000,283.450212
160000,305.220973
165000,305.826062
170000,306.473190
175000,305.187939
180000,304.531592
185000,306.872632
190000,427.976488
195000,427.056126
200000,426.289813
205000,426.930321
210000,429.283793
215000,427.547987
220000,427.451076
225000,440.596690
230000,438.004001
235000,441.064034
240000,440.724525
245000,440.269662
250000,438.959410
255000,460.762541
260000,459.994165
265000,461.677431
270000,462.146855
275000,461.716023
280000,462.937885
285000,539.409547
290000,541.230791
295000,538.822405
300000,541.086986
305000,539.400769
310000,539.607920
315000,565.269641
320000,566.989344
325000,567.164265
330000,566.867670
335000,567.136386
340000,567.190199
345000,566.941895
350000,883.899474
355000,881.568788
360000,883.965726
365000,879.498375
370000,881.629383
375000,883.092186
380000,1766.690227
385000,1747.360012
390000,1765.738151
395000,1771.909096
400000,1768.185242
405000,1745.583347
410000,2365.596527
415000,2798.937637
420000,2596.858174
425000,2477.342847
430000,2418.926560
435000,2480.604200
440000,2457.222131
445000,7910.577810
450000,6687.161553
455000,6421.273679
460000,6830.283494
465000,7104.008808
470000,9664.731205
475000,10442.066691
480000,7102.044602
485000,6318.930906
490000,6203.713505
495000,6846.172405
500000,8383.615777
505000,21941.716651
510000,22951.785154
515000,18919.523327
520000,22133.993691
525000,22543.861013
530000,22152.582210
535000,22376.089574
540000,22925.837543
545000,23091.767832
550000,22931.528546
555000,22956.910556
560000,22979.294486
565000,22862.549148
570000,19897.137977
575000,19882.202165
580000,19943.968369
585000,11276.714721
590000,24266.239531
595000,19902.770485
600000,24853.806873
605000,24848.824102
610000,24844.577437
615000,24842.180367
620000,24837.968301
625000,24823.055338
630000,6429.415668
635000,20240.727134
640000,2307.025528
645000,6503.591319
650000,6798.581798
655000,15685.358275
660000,10925.638672
665000,1282.397282
670000,1279.756199
675000,1273.813466
680000,1279.672585
685000,1286.180481
690000,1276.743045
695000,1195.272531
700000,1190.783062
705000,1192.290275
710000,1182.557723
715000,1195.808614
720000,1195.008814
725000,1189.387245
730000,1198.095738
735000,1199.665558
740000,1192.026266
745000,1207.442745
750000,1195.279552
755000,1204.571846
760000,1206.161196
765000,1209.858527
770000,1207.158042
775000,1204.959146
780000,1209.978894
785000,1213.983053
790000,2946.564126
795000,3044.596873
800000,3510.530355
805000,3959.928168
810000,2367.910218
815000,2680.268992
820000,1478.295280
825000,1509.101599
830000,1550.658321
835000,1431.690505
840000,1452.923603
845000,1467.692478
850000,1484.021393
855000,2591.353111
860000,2719.596970
865000,3389.139047
870000,3223.367992
875000,2272.031358
880000,3329.352659
885000,5014.361601
890000,4017.620928
895000,4407.453690
900000,4237.952314
905000,3806.794829
910000,3876.565681
915000,3985.098765
920000,3864.825206
925000,3698.988688
930000,4736.087386
935000,4942.835245
940000,3335.106380
945000,2247.977065
950000,2310.425421
955000,2384.137698
960000,2169.156005
965000,2222.681945
970000,2395.589026
975000,2171.684236
980000,11365.376904
985000,8374.252406
990000,11119.752472
995000,12786.184408
1000000,9211.734620
1005000,14696.543182
1010000,26288.261054
1015000,21507.338670
1020000,21868.459800
1025000,26273.242100
1030000,26061.482209
1035000,17542.425236
1040000,25754.414228
1045000,23928.886523
1050000,23656.629211
1055000,25685.309945
1060000,22616.497438
1065000,21573.775258
1070000,25455.919040
1075000,3668.714558
1080000,3048.734766
1085000,3499.740397
1090000,3332.760045
1095000,2536.886591
1100000,3481.099599
1105000,7977.261383
1110000,4116.047162
1115000,4482.240545
1120000,5748.619508
1125000,5285.392540
1130000,5887.589344
1135000,16538.066036
1140000,11133.846378
1145000,14358.747174
1150000,6672.327504
1155000,10300.614290
1160000,10152.057587
1165000,16121.821399
1170000,25444.258107
1175000,21884.571691
1180000,25883.113241
1185000,24926.263070
1190000,17709.169669
1195000,23201.181019
1200000,21839.509847
1205000,26976.252762
1210000,26627.030335
1215000,26945.782530
1220000,22334.516239
1225000,27022.823584
1230000,26790.382880
1235000,26679.952245
1240000,27006.509408
1245000,27106.027140
1250000,26709.301092
1255000,27002.287287
1260000,21371.278886
1265000,26377.044066
1270000,26348.887081
1275000,22182.770395
1280000,26149.986221
1285000,26249.684461
1290000,25091.424860
1295000,26750.472530
1300000,26622.275450
1305000,26726.158998
1310000,26956.232440
1315000,26726.242152
1320000,26746.103607
1325000,4817.200886
1330000,4476.618674
1335000,7280.357646
1340000,3005.986838
1345000,4922.695274
1350000,4738.485065
1355000,5122.907969
1360000,5105.438230
1365000,3969.345821
1370000,4442.402741
1375000,4963.868888
1380000,5064.474159
1385000,3970.030933
1390000,2566.865176
1395000,4110.094832
1400000,2563.947073
1405000,2241.730016
1410000,4027.461212
1415000,2941.672800
1420000,2281.470143
1425000,2951.491105
1430000,2326.864332
1435000,2503.036606
1440000,2376.060123
1445000,2726.072330
1450000,2177.442853
1455000,2187.357443
1460000,2260.310042
1465000,2196.577343
1470000,2162.456332
1475000,2185.736984
1480000,3876.092424
1485000,3665.679646
1490000,2959.293167
1495000,4359.892653
1500000,2653.152482
1505000,3493.245162
1510000,2863.646588
1515000,2625.183482
1520000,2514.913787
1525000,2542.049202
1530000,2801.908973
1535000,3008.083090
1540000,2943.101540
1545000,2702.508361
1550000,3221.404716
1555000,2902.773784
1560000,2902.471008
1565000,2935.735713
1570000,3036.699946
1575000,3449.590258
1580000,3546.493922
1585000,3578.816770
1590000,3078.120256
1595000,3942.640492
1600000,3245.853825
1605000,3271.087799
1610000,3599.833351
1615000,3981.082915
1620000,3659.037117
1625000,5463.004671
1630000,4073.136185
1635000,5066.513644
1640000,4580.927896
1645000,2228.974339
1650000,6453.868664
1655000,3798.507957
1660000,3641.045562
1665000,4358.013315
1670000,15564.773903
1675000,20310.059949
1680000,18506.340023
1685000,14668.822975
1690000,9222.110381
1695000,16145.521002
1700000,15161.032346
1705000,4418.697407
1710000,11076.436413
1715000,9046.545367
1720000,5638.678156
1725000,8767.594464
1730000,3463.277135
1735000,12836.928549
1740000,13765.420169
1745000,10793.478387
1750000,12676.872280
1755000,13132.799434
1760000,17908.327444
1765000,2151.941835
1770000,2367.998050
1775000,2177.244392
1780000,4698.631754
1785000,3749.067722
1790000,2372.942733
1795000,5219.666955
1800000,4258.203199
1805000,2844.399942
1810000,5921.173249
1815000,3741.479626
1820000,3349.385368
1825000,4130.459332
1830000,5247.329339
1835000,4645.260108
1840000,5807.737350
1845000,3815.634669
1850000,6326.357976
1855000,3739.772716
1860000,9078.972187
1865000,11278.288209
1870000,7050.617804
1875000,4273.549417
1880000,4371.836260
1885000,6142.516011
1890000,19742.566786
1895000,18098.116341
1900000,21352.054692
1905000,19311.285461
1910000,22802.061028
1915000,22703.320498
1920000,20285.813677
1925000,19387.776471
1930000,20003.051492
1935000,20781.292175
1940000,12590.053948
1945000,16019.677230
1950000,18633.673584
1955000,3534.265355
1960000,3177.024334
1965000,7089.780623
1970000,6400.509999
1975000,4383.445954
1980000,4113.698698
1985000,2165.813334
1990000,2168.298776
1995000,2181.958775
2000000,2138.428459
2005000,2195.182618
2010000,2163.831311
2015000,2158.453292
2020000,1927.519475
2025000,1995.422269
2030000,1938.717810
2035000,2045.363331
2040000,2174.577482
2045000,2484.501032
2050000,2435.857042
2055000,2427.831795
2060000,2088.571056
2065000,2225.539063
2070000,2543.813251
2075000,2744.295885
2080000,3795.655991
2085000,5505.905786
2090000,4156.158180
2095000,3536.065363
2100000,3208.327581
2105000,3566.416500
2110000,3810.562195
2115000,3675.308998
2120000,2968.452894
2125000,2655.571655
2130000,2580.426795
2135000,2756.563387
2140000,2553.101460
2145000,2138.023031
2150000,2194.814622
2155000,2189.906174
2160000,2120.517752
2165000,2186.296119
2170000,2221.348319
2175000,2172.918887
2180000,2270.405976
2185000,2297.643955
2190000,2271.582281
2195000,2296.647704
2200000,2255.637845
2205000,1948.220073
2210000,1924.585652
2215000,1917.233377
2220000,1908.383046
2225000,1925.599271
2230000,1938.380330
2235000,1907.661365
2240000,2615.213517
2245000,2684.007055
2250000,2487.962753
2255000,2996.679966
2260000,2785.016926
2265000,2540.711581
2270000,2022.052412
2275000,2033.735587
2280000,2011.878105
2285000,1989.610437
2290000,2005.516066
2295000,2000.646831
2300000,1740.956516
2305000,1793.442903
2310000,1734.949234
2315000,1789.537080
2320000,1764.822669
2325000,1781.086199
2330000,1764.757283
2335000,1967.641529
2340000,2018.388958
2345000,1998.278800
2350000,1992.623645
2355000,2051.320060
2360000,2017.695340
2365000,3074.670037
2370000,2840.979992
2375000,2985.853126
2380000,3073.095322
2385000,3381.993687
2390000,3462.460800
2395000,4891.034005
2400000,3967.338696
2405000,9462.243675
2410000,4381.145851
2415000,3936.687493
2420000,6349.582734
2425000,2026.379139
2430000,2052.531457
2435000,2078.339446
2440000,2117.898630
2445000,2112.591669
2450000,2031.774452
2455000,2043.217590
2460000,1406.362140
2465000,1425.967218
2470000,1424.757624
2475000,1429.070832
2480000,1414.756345
2485000,1420.446786
2490000,1317.214152
2495000,1117.219348
2500000,1238.478744
2505000,1286.218225
2510000,1371.068373
2515000,1124.699081
2520000,1237.286597
2525000,1294.746045
2530000,1258.680787
2535000,1168.443269
2540000,1292.334260
2545000,1248.576266
2550000,1234.295335
2555000,1039.900143
2560000,1028.285249
2565000,1030.983105
2570000,1032.090585
2575000,1042.333932
2580000,1046.106050
2585000,1081.031119
2590000,1065.684129
2595000,1073.625181
2600000,1105.275685
2605000,1062.470213
2610000,1071.764507
2615000,1094.645490
2620000,1093.834112
2625000,1087.880590
2630000,1067.595953
2635000,1091.528095
2640000,1068.727232
2645000,1068.709927
2650000,1077.733666
2655000,1064.976959
2660000,1059.518536
2665000,1079.338609
2670000,1058.504935
2675000,1051.647837
2680000,1148.592675
2685000,1176.677924
2690000,1079.135150
2695000,1141.080164
2700000,1066.547091
2705000,1170.664079
2710000,1028.205664
2715000,1028.685757
2720000,1020.448384
2725000,1049.041897
2730000,1035.828571
2735000,1023.105288
2740000,1046.040442
2745000,1010.984766
2750000,1015.923096
2755000,1057.201986
2760000,1012.285383
2765000,1019.651567
2770000,1019.534403
2775000,1057.975017
2780000,1054.078776
2785000,1061.481888
2790000,1045.081756
2795000,1050.898167
2800000,1043.023178
2805000,1094.007087
2810000,1079.943293
2815000,1082.657097
2820000,1071.806582
2825000,1082.228633
2830000,1070.111975
2835000,1229.574736
2840000,1194.302298
2845000,1278.275248
2850000,1290.586924
2855000,1311.188298
2860000,1198.655423
2865000,1270.183781
2870000,1206.994732
2875000,1190.542321
2880000,1219.995032
2885000,1158.075686
2890000,1190.938132
2895000,1228.183027
2900000,1121.603371
2905000,1095.238651
2910000,1118.823470
2915000,1105.198166
2920000,1111.888222
2925000,1137.987335
2930000,1093.540114
2935000,1091.292301
2940000,1090.884709
2945000,1112.525749
2950000,1094.791195
2955000,1083.057365
2960000,1208.269114
2965000,1259.386047
2970000,1176.817020
2975000,1213.191780
2980000,1188.238291
2985000,1239.051762
2990000,1192.950606
2995000,1317.520949
3000000,1324.746229
3005000,1326.360536
3010000,1326.438682
3015000,1314.858107
3020000,1309.916621
3025000,1358.849834
3030000,1334.845788
3035000,1365.185694
3040000,1345.863424
3045000,1368.105195
3050000,1333.154978
3055000,1356.404961
3060000,1356.404196
3065000,1362.091198
3070000,1360.850977
3075000,1368.356312
3080000,1355.627092
3085000,1364.947565
3090000,1387.753943
3095000,1312.054062
3100000,1310.923119
3105000,1304.105316
3110000,1313.703880
3115000,1316.361650
3120000,2261.881950
3125000,1812.368021
3130000,1623.078244
3135000,3261.961407
3140000,2451.354015
3145000,1964.148124
3150000,2253.710565
3155000,2422.886866
3160000,2503.767959
3165000,2629.442822
3170000,2577.606132
3175000,2368.137282
3180000,2333.656026
3185000,2838.098063
3190000,2588.879071
3195000,2743.091832
3200000,2689.623696
3205000,2604.555799
3210000,2600.521936
3215000,2245.764241
3220000,2317.926708
3225000,2240.101862
3230000,2280.094163
3235000,2283.491952
3240000,2275.576346
3245000,2384.008763
3250000,2366.163065
3255000,2946.379470
3260000,2334.758851
3265000,2379.973460
3270000,2400.211912
3275000,2782.085539
3280000,2580.460557
3285000,2602.822880
3290000,2591.601901
3295000,2557.658711
3300000,2533.176043
3305000,2629.895161
3310000,2383.283442
3315000,1963.545594
3320000,2350.334501
3325000,2441.907155
3330000,1942.855457
3335000,2276.762243
3340000,2076.536084
3345000,2085.393500
3350000,2112.161383
3355000,2418.802297
3360000,2447.994781
3365000,2300.354825
3370000,2476.175024
3375000,2512.617378
3380000,2368.456167
3385000,2518.186027
3390000,2365.156965
3395000,3124.024816
3400000,2515.662816
3405000,2558.890398
3410000,2443.778918
3415000,2726.657234
3420000,2560.640514
3425000,2550.235378
3430000,2514.350338
3435000,2470.162760
3440000,2846.577014
3445000,2556.774078
3450000,2700.688210
3455000,2312.268351
3460000,2247.184221
3465000,2606.910952
3470000,2456.244123
3475000,2524.218779
3480000,2778.954191
3485000,2553.264405
3490000,2839.985878
3495000,2703.303150
3500000,2319.845705
3505000,2274.876262
3510000,2282.174126
3515000,2374.235267
3520000,2014.048824
3525000,2112.941715
3530000,2081.773860
3535000,2064.493166
3540000,2145.265898
3545000,1959.872856
3550000,1907.998812
3555000,2248.185956
3560000,1993.935408
3565000,2305.240649
3570000,2581.930744
3575000,1955.056811
3580000,2193.954556
3585000,1921.734465
3590000,4033.686403
3595000,3259.189998
3600000,3297.701485
3605000,2889.776031
3610000,3231.543651
3615000,3110.675535
3620000,3393.726028
3625000,2227.979609
3630000,2373.694277
3635000,2680.415683
3640000,2404.021507
3645000,2477.860128
3650000,2259.016288
3655000,1459.381310
3660000,1407.765405
3665000,1425.899038
3670000,1386.868426
3675000,1464.578798
3680000,1386.182751
3685000,1369.434274
3690000,1384.048378
3695000,1390.523072
3700000,1388.985227
3705000,1449.834535
3710000,1394.221583
3715000,1482.019554
3720000,1448.201622
3725000,1407.879304
3730000,1430.913314
3735000,1491.930338
3740000,1481.975178
