timesteps,mean_reward
5000,245.443076
10000,240.590602
15000,234.447063
20000,221.964227
25000,218.196768
30000,211.494907
35000,299.690083
40000,297.664785
45000,298.844225
50000,298.447166
55000,298.218875
60000,298.537222
65000,283.530665
70000,283.421273
75000,281.358493
80000,283.092253
85000,283.349400
90000,282.300563
95000,289.971977
100000,288.352989
105000,288.278090
110000,288.437251
115000,288.861039
120000,290.440689
125000,288.855458
130000,309.081389
135000,309.492690
140000,308.629175
145000,308.997369
150000,309.095638
155000,308.999490
160000,430.689164
165000,431.436643
170000,431.365939
175000,430.286977
180000,432.029160
185000,429.918057
190000,435.866272
195000,435.728341
200000,435.817096
205000,435.283968
210000,434.857137
215000,436.919026
220000,436.783742
225000,472.028218
230000,469.895708
235000,471.048529
240000,469.723319
245000,470.455571
250000,469.476910
255000,539.464273
260000,541.388269
265000,536.332704
270000,537.039450
275000,537.939714
280000,543.352199
285000,873.523244
290000,873.645013
295000,873.569494
300000,874.254187
305000,875.398552
310000,873.895970
315000,1665.909342
320000,1672.557108
325000,1669.025670
330000,1598.965359
335000,1598.837596
340000,1620.422261
345000,1678.812337
350000,1847.801841
355000,1847.539557
360000,1852.800445
365000,1882.136868
370000,1843.406287
375000,1852.056120
380000,1866.145697
385000,1892.170273
390000,1996.115014
395000,1887.590546
400000,1873.804340
405000,1851.710319
410000,1890.540997
415000,1847.058671
420000,1837.684733
425000,1905.912567
430000,1898.172170
435000,1721.176028
440000,1938.543523
445000,1433.119519
450000,1442.691115
455000,1448.287365
460000,1437.379073
465000,1430.939024
470000,1437.619431
475000,1374.742178
480000,1376.355750
485000,1377.604287
490000,1381.313963
495000,1377.923589
500000,1377.277746
505000,1944.823713
510000,1893.534120
515000,1813.322972
520000,1886.855098
525000,1819.833791
530000,1850.124961
535000,1759.276023
540000,1638.946753
545000,1770.526707
550000,1810.388867
555000,1911.751601
560000,1632.551294
565000,1747.200603
570000,1836.358468
575000,1759.671695
580000,1826.427882
585000,1695.016837
590000,1764.986790
595000,1825.341578
600000,1365.587455
605000,1381.146453
610000,1374.937371
615000,1359.895526
620000,1375.588206
625000,1365.584591
630000,1280.513612
635000,1255.146967
640000,1258.233962
645000,1255.413736
650000,1257.112320
655000,1258.289270
660000,1253.109170
665000,1349.199736
670000,1333.693638
675000,1342.782774
680000,1326.751701
685000,1350.166130
690000,1346.527007
695000,1272.159829
700000,1277.104897
705000,1278.416486
710000,1271.414442
715000,1280.209690
720000,1272.744126
725000,1354.897515
730000,1334.775951
735000,1340.917550
740000,1383.178669
745000,1353.339367
750000,1357.347574
755000,1343.071610
760000,1354.146802
765000,1364.675391
770000,1346.546266
775000,1349.863672
780000,1377.871908
785000,1404.504514
790000,2117.951959
795000,1767.922714
800000,1759.727102
805000,1896.756057
810000,2273.786300
815000,1790.150312
820000,25204.834303
825000,25241.403344
830000,25264.495583
835000,25136.633773
840000,25284.649422
845000,20557.180118
850000,25221.503600
855000,25516.580523
860000,25514.529938
865000,25496.957372
870000,25502.859104
875000,25504.822755
880000,25496.950391
885000,25822.984317
890000,25778.002224
895000,25714.772218
900000,25777.802013
905000,25772.009808
910000,25717.482856
915000,4989.868483
920000,4481.555139
925000,4734.220779
930000,4968.746909
935000,4509.746666
940000,4587.694140
945000,2635.920124
950000,2516.881258
955000,2408.609405
960000,2509.197790
965000,2565.903437
970000,2501.561381
975000,2846.642798
980000,6260.685295
985000,5050.350379
990000,9112.990227
995000,3742.037419
1000000,5993.972823
1005000,4470.361410
1010000,3671.965517
1015000,4661.254350
1020000,4169.389434
1025000,3649.677761
1030000,3458.022830
1035000,3684.725965
1040000,24510.399642
1045000,24511.814559
1050000,18839.631566
1055000,21261.265700
1060000,24353.014891
1065000,18319.375590
1070000,24523.000426
1075000,1949.012599
1080000,2619.794973
1085000,1934.311120
1090000,2026.176455
1095000,2114.401947
1100000,1916.261342
1105000,2775.903725
1110000,6262.985620
1115000,4504.995623
1120000,3123.851563
1125000,3744.031539
1130000,4870.664026
1135000,25387.146851
1140000,25399.347158
1145000,25396.514281
1150000,25405.293575
1155000,25407.689549
1160000,25374.170545
1165000,25401.075190
1170000,7959.255784
1175000,10938.173821
1180000,9161.679573
1185000,8321.589988
1190000,5578.206414
1195000,12770.905730
1200000,25178.700705
1205000,24301.267997
1210000,24441.351150
1215000,22733.952808
1220000,25179.572990
1225000,25164.273128
1230000,25417.236584
1235000,25394.253482
1240000,25375.607620
1245000,25419.029654
1250000,25398.935115
1255000,25411.444597
1260000,22710.606405
1265000,25212.198365
1270000,25206.104407
1275000,25250.904224
1280000,25247.948631
1285000,22091.122552
1290000,25215.119097
1295000,25418.326170
1300000,25393.648225
1305000,25362.887678
1310000,25362.608328
1315000,25340.135806
1320000,25387.634522
1325000,2907.688036
1330000,4350.772934
1335000,2866.772348
1340000,3013.235140
1345000,3256.108048
1350000,8266.054770
1355000,4725.163599
1360000,7472.029307
1365000,4620.018653
1370000,8922.601304
1375000,6361.540880
1380000,6815.432870
1385000,7780.877326
1390000,21814.124436
1395000,17891.979048
1400000,22619.687366
1405000,18686.747320
1410000,19232.354540
1415000,20974.713628
1420000,4568.644709
1425000,7800.974076
1430000,5410.081136
1435000,6801.113985
1440000,10216.946195
1445000,5090.977616
1450000,5267.233135
1455000,4501.374006
1460000,9016.916624
1465000,6360.555584
1470000,8414.953920
1475000,13948.090079
1480000,25560.528828
1485000,25481.620458
1490000,25475.256671
1495000,25573.465004
1500000,25538.867769
1505000,25544.979565
1510000,25553.479297
1515000,23830.235574
1520000,21431.347077
1525000,22274.099579
1530000,22920.749168
1535000,24283.695355
1540000,24896.585579
1545000,18485.813644
1550000,20380.615453
1555000,25575.290561
1560000,21862.017507
1565000,23969.965303
1570000,19817.890131
1575000,24775.435195
1580000,25910.858653
1585000,25944.707168
1590000,25908.008625
1595000,25980.674040
1600000,25889.179574
1605000,25973.052275
1610000,26214.322862
1615000,26286.497831
1620000,26690.890848
1625000,26319.318927
1630000,26094.913908
1635000,26421.119645
1640000,22012.486388
1645000,21225.285938
1650000,23785.516553
1655000,22545.063923
1660000,25923.627335
1665000,25129.259715
1670000,26027.268574
1675000,25915.995985
1680000,26015.479095
1685000,26072.347943
1690000,25546.386978
1695000,26048.636571
1700000,22890.275265
1705000,26211.388256
1710000,22767.785110
1715000,26000.213554
1720000,26040.078800
1725000,26025.196823
1730000,26025.718727
1735000,25968.803838
1740000,26085.125305
1745000,26172.427633
1750000,25997.192231
1755000,26161.315109
1760000,26105.692480
1765000,27764.285983
1770000,27800.608007
1775000,27770.579666
1780000,27797.263260
1785000,27822.618119
1790000,27777.671017
1795000,27064.221917
1800000,26988.278576
1805000,27250.247295
1810000,27183.138339
1815000,26978.373735
1820000,27003.580355
1825000,27030.231675
1830000,26032.148660
1835000,26033.674026
1840000,25921.508245
1845000,26027.993712
1850000,25997.259123
1855000,26095.836630
1860000,26277.305876
1865000,26493.192352
1870000,26415.044761
1875000,26551.710525
1880000,26289.658052
1885000,26471.788684
1890000,27282.607349
1895000,27231.313859
1900000,27216.120558
1905000,27160.961858
1910000,27145.645753
1915000,27212.556869
1920000,27276.031382
1925000,25875.736771
1930000,25970.913894
1935000,26010.131911
1940000,25924.240412
1945000,25829.701259
1950000,25905.795245
1955000,25985.265780
1960000,25868.439890
1965000,25861.887190
1970000,25942.368070
1975000,25956.793137
1980000,26055.684645
1985000,18859.051984
1990000,12078.909281
1995000,9347.889463
2000000,14080.875889
2005000,11344.083574
2010000,17974.600606
2015000,18620.036837
2020000,8907.537785
2025000,14070.638506
2030000,12741.436849
2035000,10013.226663
2040000,16230.657030
2045000,10338.073079
2050000,26245.038823
2055000,26082.640549
2060000,26068.654231
2065000,26091.144726
2070000,26040.663090
2075000,26153.472316
2080000,23822.160392
2085000,15955.493042
2090000,19802.577897
2095000,17896.520096
