episode,timestep,mean_reward,std_reward,steps_to_1000_return,policy_loss,entropy
1,16,7.753505332814767,0.0,,0.0,4.244815766811371
2,32,9.100953126211586,1.3474477933968187,,0.0,4.078752964735031
3,48,9.019743560499085,1.1061647064277529,,0.0,3.949817329645157
4,64,9.834552177928726,1.7057079226592722,,0.0,4.006808266043663
5,80,9.620221261328442,1.5847089894302238,,0.0,4.6010018438100815
6,96,9.729265140131279,1.4670395320188114,,0.0,4.552317246794701
7,112,9.722149243288063,1.358326525152336,,0.0,3.9538398385047913
8,128,9.723805582395574,1.2706056762546516,,0.0,3.9104017466306686
9,144,9.718221509682913,1.198042633759318,,0.0,4.65398196876049
10,160,9.566702085482016,1.2240909934584148,,0.0,3.7768569737672806
11,176,9.557840172783957,1.1674613595822334,,0.0,3.7292217910289764
12,192,9.565490895509754,1.118047133658339,,0.0,4.220434293150902
13,208,9.51539297975859,1.0881134590992025,,0.0,4.3249391913414
14,224,9.4249403975022,1.098080974513958,,0.0,4.033365726470947
15,240,9.385050844473133,1.0712949368197244,,0.0,4.340046286582947
16,256,9.53239391614333,1.1838889308504588,,0.0,4.0156910717487335
17,272,9.464163003370448,1.1805226269842644,,0.0,3.846766844391823
18,288,9.43319242040519,1.154346390406198,,0.0,4.11356683075428
19,304,9.347776483997075,1.18055455997807,,0.0,4.4754282385110855
20,320,9.277308190411032,1.190954845176091,,0.0,4.103146478533745
21,336,9.214539450894316,1.195671419714931,,0.0,4.198247641324997
22,352,9.171979429458904,1.1843502098109373,,0.0,3.757241055369377
23,368,9.129937985476928,1.1749824352555784,,0.0,3.8213400840759277
24,384,9.088486945827004,1.167295053183301,,0.0,4.20394666492939
25,400,9.06926883522174,1.1475794918629496,,0.0,4.448383554816246
26,416,9.076133132738615,1.125817554744974,,0.0,3.5170926451683044
27,432,9.046389995757927,1.115133633870051,,0.0,4.105579614639282
28,448,9.022986193177664,1.1017714873061943,,0.0,4.208016321063042
29,464,8.983415487686555,1.1026718985857968,,0.0,4.789982259273529
30,480,8.954829154303411,1.0950132330854512,,0.0,4.523535653948784
31,496,8.951409685723199,1.077369761469027,,0.0,4.007818043231964
32,512,8.900038636307078,1.0982993463067596,,0.0,4.563569352030754
33,528,8.886674433327196,1.0841694231909285,,0.0,4.100881278514862
34,544,8.87151952835052,1.0716488283527643,,0.0,4.185061946511269
35,560,8.834641194063474,1.0778957664540103,,0.0,5.178764685988426
36,576,8.808567101923295,1.0739555177895097,,0.0,4.153492748737335
37,592,8.804195795993078,1.0596678294833537,,0.0,4.456686317920685
38,608,8.80767593865874,1.0458461349759007,,0.0,4.589686349034309
39,624,8.752090145062096,1.0877314887395897,,0.0,4.172384157776833
40,640,8.704039766885774,1.1151795871869108,,0.0,3.85867802798748
41,656,8.67565604709672,1.1160280480739622,,0.0,4.207150623202324
42,672,8.651295159716524,1.1136404111833054,,0.0,4.303803205490112
43,688,8.634821222506924,1.1057810034271947,,0.0,3.8639194071292877
44,704,8.614248765722316,1.1014356698801226,,0.0,4.493914470076561
45,720,8.582454218287426,1.1093604980964407,,0.0,4.530532851815224
46,736,8.556197539903541,1.1112832124820866,,0.0,4.335462883114815
47,752,8.536394115635737,1.1075716304444336,,0.0,3.6784690618515015
48,768,8.530734786284254,1.0966602355391872,,0.0,3.932854503393173
49,784,8.51359252161452,1.0918904079903984,,0.0,4.400417655706406
50,800,8.504120778880491,1.082947898751723,,0.0,3.707111284136772
51,816,8.473261851292735,1.0942550942043239,,0.0,4.557012885808945
52,832,8.478091401732598,1.084231041738074,,0.0,4.147349461913109
53,848,8.444187855637173,1.1014300044895164,,0.0,4.373824939131737
54,864,8.462856918696191,1.0996156817693326,,0.0,4.409451246261597
55,880,8.467459717035885,1.0900981828600644,,0.0,3.8826933801174164
56,896,8.463702471128677,1.0806806114111696,,0.0,4.353876501321793
57,912,8.453747131543778,1.0737465801100952,,0.0,3.979218930006027
58,928,8.463757739259199,1.0671296474343899,,0.0,4.573883816599846
59,944,8.466017544686544,1.0581874885534186,,0.0,4.0888813734054565
60,960,8.451992009882947,1.0548480002100924,,0.0,4.089113339781761
61,976,8.438916446922708,1.0510573106136252,,0.0,4.355671182274818
62,992,8.450591712900065,1.0465268290586573,,0.0,4.598311722278595
63,1008,8.454310277077502,1.0386006467555282,,0.0,4.066162899136543
64,1024,8.444606051421216,1.033329370310738,,0.0,4.078482076525688
65,1040,8.44695997637548,1.0255227860633664,,0.0,3.640460655093193
66,1056,8.46739756989019,1.0309764167040203,,0.0,4.145174369215965
67,1072,8.477088965032358,1.026278195845826,,0.0,4.077135935425758
68,1088,8.459490984820924,1.0288377746534607,,0.0,4.276833221316338
69,1104,8.455133696667138,1.0219870489709686,,0.0,3.973147213459015
70,1120,8.452844591913424,1.0148390347595082,,0.0,4.078051179647446
71,1136,8.440561979435115,1.012893398603796,,0.0,4.454049751162529
