episode,reward
1,5.690409
2,-11.581498
3,18.761245
4,-53.900377
5,-46.042330
6,1.164276
7,15.356349
8,-20.456140
9,126.306770
10,-9.463602
11,72.838953
12,-17.374491
13,-1.841370
14,-55.530909
15,78.875901
16,28.015944
17,33.419522
18,120.389202
19,21.248757
20,40.245226
21,-20.737566
22,-24.800053
23,38.599964
24,31.824855
25,35.226177
26,4.444262
27,36.529579
28,30.455770
29,83.827116
30,-88.515703
31,11.955340
32,-53.057880
33,10.658924
34,23.347470
35,22.120998
36,7.135734
37,-89.763480
38,-167.029542
39,-50.405139
40,-2.419597
41,-34.552078
42,62.021511
43,49.454641
44,-25.874133
45,11.998952
46,38.196644
47,82.218365
48,257.710232
49,52.717428
50,78.745909
51,-75.366121
52,115.868861
53,-9.001782
54,-54.281306
55,-16.333440
56,-10.820907
57,146.895918
58,-72.696338
59,10.536295
60,92.134785
61,-125.945304
62,100.822225
63,-33.955136
64,25.540865
65,195.095439
66,70.224902
67,-31.975346
68,36.493118
69,-34.579332
70,69.277154
71,17.915403
72,-41.928233
73,-65.307802
74,86.064558
75,36.585222
76,62.568613
77,-103.162981
78,82.263621
79,0.432147
80,-137.400177
81,18.437412
82,5.145743
83,24.678816
84,23.351413
85,-23.057252
86,195.325437
87,14.331651
88,-42.963556
89,-100.081827
90,21.758338
91,73.995976
92,-20.481037
93,47.387680
94,-50.324662
95,33.381801
96,-19.806163
97,46.638835
98,14.393730
99,-70.640579
100,47.689658
101,-44.694299
102,18.738295
103,35.858984
104,-80.866394
105,30.460517
106,27.495148
107,228.301994
108,-9.997853
109,51.913217
110,25.297725
111,49.230478
112,-37.430715
113,-55.427382
114,98.318428
115,40.041836
116,-42.823684
117,-31.421070
118,-24.550929
119,47.910770
120,5.085124
121,27.244090
122,-48.024294
123,-26.625918
124,-21.377309
125,41.905133
126,-70.992452
127,27.621464
128,312.027501
129,-2.252427
130,-28.293030
131,-37.472678
132,34.533108
133,15.953379
134,294.569773
135,51.275351
136,-58.422965
137,81.014147
138,16.931495
139,-29.954015
140,8.423334
141,-26.724871
142,23.928885
143,-211.261662
144,-91.758179
145,2.964452
146,119.877824
147,-16.130750
148,261.022552
149,-160.288890
150,-82.862823
151,23.143877
152,-57.268683
153,-66.556463
154,46.729942
155,-3.366190
156,25.822367
157,233.294263
158,-99.961440
159,-3.534402
160,161.634522
161,5.356461
162,63.716319
163,20.965299
164,-68.128512
165,-75.960194
166,-4.932837
167,-14.806986
168,4.682819
169,141.317261
170,23.734568
171,46.892017
172,35.115364
173,-69.810405
174,23.144891
175,3.853856
176,-100.543604
177,96.229658
178,-42.464497
179,-1.612841
180,16.934215
181,-28.665093
182,-6.104275
183,-4.477401
184,44.271734
185,5.920379
186,20.897097
187,105.193235
188,-141.687387
189,-40.088630
190,-79.890513
191,87.862074
192,104.126968
193,61.814501
194,-63.866747
195,-43.936058
196,-9.781046
197,49.296625
198,-215.170484
199,-9.749467
200,90.043916
201,13.596690
202,-14.205687
203,126.530510
204,247.511346
205,-34.673539
206,-96.203129
207,59.209595
208,-71.447381
209,-5.008085
210,-178.964626
211,9.974782
212,7.404504
213,-27.865638
214,-22.949471
215,-21.760533
216,63.717207
217,44.190127
218,113.125533
219,55.624354
220,-48.035800
221,-21.555896
222,14.149455
223,68.784655
224,-6.042747
225,9.465292
226,9.772825
227,-46.468443
228,-8.731923
229,-106.408743
230,71.298060
231,-50.084561
232,-26.029632
233,0.481171
234,-2.108865
235,-6.354964
236,-152.535269
237,-34.357226
238,-30.521956
239,-26.402339
240,22.114714
241,-121.474661
242,-2.881792
243,-47.439805
244,-88.983869
245,-55.325697
246,54.455627
247,45.521710
248,168.973775
249,-80.761274
250,-11.321286
251,8.848024
252,18.358316
253,-65.740195
254,-52.161051
255,176.432255
256,15.075062
257,-21.197780
258,61.568868
259,149.580689
260,-48.320788
261,24.850726
262,-65.923999
263,-105.667833
264,5.115680
265,26.676079
266,-63.658513
267,-0.247767
268,77.104285
269,77.020968
270,-28.513858
271,7.893203
272,15.882478
273,-13.380589
274,88.557987
275,-7.356239
276,-16.642902
277,92.397479
278,-54.626831
279,64.779802
280,98.089149
281,71.000674
282,-207.880441
283,-1.038068
284,-63.072085
285,-77.341732
286,-135.949289
287,56.209063
288,-50.544004
289,25.188896
290,-36.982032
291,-8.154422
292,-20.605322
293,-25.038943
294,122.676909
295,-26.840579
296,-22.236945
297,33.954690
298,104.744977
299,-17.456391
300,30.118550
301,29.568691
302,164.524175
303,107.392726
304,-41.659107
305,-73.892260
306,-65.760621
307,-32.708385
308,82.532795
309,76.462634
310,-13.782626
311,36.566471
312,5.553125
313,-60.433852
314,-127.588122
315,-153.944340
316,-10.329834
317,-4.334548
318,-123.225683
319,-33.443878
320,37.023445
321,40.515988
322,-0.411403
323,-112.273184
324,182.338337
325,-59.056948
326,9.725011
327,29.104640
328,85.795228
329,-87.324077
330,-31.554143
331,60.441822
332,-30.197866
333,-11.571334
334,93.077451
335,61.154811
336,116.199468
337,19.245610
338,5.468614
339,-64.592082
340,-11.255808
341,47.213321
342,344.841409
343,91.756769
344,-34.851717
345,84.833231
346,142.865777
347,-56.777036
348,-153.885918
349,6.087333
350,183.869509
351,173.282159
352,-68.002381
353,-107.247841
354,36.599646
355,-92.153796
356,-73.889207
357,37.419495
358,48.122254
359,-56.745422
360,-31.760577
361,41.347478
362,-73.449965
363,45.914129
364,8.940274
365,-5.731655
366,-20.444150
367,105.010593
368,-17.096378
369,-105.725714
370,-0.943023
371,23.373673
372,22.401225
373,-26.769241
374,-59.613883
375,-140.184360
376,-6.454431
377,-20.043645
378,19.834366
379,33.574325
380,-64.624229
381,7.926915
382,-30.816944
383,32.820585
384,46.266179
385,142.450567
386,109.514856
387,32.329300
388,-43.255375
389,-75.063522
390,67.039053
391,-99.744856
392,-30.335764
393,294.329088
394,15.082522
395,-45.678305
396,66.872368
397,30.980915
398,420.449268
399,16.009008
400,-19.210335
401,-26.118201
402,-62.563226
403,14.330461
404,-29.666340
405,-40.512949
406,9.894456
407,-59.853969
408,-216.924522
409,17.204565
410,190.148896
411,45.336968
412,-43.586831
413,-46.953267
414,-26.418029
415,70.003018
416,-78.931311
417,31.989396
418,-27.477489
419,-52.598591
420,57.027041
421,94.227109
422,-5.991430
423,-43.339374
424,18.595886
425,45.902003
426,-68.081524
427,-43.563225
428,-72.392321
429,-15.998985
430,140.784366
431,187.338996
432,-13.312322
433,-64.416360
434,58.370562
435,-2.010252
436,-28.858377
437,-1.629537
438,9.545399
439,-0.604621
440,-8.913409
441,56.558736
442,-92.670679
443,-45.620485
444,0.540266
445,147.594241
446,42.466571
447,19.500528
448,-79.774689
449,-33.466478
450,13.011508
451,-15.412632
452,-27.462542
453,-95.937718
454,36.284736
455,-114.579665
456,-23.474940
457,111.053599
458,-76.477766
459,-25.335654
460,11.316599
461,6.584845
462,-4.132886
463,-96.461985
464,-12.987589
465,-13.110468
466,-26.102875
467,-53.010251
468,32.405818
469,17.625739
470,35.182524
471,-29.974224
472,28.249245
473,242.316031
474,-82.675414
475,-10.323309
476,9.227084
477,-4.156842
478,19.941114
479,15.253237
480,-84.667140
481,12.506784
482,-48.204036
483,-27.817433
484,65.503741
485,239.454704
486,0.400139
487,30.985041
488,40.805891
489,-72.153252
490,-27.770085
491,241.248016
492,-33.560633
493,62.532801
494,44.919160
495,237.604941
496,0.510254
497,-10.989694
498,81.595748
499,-66.942327
500,-36.180932
501,-10.118150
502,51.700900
503,438.181157
504,103.768143
505,-45.372749
506,-31.896361
507,-5.725983
508,-22.251227
509,-79.375532
510,16.064142
511,26.645524
512,114.397050
513,-10.796662
514,-44.807233
515,-18.592331
516,14.353770
517,-5.667308
518,22.023260
519,-114.439619
520,28.789723
521,-31.240985
522,30.772100
523,151.596504
524,36.244138
525,37.360713
526,111.350093
527,-69.707247
528,56.023151
529,-6.694121
530,32.783740
531,26.406997
532,45.656918
533,68.597418
534,-9.137704
535,-1.337184
536,0.654623
537,31.103267
538,-18.435202
539,10.066568
540,77.027970
541,21.032892
542,77.487510
543,-78.341934
544,-85.101399
545,-9.643037
546,15.400938
547,162.957339
548,60.607956
549,24.710166
550,33.565813
551,-23.905681
552,-36.526367
553,-174.292371
554,29.063489
555,-0.152274
556,26.275811
557,59.220268
558,7.625209
559,-24.499534
560,32.632712
561,73.658883
562,65.746074
563,-30.523321
564,27.963265
565,58.322194
566,289.502977
567,-81.039123
568,-28.130768
569,-33.596420
570,-68.105020
571,-31.677107
572,41.543180
573,-18.686821
574,-53.925339
575,-2.839411
576,-70.800071
577,44.205613
578,-206.501898
579,59.224838
580,4.069381
581,222.234214
582,111.766225
583,82.417975
584,49.750717
585,188.709088
586,87.713656
587,2.576448
588,-27.587129
589,-61.723303
590,75.010320
591,16.742003
592,106.767432
593,145.317335
594,-209.426301
595,-42.023519
596,72.638933
597,-41.122076
598,15.354088
599,61.622375
600,-110.499316
601,-35.718554
602,55.404082
603,34.805202
604,-17.051196
605,31.606910
606,2.726560
607,52.731264
608,399.848094
609,31.511684
610,32.059446
611,63.868521
612,179.265188
613,131.021814
614,-59.009017
615,18.307568
616,310.408067
617,9.057072
618,210.554239
619,12.583499
620,12.480872
621,11.376070
622,23.372869
623,56.664590
624,149.713771
625,63.143947
626,-84.362420
627,-25.932648
628,250.161051
629,27.511224
630,50.629343
631,240.380143
632,303.443743
633,127.209475
634,73.304346
635,125.077552
636,-42.609479
637,216.719183
638,441.890061
639,30.626101
640,54.237436
641,51.273163
642,282.725892
643,331.094898
644,305.675589
645,-124.749969
646,-41.333822
647,-52.674591
648,61.670827
649,-87.392964
650,32.076681
651,-33.867227
652,305.729341
653,215.624314
654,-70.304157
655,42.636078
656,299.228935
657,-10.758114
658,-22.839381
659,38.907277
660,59.035697
661,276.786225
662,88.967046
663,88.238079
664,135.627525
665,90.575995
666,-58.790101
667,32.480368
668,263.441840
669,-24.083415
